PuzzleId,FEN,Moves,Rating,Themes,SAN
01J5O,r4r1k/1pp1NppR/3p4/p3n3/4P3/1PPP2P1/1P1K2P1/3R4 b - - 0 22,h8h7 d1h1,511,anastasiamate endgame mate matein1 onemove,Kxh7 Rh1#
0e6ff,8/7p/4N1pk/4b3/2R5/6PK/3r3P/8 b - - 8 43,d2d6 c4h4,545,anastasiamate endgame master mate matein1 onemove,Rd6 Rh4#
0mqeQ,4n1k1/5p1p/4p1p1/3r4/Q7/1P6/P3nPPq/5R1K w - - 0 33,h1h2 d5h5 a4h4 h5h4,555,anastasiamate endgame mate matein2 short,Kxh2 Rh5+ Qh4 Rxh4#
0kFVS,6k1/4Npp1/4p3/2R5/r2p3p/2bK4/6P1/8 b - - 1 47,g8h7 c5h5,562,anastasiamate endgame master mate matein1 onemove,Kh7 Rh5#
0MyW7,2b2r1k/p3NppR/p3p3/8/3Pp3/2P1P1P1/qr3PP1/1R1QK3 b - - 0 17,h8h7 d1h5,571,anastasiamate mate matein1 middlegame onemove,Kxh7 Qh5#
0B2rj,1R6/8/1p2N1pk/p1p4p/P1P5/1Pn1P3/6rP/4K3 b - - 5 38,g2h2 b8h8,607,anastasiamate endgame mate matein1 onemove,Rxh2 Rh8#
0Gybi,6k1/R7/1p6/2p2rN1/8/8/P3n1PK/8 w - - 1 34,g5e6 f5h5,622,anastasiamate endgame master mate matein1 onemove,Ne6 Rh5#
0Db7K,4nk1r/p4pp1/2Q1b2p/3r4/P2P4/8/4nBPq/R4R1K w - - 0 26,h1h2 d5h5 f2h4 h5h4,624,anastasiamate mate matein2 middlegame short,Kxh2 Rh5+ Bh4 Rxh4#
05LRI,2r5/4N1pk/4p3/R7/1rb5/8/5PP1/5RK1 b - - 3 37,c8c7 a5h5,640,anastasiamate endgame mate matein1 onemove,Rc7 Rh5#
0REn0,8/4N1pk/8/1pPp2p1/P1nK4/6r1/8/7R b - - 3 39,g3h3 h1h3,653,anastasiamate endgame hangingpiece mate matein1 onemove,Rh3 Rxh3#
0OYyD,1r6/1b5p/p2bN1pk/1p1P4/1P6/P4R2/N5PP/7K b - - 5 33,b7d5 f3h3,664,anastasiamate endgame mate matein1 onemove,Bxd5 Rh3#
07qu9,8/p1p5/3N2kp/8/P1PN1R2/1P2n1P1/6K1/3r4 w - - 4 36,g2h3 d1h1,691,anastasiamate endgame mate matein1 onemove,Kh3 Rh1#
0Ab9p,6k1/1R4p1/7p/7P/4n1PK/8/1P3r1N/8 w - - 4 44,b7e7 f2h2,704,anastasiamate endgame hangingpiece master mate matein1 onemove,Re7 Rxh2#
0pM9w,r2q1r1k/1p2N1pQ/p3p3/2p5/3b4/R7/1P3PPP/2B3K1 b - - 0 21,h8h7 a3h3,724,anastasiamate mate matein1 middlegame onemove,Kxh7 Rh3#
09mRO,r4r1k/p3NppQ/4n3/4R3/q7/1N4P1/P4PKP/5R2 b - - 0 28,h8h7 e5h5,733,anastasiamate master mate matein1 middlegame onemove,Kxh7 Rh5#
0P5mz,R7/8/8/3r3P/2k5/6B1/4nPPK/8 w - - 1 51,h5h6 d5h5 g3h4 h5h4,746,anastasiamate endgame mate matein2 short,h6 Rh5+ Bh4 Rxh4#
