PuzzleId,FEN,Moves,Rating,Themes,SAN
0Slw5,5r1k/1br4R/p3pNp1/1p2P1P1/3p1P2/3K4/PPP5/7R b - - 0 34,c7h7 h1h7,473,arabianmate endgame mate matein1 onemove,Rxh7 Rxh7#
0J9yJ,r1b4k/2p1qprQ/p2p1N2/1pn3PR/4PP2/8/PPP5/2KR2N1 b - - 0 22,g7h7 h5h7,571,arabianmate kingsideattack mate matein1 middlegame onemove,Rxh7 Rxh7#
0Q6gU,3r1r1k/p2p1p1p/1p2nNP1/4P3/6P1/2R5/PP5R/5K2 b - - 0 27,f7g6 h2h7,583,arabianmate endgame mate matein1 onemove,fxg6 Rxh7#
0XLrb,7R/8/8/6r1/4pp2/5n2/1k3P2/3R3K w - - 21 69,d1d6 g5g1,589,arabianmate endgame master mate matein1 onemove,Rd6 Rg1#
0Lnyu,8/7p/P1k1pp1r/3p4/3P4/2P2nP1/5P1P/1R3B1K w - - 0 38,a6a7 h6h2,622,arabianmate endgame mate matein1 onemove,a7 Rxh2#
04p1J,6rk/1bq1rpp1/p3pN1Q/1p2P3/3N2R1/2P5/PP4nP/R5K1 b - - 0 26,g7h6 g4g8,628,arabianmate kingsideattack mate matein1 middlegame onemove,gxh6 Rxg8#
0lZi0,8/5p1p/4pk2/2R5/4P3/5n2/r6P/6RK w - - 0 35,g1f1 a2h2,658,arabianmate endgame master mate matein1 onemove,Rf1 Rxh2#
0UHEo,3r3k/1p1b1p1p/p1p2N2/5P2/8/P3P1RP/1PPr4/6RK b - - 12 28,d7f5 g3g8 d8g8 g1g8,702,arabianmate endgame mate matein2 short,Bxf5 Rg8+ Rxg8 Rxg8#
05gec,5r1k/5pb1/p2pqN1Q/1r4R1/p1p1P1R1/6PP/6PK/8 b - - 0 31,g7h6 g5g8 f8g8 g4g8,705,arabianmate mate matein2 middlegame short,Bxh6 Rg8+ Rxg8 Rxg8#
0aRV7,6k1/5ppp/8/p3n3/P3N3/5PP1/2r3BP/R5K1 w - - 1 24,g2f1 e5f3 g1h1 c2h2,751,arabianmate endgame mate matein2 short,Bf1 Nxf3+ Kh1 Rxh2#
0NgEL,1r3b1k/5p1p/4pN2/p3PnR1/P1B1KP2/8/2P5/8 b - - 3 38,b8b4 g5g8,784,arabianmate endgame mate matein1 onemove,Rb4 Rg8#
00H8a,5bk1/2R4p/6p1/8/2b1NP1P/4P1K1/r7/8 b - - 2 45,c4d3 e4f6 g8h8 c7h7,795,arabianmate endgame mate matein2 short,Bd3 Nf6+ Kh8 Rxh7#
0RcGS,6R1/8/1p5r/1B2k3/2P3p1/5np1/5P1P/7K w - - 0 46,f2g3 h6h2,813,arabianmate endgame mate matein1 onemove,fxg3 Rxh2#
0aiJs,2R1R3/pp3ppk/8/6r1/8/5P1P/P2n1P2/6K1 w - - 4 27,g1h2 d2f3 h2h1 g5g1,823,arabianmate endgame mate matein2 short,Kh2 Nxf3+ Kh1 Rg1#
