PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,SAN,PGN
0WpWF,r2qkbnr/1p1bpppp/p2p4/8/2B1P3/5Q2/PPP2PPP/RNB1K2R b KQkq - 0 9,a8b8 f3f7,400,114,88,517,attackingf2f7 mate matein1 onemove opening,https://lichess.org/sXBQv5uP/black#18,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit,Rb8 Qxf7#,"[Event ""attackingf2f7 mate matein1 onemove opening""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r2qkbnr/1p1bpppp/p2p4/8/2B1P3/5Q2/PPP2PPP/RNB1K2R b KQkq - 0 9""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""attackingf2f7 mate matein1 onemove opening""]
[ChapterName ""attackingf2f7 mate matein1 onemove opening""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""400""]
[RatingDeviation ""114""]
[Popularity ""88""]
[NbPlays ""517""]
[Themes ""attackingf2f7 mate matein1 onemove opening""]

9... Rb8 10. Qxf7# *"
07bUX,r2qkb1r/p2bpp1p/2pp2p1/8/3NP3/2N1PQ2/PPP3PP/R4RK1 b kq - 0 11,f8g7 f3f7,416,95,95,301,attackingf2f7 mate matein1 middlegame onemove,https://lichess.org/h7ZCawPD/black#22,Sicilian_Defense Sicilian_Defense_Other_variations,Bg7 Qxf7#,"[Event ""attackingf2f7 mate matein1 middlegame onemove""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r2qkb1r/p2bpp1p/2pp2p1/8/3NP3/2N1PQ2/PPP3PP/R4RK1 b kq - 0 11""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""attackingf2f7 mate matein1 middlegame onemove""]
[ChapterName ""attackingf2f7 mate matein1 middlegame onemove""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""416""]
[RatingDeviation ""95""]
[Popularity ""95""]
[NbPlays ""301""]
[Themes ""attackingf2f7 mate matein1 middlegame onemove""]

11... Bg7 12. Qxf7# *"
0DdWe,r1bqk2r/5p2/p1p1p3/3pP3/3b3p/4BQ2/PPP3PP/RN3R1K b kq - 5 17,d4b2 f3f7,417,107,89,384,attackingf2f7 mate matein1 middlegame onemove,https://lichess.org/HJudhity/black#34,French_Defense French_Defense_Advance_Variation,Bxb2 Qxf7#,"[Event ""attackingf2f7 mate matein1 middlegame onemove""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r1bqk2r/5p2/p1p1p3/3pP3/3b3p/4BQ2/PPP3PP/RN3R1K b kq - 5 17""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""attackingf2f7 mate matein1 middlegame onemove""]
[ChapterName ""attackingf2f7 mate matein1 middlegame onemove""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""417""]
[RatingDeviation ""107""]
[Popularity ""89""]
[NbPlays ""384""]
[Themes ""attackingf2f7 mate matein1 middlegame onemove""]

17... Bxb2 18. Qxf7# *"
073Eh,rnbqkbnr/3ppppp/pp6/2p5/2B1P3/2N2Q2/PPPP1PPP/R1B1K1NR b KQkq - 1 4,c8b7 c4f7,446,101,69,210,attackingf2f7 mate matein1 onemove opening,https://lichess.org/mzGaBxLf/black#8,Owen_Defense Owen_Defense_Other_variations,Bb7 Bxf7#,"[Event ""attackingf2f7 mate matein1 onemove opening""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""rnbqkbnr/3ppppp/pp6/2p5/2B1P3/2N2Q2/PPPP1PPP/R1B1K1NR b KQkq - 1 4""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""attackingf2f7 mate matein1 onemove opening""]
[ChapterName ""attackingf2f7 mate matein1 onemove opening""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""446""]
[RatingDeviation ""101""]
[Popularity ""69""]
[NbPlays ""210""]
[Themes ""attackingf2f7 mate matein1 onemove opening""]

4... Bb7 5. Bxf7# *"
0KAce,r2qk2r/pp3ppp/1b2p2B/3pP3/3P2P1/5Q2/PPP4P/RN3R1K b kq - 0 14,g7h6 f3f7,461,100,100,191,attackingf2f7 mate matein1 middlegame onemove,https://lichess.org/LCUyONle/black#28,Caro-Kann_Defense Caro-Kann_Defense_Other_variations,gxh6 Qxf7#,"[Event ""attackingf2f7 mate matein1 middlegame onemove""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r2qk2r/pp3ppp/1b2p2B/3pP3/3P2P1/5Q2/PPP4P/RN3R1K b kq - 0 14""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""attackingf2f7 mate matein1 middlegame onemove""]
[ChapterName ""attackingf2f7 mate matein1 middlegame onemove""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""461""]
[RatingDeviation ""100""]
[Popularity ""100""]
[NbPlays ""191""]
[Themes ""attackingf2f7 mate matein1 middlegame onemove""]

14... gxh6 15. Qxf7# *"
02Wf7,r2qkb2/pp1bpp1p/3p4/3Qp3/2B5/2N5/PPP2PrP/2KR3R b q - 1 12,g2g8 d5f7,464,91,100,280,attackingf2f7 mate matein1 middlegame onemove,https://lichess.org/Y5KH8zPZ/black#24,Sicilian_Defense Sicilian_Defense_Richter-Rauzer_Variation,Rg8 Qxf7#,"[Event ""attackingf2f7 mate matein1 middlegame onemove""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r2qkb2/pp1bpp1p/3p4/3Qp3/2B5/2N5/PPP2PrP/2KR3R b q - 1 12""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""attackingf2f7 mate matein1 middlegame onemove""]
[ChapterName ""attackingf2f7 mate matein1 middlegame onemove""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""464""]
[RatingDeviation ""91""]
[Popularity ""100""]
[NbPlays ""280""]
[Themes ""attackingf2f7 mate matein1 middlegame onemove""]

12... Rg8 13. Qxf7# *"
0Xb5F,r3k2r/ppp2p2/1b1p1q2/3Pp3/6bp/2PP1B2/PP3PPB/R2QK2R w KQkq - 0 17,f3g4 f6f2,486,95,99,1044,attackingf2f7 mate matein1 middlegame onemove,https://lichess.org/n4JtPzOf#33,Russian_Game Russian_Game_Three_Knights_Game,Bxg4 Qxf2#,"[Event ""attackingf2f7 mate matein1 middlegame onemove""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r3k2r/ppp2p2/1b1p1q2/3Pp3/6bp/2PP1B2/PP3PPB/R2QK2R w KQkq - 0 17""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""attackingf2f7 mate matein1 middlegame onemove""]
[ChapterName ""attackingf2f7 mate matein1 middlegame onemove""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""486""]
[RatingDeviation ""95""]
[Popularity ""99""]
[NbPlays ""1044""]
[Themes ""attackingf2f7 mate matein1 middlegame onemove""]

17. Bxg4 Qxf2# *"
0BVOy,r1bqk2r/pp1pbp1p/2p2p2/4P1B1/2B5/2P2Q2/P4PPP/R3K2R b KQkq - 0 12,f6g5 f3f7,488,95,97,308,attackingf2f7 mate matein1 middlegame onemove,https://lichess.org/zziry54n/black#24,Four_Knights_Game Four_Knights_Game_Italian_Variation,fxg5 Qxf7#,"[Event ""attackingf2f7 mate matein1 middlegame onemove""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r1bqk2r/pp1pbp1p/2p2p2/4P1B1/2B5/2P2Q2/P4PPP/R3K2R b KQkq - 0 12""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""attackingf2f7 mate matein1 middlegame onemove""]
[ChapterName ""attackingf2f7 mate matein1 middlegame onemove""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""488""]
[RatingDeviation ""95""]
[Popularity ""97""]
[NbPlays ""308""]
[Themes ""attackingf2f7 mate matein1 middlegame onemove""]

12... fxg5 13. Qxf7# *"
0pW2d,rnbqkbnr/ppp2ppp/3p4/4p3/2B1P3/5Q2/PPPP1PPP/RNB1K1NR b KQkq - 1 3,c8d7 f3f7,489,89,100,467,attackingf2f7 mate matein1 onemove opening,https://lichess.org/pb4DjJtc/black#6,Bishops_Opening Bishops_Opening_Other_variations,Bd7 Qxf7#,"[Event ""attackingf2f7 mate matein1 onemove opening""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""rnbqkbnr/ppp2ppp/3p4/4p3/2B1P3/5Q2/PPPP1PPP/RNB1K1NR b KQkq - 1 3""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""attackingf2f7 mate matein1 onemove opening""]
[ChapterName ""attackingf2f7 mate matein1 onemove opening""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""489""]
[RatingDeviation ""89""]
[Popularity ""100""]
[NbPlays ""467""]
[Themes ""attackingf2f7 mate matein1 onemove opening""]

3... Bd7 4. Qxf7# *"
0aDmr,3qk2r/p2bnpp1/1p2p2p/4P1N1/3PB3/2r5/P4QPP/1R3RK1 b k - 1 18,h6g5 f2f7,491,91,100,216,attackingf2f7 mate matein1 middlegame onemove,https://lichess.org/LGwgroX6/black#36,French_Defense French_Defense_Advance_Variation,hxg5 Qxf7#,"[Event ""attackingf2f7 mate matein1 middlegame onemove""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""3qk2r/p2bnpp1/1p2p2p/4P1N1/3PB3/2r5/P4QPP/1R3RK1 b k - 1 18""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""attackingf2f7 mate matein1 middlegame onemove""]
[ChapterName ""attackingf2f7 mate matein1 middlegame onemove""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""491""]
[RatingDeviation ""91""]
[Popularity ""100""]
[NbPlays ""216""]
[Themes ""attackingf2f7 mate matein1 middlegame onemove""]

18... hxg5 19. Qxf7# *"
