PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,SAN,PGN
0EkrH,2R3nk/pp3ppp/8/3p4/4p3/1P2P2P/Pq3PP1/2R3K1 b - - 2 25,b2a2 c8g8 h8g8 c1c8,586,86,80,226,attraction backrankmate endgame mate matein2 sacrifice short,https://lichess.org/gPEjuLNk/black#50,,Qxa2 Rxg8+ Kxg8 Rc8#,"[Event ""attraction backrankmate endgame mate matein2 sacrifice short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""2R3nk/pp3ppp/8/3p4/4p3/1P2P2P/Pq3PP1/2R3K1 b - - 2 25""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""attraction backrankmate endgame mate matein2 sacrifice short""]
[ChapterName ""attraction backrankmate endgame mate matein2 sacrifice short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""586""]
[RatingDeviation ""86""]
[Popularity ""80""]
[NbPlays ""226""]
[Themes ""attraction backrankmate endgame mate matein2 sacrifice short""]

25... Qxa2 26. Rxg8+ Kxg8 27. Rc8# *"
0hQeY,3Rr1k1/p4ppp/2N5/2p5/4n3/2P3P1/qr2PP1P/3R2K1 b - - 3 26,g8f8 d8e8 f8e8 d1d8,686,92,94,868,attraction mate matein2 middlegame short,https://lichess.org/trMxpjIS/black#52,,Kf8 Rxe8+ Kxe8 Rd8#,"[Event ""attraction mate matein2 middlegame short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""3Rr1k1/p4ppp/2N5/2p5/4n3/2P3P1/qr2PP1P/3R2K1 b - - 3 26""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""attraction mate matein2 middlegame short""]
[ChapterName ""attraction mate matein2 middlegame short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""686""]
[RatingDeviation ""92""]
[Popularity ""94""]
[NbPlays ""868""]
[Themes ""attraction mate matein2 middlegame short""]

26... Kf8 27. Rxe8+ Kxe8 28. Rd8# *"
0CYwL,r1bq1r1k/1pp3pp/1n3b2/p6R/P7/1B1P3P/1PP2PP1/R1BQ2K1 b - - 4 20,c8d7 h5h7 h8h7 d1h5,686,79,99,684,attraction kingsideattack mate matein2 opening sacrifice short,https://lichess.org/ya21lSWc/black#40,,Bd7 Rxh7+ Kxh7 Qh5#,"[Event ""attraction kingsideattack mate matein2 opening sacrifice short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r1bq1r1k/1pp3pp/1n3b2/p6R/P7/1B1P3P/1PP2PP1/R1BQ2K1 b - - 4 20""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""attraction kingsideattack mate matein2 opening sacrifice short""]
[ChapterName ""attraction kingsideattack mate matein2 opening sacrifice short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""686""]
[RatingDeviation ""79""]
[Popularity ""99""]
[NbPlays ""684""]
[Themes ""attraction kingsideattack mate matein2 opening sacrifice short""]

20... Bd7 21. Rxh7+ Kxh7 22. Qh5# *"
0mUvp,8/p4kpp/1p6/3p1p2/2q4P/P4PP1/3Qb3/3R3K w - - 8 31,d2d5 c4d5 d1d5 e2f3 h1h2 f3d5,785,86,95,165,attraction crushing endgame exposedking fork long pin,https://lichess.org/GAvAA7BD#61,,Qxd5+ Qxd5 Rxd5 Bxf3+ Kh2 Bxd5,"[Event ""attraction crushing endgame exposedking fork long pin""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/p4kpp/1p6/3p1p2/2q4P/P4PP1/3Qb3/3R3K w - - 8 31""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""attraction crushing endgame exposedking fork long pin""]
[ChapterName ""attraction crushing endgame exposedking fork long pin""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""785""]
[RatingDeviation ""86""]
[Popularity ""95""]
[NbPlays ""165""]
[Themes ""attraction crushing endgame exposedking fork long pin""]

31. Qxd5+ Qxd5 32. Rxd5 Bxf3+ 33. Kh2 Bxd5 *"
0cb4I,5rk1/6p1/p2q3p/1p3R2/3p1N2/1QP4P/PP3PPK/4r3 b - - 6 32,g8h8 f5f8 d6f8 f4g6 h8h7 g6f8,809,79,86,186,attraction crushing endgame fork long,https://lichess.org/Wf4hM8Z0/black#64,,Kh8 Rxf8+ Qxf8 Ng6+ Kh7 Nxf8+,"[Event ""attraction crushing endgame fork long""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""5rk1/6p1/p2q3p/1p3R2/3p1N2/1QP4P/PP3PPK/4r3 b - - 6 32""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""attraction crushing endgame fork long""]
[ChapterName ""attraction crushing endgame fork long""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""809""]
[RatingDeviation ""79""]
[Popularity ""86""]
[NbPlays ""186""]
[Themes ""attraction crushing endgame fork long""]

32... Kh8 33. Rxf8+ Qxf8 34. Ng6+ Kh7 35. Nxf8+ *"
0fh9Y,6k1/p1r1rQpp/p1pN4/3n4/3q4/7P/PP2RPP1/4R1K1 b - - 0 24,e7f7 e2e8 f7f8 e8f8 g8f8 e1e8,814,80,96,1243,attraction long mate matein3 middlegame,https://lichess.org/NxQ4RvPT/black#48,,Rxf7 Re8+ Rf8 Rxf8+ Kxf8 Re8#,"[Event ""attraction long mate matein3 middlegame""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""6k1/p1r1rQpp/p1pN4/3n4/3q4/7P/PP2RPP1/4R1K1 b - - 0 24""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""attraction long mate matein3 middlegame""]
[ChapterName ""attraction long mate matein3 middlegame""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""814""]
[RatingDeviation ""80""]
[Popularity ""96""]
[NbPlays ""1243""]
[Themes ""attraction long mate matein3 middlegame""]

24... Rxf7 25. Re8+ Rf8 26. Rxf8+ Kxf8 27. Re8# *"
0WwTM,2R2rk1/p4ppp/1p2p3/n7/3P3B/1Q2P2P/P2q1PP1/2R3K1 b - - 0 20,a5b3 c8f8 g8f8 c1c8,821,99,91,532,attraction endgame kingsideattack mate matein2 short,https://lichess.org/UZwtt0xP/black#40,,Nxb3 Rxf8+ Kxf8 Rc8#,"[Event ""attraction endgame kingsideattack mate matein2 short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""2R2rk1/p4ppp/1p2p3/n7/3P3B/1Q2P2P/P2q1PP1/2R3K1 b - - 0 20""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""attraction endgame kingsideattack mate matein2 short""]
[ChapterName ""attraction endgame kingsideattack mate matein2 short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""821""]
[RatingDeviation ""99""]
[Popularity ""91""]
[NbPlays ""532""]
[Themes ""attraction endgame kingsideattack mate matein2 short""]

20... Nxb3 21. Rxf8+ Kxf8 22. Rc8# *"
06Z0u,rQ2k2r/3qppbp/2bp1np1/2p3N1/5B2/2P1P3/P4PPP/1R2KB1R b Kkq - 5 17,a8b8 b1b8 d7d8 b8d8 e8d8 g5f7,842,77,100,255,advantage attraction long middlegame,https://lichess.org/uvLsG51F/black#34,Indian_Defense Indian_Defense_Pseudo-Benko,Rxb8 Rxb8+ Qd8 Rxd8+ Kxd8 Nxf7+,"[Event ""advantage attraction long middlegame""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""rQ2k2r/3qppbp/2bp1np1/2p3N1/5B2/2P1P3/P4PPP/1R2KB1R b Kkq - 5 17""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advantage attraction long middlegame""]
[ChapterName ""advantage attraction long middlegame""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""842""]
[RatingDeviation ""77""]
[Popularity ""100""]
[NbPlays ""255""]
[Themes ""advantage attraction long middlegame""]

17... Rxb8 18. Rxb8+ Qd8 19. Rxd8+ Kxd8 20. Nxf7+ *"
08TGD,3r3k/p3RpRp/1p2bP2/8/7P/r1P5/8/6K1 b - - 8 37,d8g8 g7g8 h8g8 e7e8,850,79,95,303,attraction endgame mate matein2 short,https://lichess.org/zI8Qg6AR/black#74,,Rg8 Rxg8+ Kxg8 Re8#,"[Event ""attraction endgame mate matein2 short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""3r3k/p3RpRp/1p2bP2/8/7P/r1P5/8/6K1 b - - 8 37""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""attraction endgame mate matein2 short""]
[ChapterName ""attraction endgame mate matein2 short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""850""]
[RatingDeviation ""79""]
[Popularity ""95""]
[NbPlays ""303""]
[Themes ""attraction endgame mate matein2 short""]

37... Rg8 38. Rxg8+ Kxg8 39. Re8# *"
0KWsu,r1r5/5pkp/b4np1/8/B3P3/2B5/P4KPP/R6R w - - 6 24,a1c1 c8c3 c1c3 f6e4 f2e3 e4c3,871,96,95,559,advantage attraction fork long middlegame,https://lichess.org/0BhSR4ba#47,,Rac1 Rxc3 Rxc3 Nxe4+ Ke3 Nxc3,"[Event ""advantage attraction fork long middlegame""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r1r5/5pkp/b4np1/8/B3P3/2B5/P4KPP/R6R w - - 6 24""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advantage attraction fork long middlegame""]
[ChapterName ""advantage attraction fork long middlegame""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""871""]
[RatingDeviation ""96""]
[Popularity ""95""]
[NbPlays ""559""]
[Themes ""advantage attraction fork long middlegame""]

24. Rac1 Rxc3 25. Rxc3 Nxe4+ 26. Ke3 Nxc3 *"
