PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,SAN,PGN
0hFH0,r2R2k1/2p2ppp/p7/4p3/4P3/1r3N2/6PP/3R2K1 b - - 1 24,a8d8 d1d8,399,92,100,236,backrankmate endgame mate matein1 onemove,https://lichess.org/xTndc0DG/black#48,,Rxd8 Rxd8#,"[Event ""backrankmate endgame mate matein1 onemove""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r2R2k1/2p2ppp/p7/4p3/4P3/1r3N2/6PP/3R2K1 b - - 1 24""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""backrankmate endgame mate matein1 onemove""]
[ChapterName ""backrankmate endgame mate matein1 onemove""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""399""]
[RatingDeviation ""92""]
[Popularity ""100""]
[NbPlays ""236""]
[Themes ""backrankmate endgame mate matein1 onemove""]

24... Rxd8 25. Rxd8# *"
0nlaU,2R1qQ1k/pr4pp/8/8/4r3/PB6/KP3P1P/8 b - - 3 33,e8f8 c8f8,399,92,86,83,backrankmate endgame master mate matein1 onemove,https://lichess.org/pUTthjJw/black#66,,Qxf8 Rxf8#,"[Event ""backrankmate endgame master mate matein1 onemove""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""2R1qQ1k/pr4pp/8/8/4r3/PB6/KP3P1P/8 b - - 3 33""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""backrankmate endgame master mate matein1 onemove""]
[ChapterName ""backrankmate endgame master mate matein1 onemove""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""399""]
[RatingDeviation ""92""]
[Popularity ""86""]
[NbPlays ""83""]
[Themes ""backrankmate endgame master mate matein1 onemove""]

33... Qxf8 34. Rxf8# *"
0Hyt7,7k/1pp3pp/p2p4/6q1/4p3/1PN2Q2/1PP5/4RK2 b - - 0 33,e4f3 e1e8,399,117,85,337,backrankmate endgame mate matein1 onemove,https://lichess.org/yXTeGUfO/black#66,,exf3 Re8#,"[Event ""backrankmate endgame mate matein1 onemove""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""7k/1pp3pp/p2p4/6q1/4p3/1PN2Q2/1PP5/4RK2 b - - 0 33""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""backrankmate endgame mate matein1 onemove""]
[ChapterName ""backrankmate endgame mate matein1 onemove""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""399""]
[RatingDeviation ""117""]
[Popularity ""85""]
[NbPlays ""337""]
[Themes ""backrankmate endgame mate matein1 onemove""]

33... exf3 34. Re8# *"
0H5EM,rn2Q1k1/pppb1ppp/8/3q4/3P1B2/2P2P2/P5PP/R3R1K1 b - - 2 15,d7e8 e1e8,399,90,68,165,backrankmate mate matein1 middlegame onemove,https://lichess.org/nSWNWpr9/black#30,French_Defense French_Defense_Exchange_Variation,Bxe8 Rxe8#,"[Event ""backrankmate mate matein1 middlegame onemove""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""rn2Q1k1/pppb1ppp/8/3q4/3P1B2/2P2P2/P5PP/R3R1K1 b - - 2 15""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""backrankmate mate matein1 middlegame onemove""]
[ChapterName ""backrankmate mate matein1 middlegame onemove""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""399""]
[RatingDeviation ""90""]
[Popularity ""68""]
[NbPlays ""165""]
[Themes ""backrankmate mate matein1 middlegame onemove""]

15... Bxe8 16. Rxe8# *"
0Ntmi,1k2R3/ppp5/3n3p/5r2/8/P4P2/1PP3rP/2KR4 b - - 1 26,d6e8 d1d8,399,93,100,254,backrankmate endgame mate matein1 onemove,https://lichess.org/VWaRrPBW/black#52,,Nxe8 Rd8#,"[Event ""backrankmate endgame mate matein1 onemove""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""1k2R3/ppp5/3n3p/5r2/8/P4P2/1PP3rP/2KR4 b - - 1 26""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""backrankmate endgame mate matein1 onemove""]
[ChapterName ""backrankmate endgame mate matein1 onemove""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""399""]
[RatingDeviation ""93""]
[Popularity ""100""]
[NbPlays ""254""]
[Themes ""backrankmate endgame mate matein1 onemove""]

26... Nxe8 27. Rd8# *"
0KmC3,2kr3r/ppp4b/1q2Bp1p/4bP2/1P2P1P1/P6P/2PQ4/2KR3R b - - 2 23,c8b8 d2d8 h8d8 d1d8,399,116,91,915,backrankmate mate matein2 middlegame short,https://lichess.org/mRN283zh/black#46,,Kb8 Qxd8+ Rxd8 Rxd8#,"[Event ""backrankmate mate matein2 middlegame short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""2kr3r/ppp4b/1q2Bp1p/4bP2/1P2P1P1/P6P/2PQ4/2KR3R b - - 2 23""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""backrankmate mate matein2 middlegame short""]
[ChapterName ""backrankmate mate matein2 middlegame short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""399""]
[RatingDeviation ""116""]
[Popularity ""91""]
[NbPlays ""915""]
[Themes ""backrankmate mate matein2 middlegame short""]

23... Kb8 24. Qxd8+ Rxd8 25. Rxd8# *"
0L6wV,5r1k/R5pp/8/8/4p3/3b3P/5QPK/8 b - - 0 35,f8f2 a7a8 f2f8 a8f8,399,104,100,236,backrankmate endgame mate matein2 short,https://lichess.org/wcrAyHmM/black#70,,Rxf2 Ra8+ Rf8 Rxf8#,"[Event ""backrankmate endgame mate matein2 short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""5r1k/R5pp/8/8/4p3/3b3P/5QPK/8 b - - 0 35""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""backrankmate endgame mate matein2 short""]
[ChapterName ""backrankmate endgame mate matein2 short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""399""]
[RatingDeviation ""104""]
[Popularity ""100""]
[NbPlays ""236""]
[Themes ""backrankmate endgame mate matein2 short""]

35... Rxf2 36. Ra8+ Rf8 37. Rxf8# *"
0dPfD,4r1k1/p2n1pp1/7p/1N6/7B/8/1n3PPP/3R2K1 w - - 0 25,d1d7 e8e1,399,110,85,258,backrankmate endgame mate matein1 onemove,https://lichess.org/ntBAmnPl#49,,Rxd7 Re1#,"[Event ""backrankmate endgame mate matein1 onemove""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""4r1k1/p2n1pp1/7p/1N6/7B/8/1n3PPP/3R2K1 w - - 0 25""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""backrankmate endgame mate matein1 onemove""]
[ChapterName ""backrankmate endgame mate matein1 onemove""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""399""]
[RatingDeviation ""110""]
[Popularity ""85""]
[NbPlays ""258""]
[Themes ""backrankmate endgame mate matein1 onemove""]

25. Rxd7 Re1# *"
06w7m,1r2R1k1/p4ppp/1p6/3r1p2/P2P4/2P1R3/1P4PP/6K1 b - - 1 30,b8e8 e3e8,399,107,100,225,backrankmate endgame mate matein1 onemove rookendgame,https://lichess.org/0db7yzZ3/black#60,,Rxe8 Rxe8#,"[Event ""backrankmate endgame mate matein1 onemove rookendgame""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""1r2R1k1/p4ppp/1p6/3r1p2/P2P4/2P1R3/1P4PP/6K1 b - - 1 30""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""backrankmate endgame mate matein1 onemove rookendgame""]
[ChapterName ""backrankmate endgame mate matein1 onemove rookendgame""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""399""]
[RatingDeviation ""107""]
[Popularity ""100""]
[NbPlays ""225""]
[Themes ""backrankmate endgame mate matein1 onemove rookendgame""]

30... Rxe8 31. Rxe8# *"
0OSpq,6k1/1p2Rppp/1p3p2/8/2Pr4/1P6/P2Q1PPP/6K1 b - - 0 23,d4d2 e7e8,399,105,100,311,backrankmate endgame mate matein1 onemove rookendgame,https://lichess.org/Z0PudNH0/black#46,,Rxd2 Re8#,"[Event ""backrankmate endgame mate matein1 onemove rookendgame""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""6k1/1p2Rppp/1p3p2/8/2Pr4/1P6/P2Q1PPP/6K1 b - - 0 23""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""backrankmate endgame mate matein1 onemove rookendgame""]
[ChapterName ""backrankmate endgame mate matein1 onemove rookendgame""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""399""]
[RatingDeviation ""105""]
[Popularity ""100""]
[NbPlays ""311""]
[Themes ""backrankmate endgame mate matein1 onemove rookendgame""]

23... Rxd2 24. Re8# *"
