PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,SAN,PGN
08WP9,7N/6k1/P2b4/8/8/7p/8/7K b - - 0 61,g7h8 a6a7 h8g7 a7a8q,474,103,89,93,advancedpawn bishopendgame crushing endgame promotion short,https://lichess.org/cColt4o6/black#122,,Kxh8 a7 Kg7 a8=Q,"[Event ""advancedpawn bishopendgame crushing endgame promotion short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""7N/6k1/P2b4/8/8/7p/8/7K b - - 0 61""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advancedpawn bishopendgame crushing endgame promotion short""]
[ChapterName ""advancedpawn bishopendgame crushing endgame promotion short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""474""]
[RatingDeviation ""103""]
[Popularity ""89""]
[NbPlays ""93""]
[Themes ""advancedpawn bishopendgame crushing endgame promotion short""]

61... Kxh8 62. a7 Kg7 63. a8=Q *"
0a2DX,8/8/4K1B1/8/3k1P2/2p3P1/8/8 w - - 0 57,f4f5 c3c2 f5f6 c2c1q,490,87,80,181,advancedpawn advantage bishopendgame endgame promotion short,https://lichess.org/dAezl94S#113,,f5 c2 f6 c1=Q,"[Event ""advancedpawn advantage bishopendgame endgame promotion short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/8/4K1B1/8/3k1P2/2p3P1/8/8 w - - 0 57""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advancedpawn advantage bishopendgame endgame promotion short""]
[ChapterName ""advancedpawn advantage bishopendgame endgame promotion short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""490""]
[RatingDeviation ""87""]
[Popularity ""80""]
[NbPlays ""181""]
[Themes ""advancedpawn advantage bishopendgame endgame promotion short""]

57. f5 c2 58. f6 c1=Q *"
0LSCd,6k1/p5b1/1p3P1p/2p5/2P5/PPB1p3/6K1/8 b - - 0 39,g7h8 f6f7 g8f7 c3h8,566,101,80,300,advancedpawn bishopendgame crushing deflection discoveredattack endgame short,https://lichess.org/gENFWmtO/black#78,,Bh8 f7+ Kxf7 Bxh8,"[Event ""advancedpawn bishopendgame crushing deflection discoveredattack endgame short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""6k1/p5b1/1p3P1p/2p5/2P5/PPB1p3/6K1/8 b - - 0 39""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advancedpawn bishopendgame crushing deflection discoveredattack endgame short""]
[ChapterName ""advancedpawn bishopendgame crushing deflection discoveredattack endgame short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""566""]
[RatingDeviation ""101""]
[Popularity ""80""]
[NbPlays ""300""]
[Themes ""advancedpawn bishopendgame crushing deflection discoveredattack endgame short""]

39... Bh8 40. f7+ Kxf7 41. Bxh8 *"
087mL,6k1/5p1p/6p1/1pPp4/pP6/P4PPP/8/2b3K1 b - - 0 35,c1a3 c5c6 a3b4 c6c7,670,95,88,329,advancedpawn bishopendgame crushing endgame short,https://lichess.org/YZGu9qYh/black#70,,Bxa3 c6 Bxb4 c7,"[Event ""advancedpawn bishopendgame crushing endgame short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""6k1/5p1p/6p1/1pPp4/pP6/P4PPP/8/2b3K1 b - - 0 35""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advancedpawn bishopendgame crushing endgame short""]
[ChapterName ""advancedpawn bishopendgame crushing endgame short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""670""]
[RatingDeviation ""95""]
[Popularity ""88""]
[NbPlays ""329""]
[Themes ""advancedpawn bishopendgame crushing endgame short""]

35... Bxa3 36. c6 Bxb4 37. c7 *"
0cxun,8/3b4/p3k3/1p2PP1p/2p1K1p1/2P3P1/PP5P/8 b - - 0 35,e6f7 e5e6 d7e6 f5e6,678,95,71,204,bishopendgame crushing endgame fork short,https://lichess.org/5QsFo65V/black#70,,Kf7 e6+ Bxe6 fxe6+,"[Event ""bishopendgame crushing endgame fork short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/3b4/p3k3/1p2PP1p/2p1K1p1/2P3P1/PP5P/8 b - - 0 35""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""bishopendgame crushing endgame fork short""]
[ChapterName ""bishopendgame crushing endgame fork short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""678""]
[RatingDeviation ""95""]
[Popularity ""71""]
[NbPlays ""204""]
[Themes ""bishopendgame crushing endgame fork short""]

35... Kf7 36. e6+ Bxe6 37. fxe6+ *"
0QOsE,8/ppk5/7p/3p1p2/4bK2/P4B1P/1P4P1/8 b - - 1 32,d5d4 f3e4 f5e4 f4e4,706,98,73,95,advantage bishopendgame endgame short,https://lichess.org/Z4hrjHdM/black#64,,d4 Bxe4 fxe4 Kxe4,"[Event ""advantage bishopendgame endgame short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/ppk5/7p/3p1p2/4bK2/P4B1P/1P4P1/8 b - - 1 32""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advantage bishopendgame endgame short""]
[ChapterName ""advantage bishopendgame endgame short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""706""]
[RatingDeviation ""98""]
[Popularity ""73""]
[NbPlays ""95""]
[Themes ""advantage bishopendgame endgame short""]

32... d4 33. Bxe4 fxe4 34. Kxe4 *"
0EkC2,8/3b1ppp/8/2p1p1k1/2P1P3/3PK3/6PP/3B4 w - - 7 34,e3f3 d7g4 f3e3 g4d1,715,92,89,1375,bishopendgame crushing endgame short skewer,https://lichess.org/0vz1h28f#67,,Kf3 Bg4+ Ke3 Bxd1,"[Event ""bishopendgame crushing endgame short skewer""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/3b1ppp/8/2p1p1k1/2P1P3/3PK3/6PP/3B4 w - - 7 34""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""bishopendgame crushing endgame short skewer""]
[ChapterName ""bishopendgame crushing endgame short skewer""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""715""]
[RatingDeviation ""92""]
[Popularity ""89""]
[NbPlays ""1375""]
[Themes ""bishopendgame crushing endgame short skewer""]

34. Kf3 Bg4+ 35. Ke3 Bxd1 *"
0SvOF,4k3/5p2/5Pp1/2B2b2/1pB3KP/bP6/8/8 w - - 1 47,g4g5 a3c1 c5e3 c1e3,720,79,44,100,bishopendgame endgame mate matein2 short,https://lichess.org/CaAmSZWW#93,,Kg5 Bc1+ Be3 Bxe3#,"[Event ""bishopendgame endgame mate matein2 short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""4k3/5p2/5Pp1/2B2b2/1pB3KP/bP6/8/8 w - - 1 47""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""bishopendgame endgame mate matein2 short""]
[ChapterName ""bishopendgame endgame mate matein2 short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""720""]
[RatingDeviation ""79""]
[Popularity ""44""]
[NbPlays ""100""]
[Themes ""bishopendgame endgame mate matein2 short""]

47. Kg5 Bc1+ 48. Be3 Bxe3# *"
0iiIt,4b3/8/1pk1p2p/3pP3/1P1K4/6P1/4BP2/8 b - - 2 48,c6d7 e2b5 d7e7 b5e8,736,82,82,206,bishopendgame crushing endgame master short,https://lichess.org/kam8EKiX/black#96,,Kd7 Bb5+ Ke7 Bxe8,"[Event ""bishopendgame crushing endgame master short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""4b3/8/1pk1p2p/3pP3/1P1K4/6P1/4BP2/8 b - - 2 48""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""bishopendgame crushing endgame master short""]
[ChapterName ""bishopendgame crushing endgame master short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""736""]
[RatingDeviation ""82""]
[Popularity ""82""]
[NbPlays ""206""]
[Themes ""bishopendgame crushing endgame master short""]

48... Kd7 49. Bb5+ Ke7 50. Bxe8 *"
0nk5X,8/2p2p2/2bk1K2/p1p5/2P3B1/1P6/P7/8 b - - 7 43,c6d7 g4d7 d6d7 f6f7,767,91,76,296,bishopendgame crushing endgame short,https://lichess.org/7MP27Ogx/black#86,,Bd7 Bxd7 Kxd7 Kxf7,"[Event ""bishopendgame crushing endgame short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/2p2p2/2bk1K2/p1p5/2P3B1/1P6/P7/8 b - - 7 43""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""bishopendgame crushing endgame short""]
[ChapterName ""bishopendgame crushing endgame short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""767""]
[RatingDeviation ""91""]
[Popularity ""76""]
[NbPlays ""296""]
[Themes ""bishopendgame crushing endgame short""]

43... Bd7 44. Bxd7 Kxd7 45. Kxf7 *"
