PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,SAN,PGN
0ok5e,rnbqkbnr/pp1pp2p/6Q1/4p3/3P4/3B4/PP3PPP/RNB1K1NR b KQkq - 0 8,h7g6 d3g6,422,96,85,1009,bodenmate mate matein1 onemove opening,https://lichess.org/AhCIDqSr/black#16,,hxg6 Bxg6#,"[Event ""bodenmate mate matein1 onemove opening""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""rnbqkbnr/pp1pp2p/6Q1/4p3/3P4/3B4/PP3PPP/RNB1K1NR b KQkq - 0 8""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""bodenmate mate matein1 onemove opening""]
[ChapterName ""bodenmate mate matein1 onemove opening""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""422""]
[RatingDeviation ""96""]
[Popularity ""85""]
[NbPlays ""1009""]
[Themes ""bodenmate mate matein1 onemove opening""]

8... hxg6 9. Bxg6# *"
0KWcq,r3k2r/pQ1nbppp/4p3/q7/3P1Bb1/4P3/PP3PPP/R3KBNR w KQkq - 1 11,b7b4 e7b4,451,97,79,199,bodenmate hangingpiece mate matein1 middlegame onemove,https://lichess.org/vEPR7kNv#21,Slav_Defense Slav_Defense_Other_variations,Qb4 Bxb4#,"[Event ""bodenmate hangingpiece mate matein1 middlegame onemove""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r3k2r/pQ1nbppp/4p3/q7/3P1Bb1/4P3/PP3PPP/R3KBNR w KQkq - 1 11""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""bodenmate hangingpiece mate matein1 middlegame onemove""]
[ChapterName ""bodenmate hangingpiece mate matein1 middlegame onemove""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""451""]
[RatingDeviation ""97""]
[Popularity ""79""]
[NbPlays ""199""]
[Themes ""bodenmate hangingpiece mate matein1 middlegame onemove""]

11. Qb4 Bxb4# *"
09GYu,rnb1k1nr/ppp2ppp/3b4/8/8/5Nq1/PPPPP2P/RNBQKB1R w KQkq - 0 6,h2g3 d6g3,471,95,75,877,bodenmate mate matein1 onemove opening,https://lichess.org/qhunEiHm#11,,hxg3 Bxg3#,"[Event ""bodenmate mate matein1 onemove opening""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""rnb1k1nr/ppp2ppp/3b4/8/8/5Nq1/PPPPP2P/RNBQKB1R w KQkq - 0 6""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""bodenmate mate matein1 onemove opening""]
[ChapterName ""bodenmate mate matein1 onemove opening""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""471""]
[RatingDeviation ""95""]
[Popularity ""75""]
[NbPlays ""877""]
[Themes ""bodenmate mate matein1 onemove opening""]

6. hxg3 Bxg3# *"
0mxNE,rnbqkb1r/1p1np2p/p1p1p1Q1/P2p4/3P4/2NB4/1PP2PPP/R1B1K1NR b KQkq - 0 10,h7g6 d3g6,496,100,97,385,bodenmate mate matein1 onemove opening,https://lichess.org/YubXOdcZ/black#20,Caro-Kann_Defense Caro-Kann_Defense_Other_variations,hxg6 Bxg6#,"[Event ""bodenmate mate matein1 onemove opening""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""rnbqkb1r/1p1np2p/p1p1p1Q1/P2p4/3P4/2NB4/1PP2PPP/R1B1K1NR b KQkq - 0 10""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""bodenmate mate matein1 onemove opening""]
[ChapterName ""bodenmate mate matein1 onemove opening""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""496""]
[RatingDeviation ""100""]
[Popularity ""97""]
[NbPlays ""385""]
[Themes ""bodenmate mate matein1 onemove opening""]

10... hxg6 11. Bxg6# *"
0eVsy,r2qr1kb/pbpnnp1p/1p1pN1pB/8/2B1P3/P1NP4/1PPQ1PPP/R4RK1 b - - 0 12,f7e6 c4e6,510,96,94,906,bodenmate kingsideattack mate matein1 middlegame onemove,https://lichess.org/xoi6eGPZ/black#24,Modern_Defense Modern_Defense_Other_variations,fxe6 Bxe6#,"[Event ""bodenmate kingsideattack mate matein1 middlegame onemove""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r2qr1kb/pbpnnp1p/1p1pN1pB/8/2B1P3/P1NP4/1PPQ1PPP/R4RK1 b - - 0 12""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""bodenmate kingsideattack mate matein1 middlegame onemove""]
[ChapterName ""bodenmate kingsideattack mate matein1 middlegame onemove""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""510""]
[RatingDeviation ""96""]
[Popularity ""94""]
[NbPlays ""906""]
[Themes ""bodenmate kingsideattack mate matein1 middlegame onemove""]

12... fxe6 13. Bxe6# *"
0nq6O,3Q2kb/p2q3p/2b1p1pB/8/2B5/1P5P/P4PP1/6K1 b - - 0 27,d7d8 c4e6,556,93,93,1657,bodenmate endgame mate matein1 onemove,https://lichess.org/5VO1v20B/black#54,,Qxd8 Bxe6#,"[Event ""bodenmate endgame mate matein1 onemove""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""3Q2kb/p2q3p/2b1p1pB/8/2B5/1P5P/P4PP1/6K1 b - - 0 27""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""bodenmate endgame mate matein1 onemove""]
[ChapterName ""bodenmate endgame mate matein1 onemove""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""556""]
[RatingDeviation ""93""]
[Popularity ""93""]
[NbPlays ""1657""]
[Themes ""bodenmate endgame mate matein1 onemove""]

27... Qxd8 28. Bxe6# *"
0aZ0A,r2q1rk1/ppp2p2/7p/2bBN1p1/4P3/2NPn1Pb/PPP2P1P/R2Q2KR w - - 3 15,f2e3 c5e3,679,98,95,245,bodenmate kingsideattack mate matein1 middlegame onemove,https://lichess.org/QlQTJyBt#29,Italian_Game Italian_Game_Giuoco_Pianissimo,fxe3 Bxe3#,"[Event ""bodenmate kingsideattack mate matein1 middlegame onemove""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r2q1rk1/ppp2p2/7p/2bBN1p1/4P3/2NPn1Pb/PPP2P1P/R2Q2KR w - - 3 15""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""bodenmate kingsideattack mate matein1 middlegame onemove""]
[ChapterName ""bodenmate kingsideattack mate matein1 middlegame onemove""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""679""]
[RatingDeviation ""98""]
[Popularity ""95""]
[NbPlays ""245""]
[Themes ""bodenmate kingsideattack mate matein1 middlegame onemove""]

15. fxe3 Bxe3# *"
0GSpF,r2qkb1r/pppbp2p/2np1nN1/8/8/2NB4/PPPP1PPP/R1BQK2R b KQkq - 0 8,h7g6 d3g6,682,83,100,110,bodenmate mate matein1 onemove opening,https://lichess.org/EYQ0jPEo/black#16,Duras_Gambit Duras_Gambit_Other_variations,hxg6 Bxg6#,"[Event ""bodenmate mate matein1 onemove opening""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r2qkb1r/pppbp2p/2np1nN1/8/8/2NB4/PPPP1PPP/R1BQK2R b KQkq - 0 8""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""bodenmate mate matein1 onemove opening""]
[ChapterName ""bodenmate mate matein1 onemove opening""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""682""]
[RatingDeviation ""83""]
[Popularity ""100""]
[NbPlays ""110""]
[Themes ""bodenmate mate matein1 onemove opening""]

8... hxg6 9. Bxg6# *"
007c6,2kr3r/pp1n2pp/2QB1bp1/5q2/2B5/8/PPP2PPP/3R1RK1 b - - 0 17,b7c6 c4a6,721,80,56,158,bodenmate mate matein1 middlegame onemove,https://lichess.org/vqwzqZHC/black#34,Elephant_Gambit Elephant_Gambit_Other_variations,bxc6 Ba6#,"[Event ""bodenmate mate matein1 middlegame onemove""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""2kr3r/pp1n2pp/2QB1bp1/5q2/2B5/8/PPP2PPP/3R1RK1 b - - 0 17""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""bodenmate mate matein1 middlegame onemove""]
[ChapterName ""bodenmate mate matein1 middlegame onemove""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""721""]
[RatingDeviation ""80""]
[Popularity ""56""]
[NbPlays ""158""]
[Themes ""bodenmate mate matein1 middlegame onemove""]

17... bxc6 18. Ba6# *"
0iWJY,2kr3r/p3bppp/2p1bn2/3p4/3N1B2/3B4/PPP2PPP/2KR3R b - - 5 14,e6d7 d3a6,780,88,88,150,bodenmate master mate matein1 middlegame onemove,https://lichess.org/uRGONrYW/black#28,Four_Knights_Game Four_Knights_Game_Scotch_Variation_Accepted,Bd7 Ba6#,"[Event ""bodenmate master mate matein1 middlegame onemove""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""2kr3r/p3bppp/2p1bn2/3p4/3N1B2/3B4/PPP2PPP/2KR3R b - - 5 14""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""bodenmate master mate matein1 middlegame onemove""]
[ChapterName ""bodenmate master mate matein1 middlegame onemove""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""780""]
[RatingDeviation ""88""]
[Popularity ""88""]
[NbPlays ""150""]
[Themes ""bodenmate master mate matein1 middlegame onemove""]

14... Bd7 15. Ba6# *"
0X7VE,rn1qk2r/p5pp/bpp1pn2/3p1p2/3P4/P3PPbP/NPPBK1P1/R2Q1BNR w kq - 2 10,c2c4 a6c4,782,80,90,253,bodenmate mate matein1 middlegame onemove,https://lichess.org/0bVbmbTa#19,Queens_Pawn_Game Queens_Pawn_Game_Other_variations,c4 Bxc4#,"[Event ""bodenmate mate matein1 middlegame onemove""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""rn1qk2r/p5pp/bpp1pn2/3p1p2/3P4/P3PPbP/NPPBK1P1/R2Q1BNR w kq - 2 10""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""bodenmate mate matein1 middlegame onemove""]
[ChapterName ""bodenmate mate matein1 middlegame onemove""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""782""]
[RatingDeviation ""80""]
[Popularity ""90""]
[NbPlays ""253""]
[Themes ""bodenmate mate matein1 middlegame onemove""]

10. c4 Bxc4# *"
0IfEx,r3k2r/p2b1ppp/1p1Bpn2/8/2BP4/8/PP3PPP/R2R2K1 b kq - 1 15,e8c8 c4a6,799,80,100,216,bodenmate mate matein1 middlegame onemove,https://lichess.org/OCrhmqtR/black#30,Horwitz_Defense Horwitz_Defense_Other_variations,O-O-O Ba6#,"[Event ""bodenmate mate matein1 middlegame onemove""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r3k2r/p2b1ppp/1p1Bpn2/8/2BP4/8/PP3PPP/R2R2K1 b kq - 1 15""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""bodenmate mate matein1 middlegame onemove""]
[ChapterName ""bodenmate mate matein1 middlegame onemove""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""799""]
[RatingDeviation ""80""]
[Popularity ""100""]
[NbPlays ""216""]
[Themes ""bodenmate mate matein1 middlegame onemove""]

15... O-O-O 16. Ba6# *"
0HnMJ,2kr3r/pp1qbp2/1np4p/3p1b2/3P2p1/1PN1P1P1/P2BQPBP/R3K2R w KQ - 2 16,e1c1 e7a3,805,81,86,449,bodenmate mate matein1 middlegame onemove,https://lichess.org/78kMQxM9#31,Slav_Defense Slav_Defense_Other_variations,O-O-O Ba3#,"[Event ""bodenmate mate matein1 middlegame onemove""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""2kr3r/pp1qbp2/1np4p/3p1b2/3P2p1/1PN1P1P1/P2BQPBP/R3K2R w KQ - 2 16""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""bodenmate mate matein1 middlegame onemove""]
[ChapterName ""bodenmate mate matein1 middlegame onemove""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""805""]
[RatingDeviation ""81""]
[Popularity ""86""]
[NbPlays ""449""]
[Themes ""bodenmate mate matein1 middlegame onemove""]

16. O-O-O Ba3# *"
001gi,r6r/1pNk1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R w KQ - 3 18,c7a8 a5c3,820,119,68,256,bodenmate hangingpiece mate matein1 middlegame onemove,https://lichess.org/1sV2Hr22#35,Sicilian_Defense Sicilian_Defense_Other_variations,Nxa8 Bxc3#,"[Event ""bodenmate hangingpiece mate matein1 middlegame onemove""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r6r/1pNk1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R w KQ - 3 18""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""bodenmate hangingpiece mate matein1 middlegame onemove""]
[ChapterName ""bodenmate hangingpiece mate matein1 middlegame onemove""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""820""]
[RatingDeviation ""119""]
[Popularity ""68""]
[NbPlays ""256""]
[Themes ""bodenmate hangingpiece mate matein1 middlegame onemove""]

18. Nxa8 Bxc3# *"
0NNhR,rq2kbr1/1b3p2/p4Bpp/NQ2p3/4P3/8/PPP3PP/2K2B1R b q - 0 18,a6b5 f1b5 b7c6 b5c6,858,85,74,393,bodenmate mate matein2 middlegame short,https://lichess.org/O2OcF1VX/black#36,Sicilian_Defense Sicilian_Defense_Najdorf_Variation,axb5 Bxb5+ Bc6 Bxc6#,"[Event ""bodenmate mate matein2 middlegame short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""rq2kbr1/1b3p2/p4Bpp/NQ2p3/4P3/8/PPP3PP/2K2B1R b q - 0 18""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""bodenmate mate matein2 middlegame short""]
[ChapterName ""bodenmate mate matein2 middlegame short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""858""]
[RatingDeviation ""85""]
[Popularity ""74""]
[NbPlays ""393""]
[Themes ""bodenmate mate matein2 middlegame short""]

18... axb5 19. Bxb5+ Bc6 20. Bxc6# *"
0Y3q4,1rk4r/1p2p1b1/pBn1p2p/3R2p1/8/5N2/PPB2PPP/2KR4 b - - 0 22,e6d5 c2f5 e7e6 f5e6,866,87,82,1091,bodenmate mate matein2 middlegame short,https://lichess.org/BaaK4MkE/black#44,,exd5 Bf5+ e6 Bxe6#,"[Event ""bodenmate mate matein2 middlegame short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""1rk4r/1p2p1b1/pBn1p2p/3R2p1/8/5N2/PPB2PPP/2KR4 b - - 0 22""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""bodenmate mate matein2 middlegame short""]
[ChapterName ""bodenmate mate matein2 middlegame short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""866""]
[RatingDeviation ""87""]
[Popularity ""82""]
[NbPlays ""1091""]
[Themes ""bodenmate mate matein2 middlegame short""]

22... exd5 23. Bf5+ e6 24. Bxe6# *"
