PuzzleId,FEN,Moves,Rating,Themes,SAN
05mhB,6k1/2B1bp2/4pn1p/p1p3p1/P1P5/1P3RNP/5PPK/3r4 b - - 1 34,e7d8 c7d8 d1d8 f3f6,856,advantage capturingdefender endgame short,Bd8 Bxd8 Rxd8 Rxf6
0oYoj,r2r2k1/pppQppbp/6p1/4n2n/4P1b1/P1P2N2/1P2BPPP/R1B1RNK1 b - - 0 13,d8d7 f3e5 g7e5 e2g4,894,capturingdefender crushing discoveredattack middlegame short,Rxd7 Nxe5 Bxe5 Bxg4
0QLm2,r2q1rk1/p1pp1ppp/1p3n2/3P4/1bb5/2N2N2/PP1B1PPP/R2QR1K1 b - - 1 12,f6d5 c3d5 c4d5 d2b4,907,advantage capturingdefender discoveredattack opening short,Nxd5 Nxd5 Bxd5 Bxb4
0BCoD,2r2k1r/2q2p2/3p2p1/4pn1P/1p2Q3/1N3P2/PPPR4/2K4R b - - 0 30,h8h5 h1h5 g6h5 e4f5,913,capturingdefender crushing middlegame short,Rxh5 Rxh5 gxh5 Qxf5
0EYiI,r2n2k1/p3q2p/4bpp1/1p2p3/Q7/PNP1P1BP/5PP1/R5K1 w - - 0 27,a4b4 e7b4 a3b4 e6b3,936,capturingdefender crushing middlegame short,Qb4 Qxb4 axb4 Bxb3
0cqb0,6k1/6bp/4p1p1/p2pP3/q2r2P1/P3Q2P/1P1R3K/8 w - - 0 36,e3d4 a4d4 d2d4 g7e5 h2g2 e5d4,941,attraction capturingdefender crushing endgame fork long,Qxd4 Qxd4 Rxd4 Bxe5+ Kg2 Bxd4
0AGou,r4r1k/ppp1n1p1/2n3q1/1B1pPpBb/3P4/P1P2N1P/5PP1/R2Q1RK1 w - - 4 17,a1b1 h5f3 d1f3 g6g5,948,advantage capturingdefender middlegame short,Rb1 Bxf3 Qxf3 Qxg5
0U8RM,2rq1rk1/4bppp/p2p1n2/1p3PB1/4p3/1PNQ4/1PP2PPP/R4RK1 w - - 0 16,c3e4 f6e4 d3e4 e7g5,949,advantage capturingdefender discoveredattack middlegame short,Nxe4 Nxe4 Qxe4 Bxg5
05GU4,4r1k1/rb3p2/pq2P1pp/1p1n4/2pN4/2P4P/1PQ3P1/1B1RR1K1 b - - 2 27,e8e6 e1e6 f7e6 c2g6,958,capturingdefender crushing kingsideattack master middlegame short,Rxe6 Rxe6 fxe6 Qxg6+
0HJOY,r4bk1/P4p1p/2rNp3/3pPp2/1p6/7P/5PP1/RR3K2 b - - 0 35,f8d6 e5d6 c6d6 b1b4,976,advantage capturingdefender endgame short,Bxd6 exd6 Rxd6 Rxb4
0Gj4x,6k1/pp2qppp/4p3/4P3/b2PpN2/6P1/nP1Q1P1P/2rB1RK1 b - - 5 20,e7b4 d2b4 a2b4 d1a4,996,advantage capturingdefender master middlegame short,Qb4 Qxb4 Nxb4 Bxa4
0VABK,rn1r2k1/1b2bppp/p4n2/1pp1N3/5P2/7P/PPP3P1/RNB1RBK1 b - - 0 14,b8c6 e5c6 b7c6 e1e7,997,advantage capturingdefender discoveredattack middlegame short,Nc6 Nxc6 Bxc6 Rxe7
0Zj0V,r3r1k1/p1p2ppp/8/3nq3/2p5/2N1B1Pb/PPQ1PP1P/R3R1K1 w - - 6 16,c3d5 e5d5 f2f3 e8e3,998,capturingdefender crushing discoveredattack master middlegame short,Nxd5 Qxd5 f3 Rxe3
0K57a,r2q2k1/pb1nrpp1/1p2p2p/4N3/3P2Q1/P1Nn4/1P3PPP/3R1RK1 w - - 0 19,d1d3 d7e5 d4e5 d8d3,1003,capturingdefender crushing discoveredattack middlegame short,Rxd3 Nxe5 dxe5 Qxd3
0I2G2,6k1/6pp/p1q2p2/Pp1rp3/8/2P4P/1P2QPP1/3R2K1 b - - 0 24,c6c4 e2c4 b5c4 d1d5,1007,capturingdefender crushing endgame pin short,Qc4 Qxc4 bxc4 Rxd5
0XHRB,2r2rk1/1b3ppp/1q2pn2/ppbp4/3B4/PP2P2P/N1P1BPP1/R2Q1RK1 w - - 0 15,a2c3 c5d4 d1d4 b6d4 e3d4 c8c3,1031,capturingdefender crushing long middlegame,Nc3 Bxd4 Qxd4 Qxd4 exd4 Rxc3
0ft0j,r2qkb1r/pp2pppp/2b2n2/8/3p4/1P3N2/PBPP1PPP/RN1Q1RK1 w kq - 0 9,b2d4 c6f3 d1f3 d8d4,1034,advantage capturingdefender intermezzo opening short,Bxd4 Bxf3 Qxf3 Qxd4
0ZEiG,r2q1rk1/1pp2pbp/4p1p1/p2nP1N1/P2P4/2P1B3/5PPP/R2Q1RK1 w - - 0 16,c3c4 d5e3 f2e3 d8g5,1043,advantage capturingdefender middlegame short,c4 Nxe3 fxe3 Qxg5
0Pmj8,rnb1k1r1/pp2np1p/2pp1q1b/5N2/2B1PBQ1/2NP4/PPP3PP/R4K1R w q - 1 12,g4h4 f6h4 f5h4 h6f4,1066,advantage capturingdefender middlegame short,Qh4 Qxh4 Nxh4 Bxf4
0IcWT,r1b1r1k1/1p1n1ppp/1q3n2/p3b1B1/4p3/2N1P3/PPPQ1PPP/2KR1BNR w - - 0 12,f1b5 e5c3 d2c3 b6b5,1073,capturingdefender crushing opening short,Bb5 Bxc3 Qxc3 Qxb5
