PuzzleId,FEN,Moves,Rating,Themes,SAN
0gvkC,r2r4/ppp2k1p/2n3p1/8/6b1/2P2P2/P1P1N2P/R1B1K2R b KQ - 0 15,g4f3 e1g1 f7g8 f1f3,1494,advantage castling middlegame pin short,Bxf3 O-O Kg8 Rxf3
0pFA3,rn2k2r/p1q2pp1/2pbpn1p/2ppNb2/3P1B2/1QN3P1/PP2PPBP/R4RK1 w kq - 0 12,d4c5 d6e5 f4e5 c7e5 b3b7 e8g8,1721,castling crushing defensivemove long middlegame,dxc5 Bxe5 Bxe5 Qxe5 Qb7 O-O
07n6T,r3k2r/1b1p1pp1/p3p2p/2qnP3/2B3Q1/P1P5/3B1PPP/R4RK1 w kq - 0 17,g4g7 e8c8 c4a6 b7a6,1736,advantage castling middlegame short,Qxg7 O-O-O Bxa6 Bxa6
0RU9s,r3k3/pp3p2/2ppb2R/6qN/2PpP3/3Q4/PP4rP/5R1K w q - 2 22,h6e6 f7e6 d3h3 e8c8,1836,advantage castling defensivemove hangingpiece middlegame short,Rxe6+ fxe6 Qh3 O-O-O
0I4Q7,r1bkr3/p4ppp/2p5/8/8/2P5/P3BPPP/R3K2R b KQ - 2 15,c8a6 e1c1 d8c7 e2a6,1897,advantage castling discoveredattack endgame short,Ba6 O-O-O+ Kc7 Bxa6
01xdm,r3k2r/4bppp/p2p4/2pPp3/4P1n1/2N2P1q/PP1BQP1P/R3K2R b KQkq - 6 15,g4h2 e1c1 h3f3 h1h2 f3e2 c3e2,1903,advantage castling long middlegame,Nxh2 O-O-O Qxf3 Rxh2 Qxe2 Nxe2
0CC4a,r3k2r/ppp3pp/3b4/3pn3/3P2bq/1B6/PPP2PP1/RNBQR1K1 w kq - 0 12,d1d3 e8g8 b3d5 g8h8,1911,castling crushing defensivemove middlegame short,Qd3 O-O Bxd5+ Kh8
0FE9n,r2qk2r/1pp2ppp/p1b5/2b1P3/8/2P2N2/PP2QPPP/R1B2RK1 w kq - 2 14,c1g5 c6f3 e2f3 d8g5 f3b7 e8g8,1918,advantage capturingdefender castling defensivemove long middlegame,Bg5 Bxf3 Qxf3 Qxg5 Qxb7 O-O
035YV,r1bk3r/1p3ppp/p7/2b5/P7/4Bp2/1P3PPP/R3KB1R b KQ - 1 14,h8e8 e1c1 c8d7 e3c5,1976,advantage castling discoveredattack master middlegame pin short,Re8 O-O-O+ Bd7 Bxc5
0m0ym,4k2r/p1q2ppp/4p3/2b5/6nr/P1N1P1P1/1P3P1P/R1BQ1RK1 w k - 1 19,d1f3 e8g8 h2h3 g4e5,2049,castling equality middlegame short,Qf3 O-O h3 Ne5
