PuzzleId,FEN,Moves,Rating,Themes,SAN
04YLh,6k1/p6p/2p1q1pB/3B4/3b4/P4QP1/1r5P/5R1K b - - 1 27,e6d5 f3d5 c6d5 f1f8,439,clearance endgame master mate matein2 short,Qxd5 Qxd5+ cxd5 Rf8#
0QtZ5,r1bq1rk1/pp2bpp1/2p1pn1p/3n4/2PPNB2/3Q1N2/PPB2PPP/R4RK1 b - - 0 12,d5f4 e4f6 e7f6 d3h7,625,clearance kingsideattack mate matein2 middlegame short,Nxf4 Nxf6+ Bxf6 Qh7#
06k0H,5r1k/pp5p/3p3q/4p1N1/3p1nR1/3P4/PPP4P/6RK b - - 0 30,b7b6 g5f7 f8f7 g4g8,802,clearance endgame mate matein2 sacrifice short,b6 Nf7+ Rxf7 Rg8#
0GgNa,1br2r1k/1pq2ppB/p7/2PpnQ2/1P6/P6P/1B3PP1/R4RK1 w - - 0 22,f5h5 e5f3 g2f3 c7h2,806,clearance kingsideattack mate matein2 middlegame sacrifice short,Qh5 Nf3+ gxf3 Qh2#
084Ml,1r5k/5p1p/4pPp1/p3P1P1/2p1B3/2P2N2/Pq1Q3P/7K w - - 2 36,h1g2 b2d2 f3d2 b8b2,806,advantage clearance endgame pin short,Kg2 Qxd2+ Nxd2 Rb2
0iV3r,r2q1rk1/p2p2pp/1p6/n1pb1P2/2P5/P2B1N2/5PPP/R2Q1RK1 b - - 0 16,d5c4 d3c4 a5c4 d1d5,815,advantage clearance middlegame short,Bxc4 Bxc4+ Nxc4 Qd5+
0fjWx,r1bq1rk1/ppp2pp1/2nbpn1p/8/3PNB2/2PQ1N2/PPB2PPP/R4RK1 b - - 3 12,d6f4 e4f6 d8f6 d3h7,829,clearance kingsideattack mate matein2 middlegame short,Bxf4 Nxf6+ Qxf6 Qh7#
0WftB,5R2/5P2/3p3p/2p5/1p2k2P/5r2/1K6/8 b - - 0 39,c5c4 f8e8 e4d3 f7f8q f3f8 e8f8,847,advancedpawn clearance crushing endgame long promotion rookendgame,c4 Re8+ Kd3 f8=Q Rxf8 Rxf8
0jY9H,r1bq1rk1/1p1p1pp1/p5n1/6Np/4NP2/3Q4/PP4PP/R3R1K1 b - - 0 17,g6f4 e4f6 d8f6 d3h7,857,clearance kingsideattack mate matein2 middlegame sacrifice short,Nxf4 Nf6+ Qxf6 Qh7#
0UZsA,6kb/5p1p/1qp1p1pP/5P2/1p1rN1P1/4Q3/1P2K3/7R b - - 1 28,e6f5 e4f6 h8f6 e3e8,882,clearance endgame mate matein2 sacrifice short,exf5 Nf6+ Bxf6 Qe8#
02wKw,6R1/ppp3P1/3k4/2qp4/8/1P6/PK6/8 b - - 0 44,d6e6 g8e8 e6d7 g7g8q,894,advancedpawn advantage clearance endgame promotion queenrookendgame short,Ke6 Re8+ Kd7 g8=Q
0FuOK,r1b2rk1/pp3pb1/1np3N1/3pq1Bp/8/3Q4/PP3PPP/RB3RK1 b - - 0 23,e5g5 g6e7 g5e7 d3h7,901,clearance kingsideattack mate matein2 opening sacrifice short,Qxg5 Ne7+ Qxe7 Qh7#
0lO0v,8/8/1R2Pk2/pB3P2/P4KP1/8/2p5/2r5 w - - 0 57,b5d3 c1f1 d3f1 c2c1q f4e4 c1f1,908,advancedpawn advantage clearance endgame fork long promotion,Bd3 Rf1+ Bxf1 c1=Q+ Ke4 Qxf1
01LlS,4rrk1/ppp1qppp/8/6N1/4N1P1/b2Q3P/P4P2/1R4K1 b - - 0 24,h7h6 e4f6 g7f6 d3h7,917,clearance kingsideattack mate matein2 middlegame sacrifice short,h6 Nf6+ gxf6 Qh7#
0cZkt,6k1/7p/1P4p1/1r6/8/4B3/5PPP/1rR3K1 w - - 4 41,g2g3 b1c1 e3c1 b5b1,920,clearance crushing endgame pin short,g3 Rxc1+ Bxc1 Rb1
00oYS,4K3/4P1k1/8/8/8/8/2p1R3/2r5 w - - 10 59,e8d7 c1d1 d7e6 c2c1q,930,advancedpawn clearance crushing endgame master promotion rookendgame short,Kd7 Rd1+ Ke6 c1=Q
0fohR,4r1k1/5pp1/pp1P3p/8/nB6/P7/5PPP/3R2K1 b - - 0 28,a6a5 d6d7 e8d8 b4e7 d8d7 d1d7,935,advancedpawn advantage clearance endgame long,a5 d7 Rd8 Be7 Rxd7 Rxd7
0jqYz,6k1/6bp/2p5/8/3q4/4rQ2/6P1/4R1K1 w - - 0 39,f3e3 d4e3 e1e3 g7d4,936,clearance crushing endgame pin short,Qxe3 Qxe3+ Rxe3 Bd4
0lIYr,4r2k/1p4p1/5p1p/4q3/5N2/pP4B1/P1Q2PPP/K1R5 w - - 0 35,c2c3 e5c3 c1c3 e8e1 c3c1 e1c1,951,clearance endgame long mate matein3,Qc3 Qxc3+ Rxc3 Re1+ Rc1 Rxc1#
0S37t,2k4r/ppp1p2r/3q3b/5p2/3P1Np1/1Q1PB1P1/PP3P2/R4RK1 w - - 1 19,b3e6 d6e6 f4e6 h6e3 f2e3 h7h1,958,clearance crushing long middlegame,Qe6+ Qxe6 Nxe6 Bxe3 fxe3 Rh1+
