PuzzleId,FEN,Moves,Rating,Themes,SAN
0LGVv,2k5/ppp5/2p3P1/5r1p/1P3p2/8/P4R2/6K1 b - - 0 33,f5g5 f2g2 g5g6 g2g6,648,crushing defensivemove endgame rookendgame short,Rg5+ Rg2 Rxg6 Rxg6
0GkwE,8/3R4/3r3p/3kp1pP/6P1/5K2/8/8 w - - 16 45,d7d6 d5d6 f3e4 d6e6,688,crushing defensivemove endgame short,Rxd6+ Kxd6 Ke4 Ke6
0DWW4,8/1p6/2r2p2/7R/3k3P/6K1/6P1/8 b - - 0 50,c6c5 h5c5 d4c5 h4h5,700,crushing defensivemove endgame rookendgame short,Rc5 Rxc5 Kxc5 h5
0EDRK,8/8/8/5p2/6p1/6P1/4kP2/6K1 b - - 6 52,f5f4 g3f4 e2f3 f4f5,704,crushing defensivemove endgame master pawnendgame short,f4 gxf4 Kf3 f5
0izr5,k1r5/1p2Qp2/p2P4/8/3q4/8/4R3/1K6 b - - 5 46,d4b4 e2b2 c8c1 b1c1,718,advantage defensivemove endgame short,Qb4+ Rb2 Rc1+ Kxc1
0Lgue,8/8/2p2pp1/1p1pk3/1P4KP/2P2P2/2P5/8 w - - 6 47,f3f4 e5e4 f4f5 g6f5,727,crushing defensivemove endgame pawnendgame short zugzwang,f4+ Ke4 f5 gxf5+
0i2Ho,8/8/8/3bk3/5p1p/2N4P/5K2/8 w - - 0 53,c3d5 e5d5 f2f3 d5e5,738,crushing defensivemove endgame master mastervsmaster short,Nxd5 Kxd5 Kf3 Ke5
0MH1w,8/R4k2/4r1p1/6P1/5K2/8/8/8 b - - 2 44,e6e7 a7e7 f7e7 f4e5,738,crushing defensivemove endgame rookendgame short zugzwang,Re7 Rxe7+ Kxe7 Ke5
0QuQr,8/8/7R/5p2/8/P7/1P4kp/2K5 w - - 0 52,h6h2 g2h2 c1c2 f5f4,744,crushing defensivemove endgame hangingpiece short,Rxh2+ Kxh2 Kc2 f4
0MOCI,8/8/3K2kp/3R3r/5p2/5P2/8/8 w - - 2 50,d5h5 g6h5 d6e5 h5g5,746,crushing defensivemove endgame short,Rxh5 Kxh5 Ke5 Kg5
0UvTA,4Q3/7k/3p3p/3Pp3/4Pr2/P7/1PP2q2/R6K w - - 7 38,e8e7 f4f7 e7f7 f2f7,777,crushing defensivemove endgame short,Qe7+ Rf7 Qxf7+ Qxf7
0iZf1,8/2R5/4k3/6K1/6P1/8/2Pr3p/8 w - - 6 44,c7c6 d2d6 c6d6 e6d6,782,crushing defensivemove endgame rookendgame short,Rc6+ Rd6 Rxd6+ Kxd6
0HZfF,8/8/4r3/1K3kpp/8/7P/P1R5/8 w - - 0 49,c2c5 e6e5 b5b4 e5c5,786,crushing defensivemove endgame rookendgame short,Rc5+ Re5 Kb4 Rxc5
0lLSj,8/6P1/1r2PK2/3k4/8/8/8/8 b - - 0 61,b6e6 f6f7 e6e5 g7g8q,800,advancedpawn crushing defensivemove endgame promotion rookendgame short,Rxe6+ Kf7 Re5 g8=Q
0FfsC,8/8/p7/7p/1k3K1P/5Pp1/6P1/8 w - - 0 49,f4g3 a6a5 g3f4 a5a4,801,crushing defensivemove endgame pawnendgame quietmove short,Kxg3 a5 Kf4 a4
0BrjS,8/2r1k1pp/4B3/2b1RP2/5p2/pK3P2/P6P/8 w - - 2 39,e6d5 e7d6 e5e4 d6d5,806,crushing defensivemove endgame short,Bd5+ Kd6 Re4 Kxd5
0pEZk,8/8/8/1Qp3K1/8/6P1/8/3qk3 w - - 6 65,b5a5 d1d2 a5d2 e1d2 g3g4 c5c4,809,crushing defensivemove endgame long queenendgame,Qa5+ Qd2+ Qxd2+ Kxd2 g4 c4
0VuhW,3r4/8/8/p7/2Rp2P1/1k1K4/8/8 w - - 3 48,c4d4 d8d4 d3d4 a5a4,817,crushing defensivemove endgame master rookendgame short,Rxd4 Rxd4+ Kxd4 a4
09iFa,k7/1p6/PK4p1/6P1/6P1/8/8/8 b - - 0 54,b7a6 b6a6 a8b8 a6b6 b8c8 b6c6 c8d8 c6d6,837,crushing defensivemove endgame master pawnendgame verylong,bxa6 Kxa6 Kb8 Kb6 Kc8 Kc6 Kd8 Kd6
0ZjNU,r2r4/5B2/p4Q1p/8/1p6/p6P/6P1/2k4K w - - 15 50,f6f1 d8d1 f1d1 c1d1,840,crushing defensivemove endgame pin short,Qf1+ Rd1 Qxd1+ Kxd1
0EyOu,1k6/1pp3pr/p1n1Qpp1/2q5/4pP2/2P1P3/PP4PP/3RB1K1 b - - 0 24,c5e3 e1f2 e3f2 g1f2,840,crushing defensivemove endgame short,Qxe3+ Bf2 Qxf2+ Kxf2
08NWB,8/rkp5/8/2K3p1/8/7P/8/R7 w - - 0 51,a1a7 b7a7 c5c6 a7b8,843,crushing defensivemove endgame short,Rxa7+ Kxa7 Kc6 Kb8
0WwQ3,3r3r/p1p1k1q1/2Qp1p2/3Bp3/P3P2p/3P1b2/5PPB/R4RK1 w - - 3 23,c6c7 d8d7 c7d7 e7d7,860,crushing defensivemove middlegame pin short,Qxc7+ Rd7 Qxd7+ Kxd7
03X18,3r1r2/8/4k1p1/3ppq2/2Q5/2P3P1/PP3PK1/3R3R w - - 0 38,c4c6 d8d6 c6d6 e6d6,861,crushing defensivemove endgame short,Qc6+ Rd6 Qxd6+ Kxd6
0SOAL,4q3/PKQ5/8/8/8/6p1/6k1/8 b - - 5 70,e8e4 c7c6 e4c6 b7c6 g2f2 a7a8q,864,advancedpawn crushing defensivemove endgame long promotion queenendgame,Qe4+ Qc6 Qxc6+ Kxc6 Kf2 a8=Q
0Vk4j,3k4/5nR1/p1p1bP2/P7/4K3/8/8/8 b - - 0 60,f7d6 e4e5 e6d5 e5d6,865,crushing defensivemove endgame short,Nd6+ Ke5 Bd5 Kxd6
0Cr42,r3kb1r/p1p2ppp/1pb1p3/4N3/1q1P4/2P1P3/P4PPP/R1BQK2R b KQkq - 0 12,b4c3 c1d2 c3a1 d1a1,869,advantage defensivemove middlegame short,Qxc3+ Bd2 Qxa1 Qxa1
0U0cT,8/8/1p2r3/1P5p/R3p1k1/2P1K1p1/1P4P1/8 w - - 2 46,a4e4 e6e4 e3e4 h5h4,871,crushing defensivemove endgame rookendgame short,Rxe4+ Rxe4+ Kxe4 h4
0HkxM,8/8/4p3/R1r2p2/K3k1p1/1P2P1P1/P6P/8 b - - 0 47,c5a5 a4a5 e4e3 b3b4 e6e5 b4b5,873,crushing defensivemove endgame long master quietmove,Rxa5+ Kxa5 Kxe3 b4 e5 b5
0VQxN,8/8/2p3k1/1p1p2p1/3P3q/2P1P3/p4Q1K/B7 w - - 8 50,f2h4 g5h4 h2h3 g6g5,875,crushing defensivemove endgame short zugzwang,Qxh4 gxh4 Kh3 Kg5
08z9j,8/4k3/5Rp1/p5K1/5P1P/8/8/r7 w - - 8 45,f6g6 a1g1 g5f5 g1g6 f5g6 a5a4,876,crushing defensivemove endgame long rookendgame,Rxg6 Rg1+ Kf5 Rxg6 Kxg6 a4
