PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,SAN,PGN
0LSCd,6k1/p5b1/1p3P1p/2p5/2P5/PPB1p3/6K1/8 b - - 0 39,g7h8 f6f7 g8f7 c3h8,566,101,80,300,advancedpawn bishopendgame crushing deflection discoveredattack endgame short,https://lichess.org/gENFWmtO/black#78,,Bh8 f7+ Kxf7 Bxh8,"[Event ""advancedpawn bishopendgame crushing deflection discoveredattack endgame short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""6k1/p5b1/1p3P1p/2p5/2P5/PPB1p3/6K1/8 b - - 0 39""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advancedpawn bishopendgame crushing deflection discoveredattack endgame short""]
[ChapterName ""advancedpawn bishopendgame crushing deflection discoveredattack endgame short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""566""]
[RatingDeviation ""101""]
[Popularity ""80""]
[NbPlays ""300""]
[Themes ""advancedpawn bishopendgame crushing deflection discoveredattack endgame short""]

39... Bh8 40. f7+ Kxf7 41. Bxh8 *"
0Mgua,5kr1/1pp2p2/p7/2P5/1P1R3R/5P2/1P4r1/5K2 b - - 1 46,g2b2 d4d8 f8e7 d8g8,614,85,57,168,crushing deflection endgame rookendgame short skewer,https://lichess.org/1hkvgK1L/black#92,,Rxb2 Rd8+ Ke7 Rxg8,"[Event ""crushing deflection endgame rookendgame short skewer""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""5kr1/1pp2p2/p7/2P5/1P1R3R/5P2/1P4r1/5K2 b - - 1 46""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""crushing deflection endgame rookendgame short skewer""]
[ChapterName ""crushing deflection endgame rookendgame short skewer""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""614""]
[RatingDeviation ""85""]
[Popularity ""57""]
[NbPlays ""168""]
[Themes ""crushing deflection endgame rookendgame short skewer""]

46... Rxb2 47. Rd8+ Ke7 48. Rxg8 *"
0JlDf,8/8/p7/8/1Q6/2pp4/P1k2K2/8 w - - 2 49,f2e1 d3d2 e1f2 d2d1q,653,100,82,702,advancedpawn crushing deflection endgame promotion queenendgame short,https://lichess.org/1Sumi7MS#97,,Ke1 d2+ Kf2 d1=Q,"[Event ""advancedpawn crushing deflection endgame promotion queenendgame short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/8/p7/8/1Q6/2pp4/P1k2K2/8 w - - 2 49""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advancedpawn crushing deflection endgame promotion queenendgame short""]
[ChapterName ""advancedpawn crushing deflection endgame promotion queenendgame short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""653""]
[RatingDeviation ""100""]
[Popularity ""82""]
[NbPlays ""702""]
[Themes ""advancedpawn crushing deflection endgame promotion queenendgame short""]

49. Ke1 d2+ 50. Kf2 d1=Q *"
0Mpmq,8/p1p2p2/4bk1p/1p6/1Pp1PbP1/2P5/P4NP1/1K1B4 b - - 2 29,f6g5 f2h3 g5h4 h3f4,653,80,100,185,advantage deflection endgame short,https://lichess.org/7GNJAWVW/black#58,,Kg5 Nh3+ Kh4 Nxf4,"[Event ""advantage deflection endgame short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/p1p2p2/4bk1p/1p6/1Pp1PbP1/2P5/P4NP1/1K1B4 b - - 2 29""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advantage deflection endgame short""]
[ChapterName ""advantage deflection endgame short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""653""]
[RatingDeviation ""80""]
[Popularity ""100""]
[NbPlays ""185""]
[Themes ""advantage deflection endgame short""]

29... Kg5 30. Nh3+ Kh4 31. Nxf4 *"
0IDwU,4r1k1/2r2p1p/p1Nbpp2/1p6/nP6/P3PN2/2R2PPP/2R3K1 b - - 3 22,e8c8 c6e7 c7e7 c2c8,660,90,94,289,advantage deflection discoveredattack middlegame short,https://lichess.org/YAiAwH66/black#44,,Rec8 Ne7+ Rxe7 Rxc8+,"[Event ""advantage deflection discoveredattack middlegame short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""4r1k1/2r2p1p/p1Nbpp2/1p6/nP6/P3PN2/2R2PPP/2R3K1 b - - 3 22""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advantage deflection discoveredattack middlegame short""]
[ChapterName ""advantage deflection discoveredattack middlegame short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""660""]
[RatingDeviation ""90""]
[Popularity ""94""]
[NbPlays ""289""]
[Themes ""advantage deflection discoveredattack middlegame short""]

22... Rec8 23. Ne7+ Rxe7 24. Rxc8+ *"
0ed5L,5r1k/p1QbR2p/5qp1/2P5/P7/8/5PPP/5BK1 w - - 1 27,c7d7 f6f2 g1h1 f2f1,669,82,100,349,deflection endgame mate matein2 short,https://lichess.org/Z1igO0qO#53,,Qxd7 Qxf2+ Kh1 Qxf1#,"[Event ""deflection endgame mate matein2 short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""5r1k/p1QbR2p/5qp1/2P5/P7/8/5PPP/5BK1 w - - 1 27""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""deflection endgame mate matein2 short""]
[ChapterName ""deflection endgame mate matein2 short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""669""]
[RatingDeviation ""82""]
[Popularity ""100""]
[NbPlays ""349""]
[Themes ""deflection endgame mate matein2 short""]

27. Qxd7 Qxf2+ 28. Kh1 Qxf1# *"
07sC5,rk6/pr3ppp/3R4/1p1p4/2pP4/2P1P3/5PPP/R4K2 b - - 5 23,a7a5 d6d8 b8c7 d8a8,680,89,88,427,advantage deflection endgame queensideattack rookendgame short skewer,https://lichess.org/sMMuLpuJ/black#46,,a5 Rd8+ Kc7 Rxa8,"[Event ""advantage deflection endgame queensideattack rookendgame short skewer""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""rk6/pr3ppp/3R4/1p1p4/2pP4/2P1P3/5PPP/R4K2 b - - 5 23""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advantage deflection endgame queensideattack rookendgame short skewer""]
[ChapterName ""advantage deflection endgame queensideattack rookendgame short skewer""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""680""]
[RatingDeviation ""89""]
[Popularity ""88""]
[NbPlays ""427""]
[Themes ""advantage deflection endgame queensideattack rookendgame short skewer""]

23... a5 24. Rd8+ Kc7 25. Rxa8 *"
0mvoH,8/7p/8/5pk1/5R2/5P1P/r5PK/8 w - - 2 47,h2g3 a2g2 g3g2 g5f4,708,79,98,1545,crushing deflection endgame rookendgame short,https://lichess.org/Fzy7KALl#93,,Kg3 Rxg2+ Kxg2 Kxf4,"[Event ""crushing deflection endgame rookendgame short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/7p/8/5pk1/5R2/5P1P/r5PK/8 w - - 2 47""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""crushing deflection endgame rookendgame short""]
[ChapterName ""crushing deflection endgame rookendgame short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""708""]
[RatingDeviation ""79""]
[Popularity ""98""]
[NbPlays ""1545""]
[Themes ""crushing deflection endgame rookendgame short""]

47. Kg3 Rxg2+ 48. Kxg2 Kxf4 *"
0fl7m,8/8/3p1k2/3Pp2p/2Qq1p1P/5P2/3K4/8 w - - 20 59,c4d4 e5d4 d2d3 f6e5 d3c4 d4d3 c4d3 e5d5,722,83,100,72,crushing deflection endgame verylong,https://lichess.org/06JXrHvB#117,,Qxd4 exd4 Kd3 Ke5 Kc4 d3 Kxd3 Kxd5,"[Event ""crushing deflection endgame verylong""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/8/3p1k2/3Pp2p/2Qq1p1P/5P2/3K4/8 w - - 20 59""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""crushing deflection endgame verylong""]
[ChapterName ""crushing deflection endgame verylong""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""722""]
[RatingDeviation ""83""]
[Popularity ""100""]
[NbPlays ""72""]
[Themes ""crushing deflection endgame verylong""]

59. Qxd4 exd4 60. Kd3 Ke5 61. Kc4 d3 62. Kxd3 Kxd5 *"
0RTdm,4Rnk1/pp4pp/2p5/8/8/7B/P1P2PKP/2q5 b - - 13 32,c1c2 h3e6 g8h8 e8f8,726,96,94,1287,backrankmate deflection endgame mate matein2 short,https://lichess.org/x9nJ3inN/black#64,,Qxc2 Be6+ Kh8 Rxf8#,"[Event ""backrankmate deflection endgame mate matein2 short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""4Rnk1/pp4pp/2p5/8/8/7B/P1P2PKP/2q5 b - - 13 32""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""backrankmate deflection endgame mate matein2 short""]
[ChapterName ""backrankmate deflection endgame mate matein2 short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""726""]
[RatingDeviation ""96""]
[Popularity ""94""]
[NbPlays ""1287""]
[Themes ""backrankmate deflection endgame mate matein2 short""]

32... Qxc2 33. Be6+ Kh8 34. Rxf8# *"
