PuzzleId,FEN,Moves,Rating,Themes,SAN
0dcnh,3r1k2/5pp1/p3p2p/3b4/8/2P2Q1P/PP4P1/7K w - - 0 36,f3d3 d5g2 h1g2 d8d3,543,crushing discoveredattack endgame short,Qd3 Bxg2+ Kxg2 Rxd3
0LSCd,6k1/p5b1/1p3P1p/2p5/2P5/PPB1p3/6K1/8 b - - 0 39,g7h8 f6f7 g8f7 c3h8,566,advancedpawn bishopendgame crushing deflection discoveredattack endgame short,Bh8 f7+ Kxf7 Bxh8
0Fb1N,r1bq1bk1/pp5p/2p2rpQ/3p4/8/2PBB3/PPP3PP/R4RK1 w - - 2 15,h6h4 f6f1 d3f1 d8h4,580,crushing discoveredattack kingsideattack middlegame short,Qh4 Rxf1+ Bxf1 Qxh4
0Eu4T,3r1rk1/p4ppp/1p3n2/2p5/2P2P1P/3BPK2/P5P1/1R1R4 b - - 5 23,d8d6 d3h7 f6h7 d1d6,588,crushing discoveredattack endgame kingsideattack short,Rd6 Bxh7+ Nxh7 Rxd6
034Pi,r4rk1/pb3pp1/1p5p/2p5/2Rq4/3B3P/PP3PP1/3QR1K1 b - - 1 18,d4d7 d3h7 g8h7 d1d7,598,advantage discoveredattack middlegame short,Qd7 Bh7+ Kxh7 Qxd7
0FyKe,r1bq4/p2n2k1/1ppNprpp/8/3P4/P3P3/1PB2QPP/R4RK1 w - - 0 24,f2h4 f6f1 a1f1 d8h4,628,crushing discoveredattack kingsideattack middlegame short,Qh4 Rxf1+ Rxf1 Qxh4
0bjDe,3rq2k/5rp1/p2pp2p/1pp5/4P1Q1/4B2P/PPP3P1/R4RK1 w - - 2 22,g4h5 f7f1 a1f1 e8h5,636,crushing discoveredattack kingsideattack middlegame short,Qh5 Rxf1+ Rxf1 Qxh5
0EZcF,2r3k1/pp3ppp/5n2/3B4/8/8/PP3PPP/1K1R4 b - - 2 19,c8d8 d5f7 g8f7 d1d8,640,crushing discoveredattack endgame short,Rd8 Bxf7+ Kxf7 Rxd8
03aA1,rn2kb1r/ppp1qppp/4bn2/8/2PP4/8/PP2QPPP/RNB1KBNR b KQkq - 2 6,e6c4 e2e7 f8e7 f1c4,643,crushing discoveredattack master opening short,Bxc4 Qxe7+ Bxe7 Bxc4
09TPs,4r3/p4kp1/1p2qp1p/2p5/P2p3P/1P1P1R2/2P2PP1/3Q1K2 b - - 1 27,e6g4 f3f6 f7f6 d1g4,647,crushing discoveredattack endgame short,Qg4 Rxf6+ Kxf6 Qxg4
