PuzzleId,FEN,Moves,Rating,Themes,SAN
0Dwxm,r1bq1bkr/pp4pp/2n5/3Qp3/2Bp4/8/PPP2PPP/RNB2RK1 b - - 0 10,d8d5 c4d5 c8e6 d5e6,425,doublebishopmate kingsideattack mate matein2 opening short,Qxd5 Bxd5+ Be6 Bxe6#
0Q5DX,7k/7p/5Qp1/1p2b1B1/nP6/1BPp1K1P/4r1P1/8 b - - 6 39,e5f6 g5f6,445,doublebishopmate endgame mate matein1 onemove,Bxf6 Bxf6#
0dXrd,rkb4r/pp2B3/2p5/5p2/8/8/PPPKB1PP/7R b - - 0 27,h8e8 e7d6,556,doublebishopmate endgame mate matein1 onemove,Re8 Bd6#
0PUWQ,r1b1Rr1k/pp5p/2p3p1/8/3b4/1B2B3/P1P3PP/6K1 b - - 3 24,f8e8 e3d4 e8e5 d4e5,603,doublebishopmate endgame hangingpiece mate matein2 short,Rxe8 Bxd4+ Re5 Bxe5#
0pSQ2,rn4k1/pp3pbp/3B2p1/2pP1b2/8/2r5/PP4PP/K2R1B1R w - - 0 18,b2c3 g7c3,623,doublebishopmate mate matein1 middlegame onemove,bxc3 Bxc3#
0O47h,3r1r1k/2R2B1p/1p1P2p1/p3bp2/P3p3/1P1RP1BP/5PP1/6K1 b - - 0 33,e4d3 g3e5,663,doublebishopmate endgame hangingpiece kingsideattack mate matein1 onemove,exd3 Bxe5#
0nUHY,r3kb1r/6p1/p1p2p2/1p5p/4PB2/8/bPPN1PPP/2KR3R w kq - 0 16,b2b3 f8a3,690,doublebishopmate master mate matein1 middlegame onemove,b3 Ba3#
0FAGY,4r1k1/pb3p1p/1p3PpB/2b1p1Q1/2p1qRP1/2P5/PP5P/7K w - - 0 32,f4e4 b7e4,696,doublebishopmate endgame kingsideattack master mate matein1 onemove,Rxe4 Bxe4#
0oWG6,r2qkbnr/1pp1p3/p1n2p2/3p1bp1/3P3p/N1PBPN1P/PP3PPB/R2QK2R b KQkq - 2 11,f5d7 d3g6,703,doublebishopmate mate matein1 onemove opening,Bd7 Bg6#
0A0Ez,r5kr/pp4pp/2n2b2/3p1B2/3p4/B1P1Q3/P1P3PP/R5K1 b - - 0 18,d4e3 f5e6,708,doublebishopmate mate matein1 middlegame onemove,dxe3 Be6#
0ogrc,2B3k1/1p3p2/2p3bP/4P3/1P6/2p1b3/2P4P/R6K w - - 0 32,a1e1 g6e4,715,doublebishopmate endgame mate matein1 onemove,Re1 Be4#
0lK7J,5r1k/1ppn3p/p4p2/6p1/2B1q3/P1Q5/1BP2PPP/6K1 b - - 1 33,f8e8 c3f6 d7f6 b2f6,738,doublebishopmate endgame mate matein2 sacrifice short,Re8 Qxf6+ Nxf6 Bxf6#
0KvZ5,3rk2r/Q1p1pp1p/2b2p1b/8/8/2N3P1/PPP1N2P/5BK1 w k - 1 17,a7c7 h6e3,809,doublebishopmate mate matein1 middlegame onemove,Qxc7 Be3#
0FSCf,2r3k1/1BB2ppp/4bn2/1p6/8/6P1/PP2Pb1P/R6K w - - 0 21,b7c8 e6d5 e2e4 d5e4,830,doublebishopmate endgame mate matein2 short,Bxc8 Bd5+ e4 Bxe4#
0IdCa,6k1/5pbp/1Bp3p1/P2r4/4p3/2Pb4/5PPP/1rRBK2R w K - 4 23,c1b1 g7c3,831,doublebishopmate master mate matein1 middlegame onemove,Rxb1 Bxc3#
0cYcZ,8/3k3p/R2b4/8/6PP/3b3K/5P2/8 w - - 3 46,a6a5 d3f1,850,doublebishopmate endgame mate matein1 onemove,Ra5 Bf1#
0SGDa,8/2R5/3Pbkpp/3B1p2/8/6P1/4rb1P/5N1K w - - 6 39,d6d7 e6d5,852,doublebishopmate endgame hangingpiece master mate matein1 onemove,d7 Bxd5#
07F8Y,rnb1kb1r/pp3ppp/2p5/8/2P2q2/4PN2/PP1B2PP/R2Q1BKR w kq - 0 13,e3f4 f8c5 f3d4 c5d4 d2e3 d4e3,853,doublebishopmate kingsideattack long mate matein3 opening,exf4 Bc5+ Nd4 Bxd4+ Be3 Bxe3#
0E1ni,rnb2r1k/pp5p/2pP2p1/4p3/2B2Q2/P1B5/1P3P1P/R3K3 b Q - 0 22,f8f4 c3e5 f4f6 e5f6,855,doublebishopmate fork mate matein2 middlegame short,Rxf4 Bxe5+ Rf6 Bxf6#
0e7kY,rn3r1k/6pp/p4R2/1p5q/3Q4/1BB2b1P/1P3PP1/R5K1 b - - 0 22,g7f6 d4f6 f8f6 c3f6,855,doublebishopmate mate matein2 middlegame sacrifice short,gxf6 Qxf6+ Rxf6 Bxf6#
0d32M,7k/ppp3pp/3q1P2/8/2B4n/1PQ1Pn1P/PB3P2/5K2 b - - 2 27,g7f6 c3f6 d6f6 b2f6,857,doublebishopmate endgame mate matein2 short,gxf6 Qxf6+ Qxf6 Bxf6#
0DL2F,k7/p4p2/Bp5p/8/2P1b1n1/2q3Q1/P2b2P1/K2R4 w - - 4 37,g3c3 d2c3,861,doublebishopmate endgame mate matein1 onemove,Qxc3 Bxc3#
0KGte,2kr3r/Bppnqpp1/3b1n1p/3Pp3/2B3b1/2P2N2/PP1N2PP/R2Q1RK1 b - - 0 13,b7b6 c4a6,863,doublebishopmate mate matein1 middlegame onemove,b6 Ba6#
0FpXd,2r4k/1b4pp/4B2Q/pqBp4/1Pn5/8/5PPP/3R2K1 b - - 0 30,g7h6 c5d4 c4e5 d4e5,869,doublebishopmate mate matein2 middlegame short,gxh6 Bd4+ Ne5 Bxe5#
00FjB,rnbk3r/pppp1Bpp/8/5p2/4p3/2PP4/P1P2PPP/R1B1K2R b KQ - 0 13,h8f8 c1g5,879,doublebishopmate mate matein1 middlegame onemove,Rf8 Bg5#
05mPT,r1b1k1nr/ppp2p2/2qp2p1/3NN1p1/4P3/1P6/1PPP1bPP/R1BK3R w kq - 0 13,e5c6 c8g4,884,doublebishopmate mate matein1 middlegame onemove,Nxc6 Bg4#
0eP9W,r1b1rk2/1p2bppB/1q2p3/p2pn1B1/7P/P3P3/1PQN1P2/R3K1R1 b Q - 3 18,g7g6 g5h6,996,doublebishopmate mate matein1 middlegame onemove,g6 Bh6#
0ih47,5Rnk/1pp4b/p3B3/3pP3/3P4/2Pnb3/PP4PP/RN5K w - - 1 30,g2g3 h7e4 f8f3 e4f3,1304,doublebishopmate kingsideattack mate matein2 middlegame short,g3 Be4+ Rf3 Bxf3#
0ICTk,6k1/1b3rp1/pbp1Q3/8/3q1P2/1P4P1/P4R1P/2R3KB w - - 4 40,h1c6 d4f2 g1h1 f2f3 c6f3 b7f3,1807,doublebishopmate long mate matein3 middlegame xrayattack,Bxc6 Qxf2+ Kh1 Qf3+ Bxf3 Bxf3#
0RKIF,r3kb1r/ppqn1ppp/1np1p3/6B1/3PN3/1Q3B1P/PP3PP1/2R2RK1 b kq - 3 16,h7h6 b3e6 f7e6 f3h5 g7g6 h5g6,1906,doublebishopmate long mate matein3 middlegame sacrifice,h6 Qxe6+ fxe6 Bh5+ g6 Bxg6#
