PuzzleId,FEN,Moves,Rating,Themes,SAN
02NvQ,2krr3/1pp3p1/p4p2/5P2/5P1B/7P/PPQp2R1/1R1KqB2 w - - 3 30,h4e1 d2e1q,409,advancedpawn doublecheck mate matein1 middlegame onemove promotion,Bxe1 dxe1=Q#
0R2og,r1r3k1/5ppp/4p3/6P1/4Q2P/1P1P4/pR6/K1q2R2 w - - 2 29,f1c1 c8c1 b2b1 a2b1q,478,advancedpawn doublecheck endgame mate matein2 promotion queenrookendgame short,Rxc1 Rxc1+ Rb1 axb1=Q#
07zqN,3q1r1k/6p1/p2p2nP/2pB1P2/4PR2/2PP3R/1P4QK/r7 b - - 0 35,g6f4 h6g7,498,advancedpawn doublecheck master mate matein1 middlegame onemove,Nxf4 hxg7#
062Zq,r4rk1/ppp2Rpp/2n5/4P3/2B5/2P2R1P/P1P3P1/6K1 b - - 0 18,c6e5 f7f8,589,doublecheck endgame mate matein1 onemove,Nxe5 Rxf8#
0fNoJ,r2qkb1r/pp1n1ppp/n2B4/1Npp1b2/Q2P4/P7/1P2PPPP/R3KBNR b KQkq - 1 9,d7b6 b5c7,666,doublecheck mate matein1 onemove opening,Nb6 Nc7#
0GuTp,rnbkr3/ppp2ppp/8/4n3/4B3/2N5/PPPBK1PP/3R3R b - - 3 13,e5c4 d2g5,715,doublecheck mate matein1 middlegame onemove,Nc4 Bg5#
0VasO,R7/5pn1/4p1k1/p2pP1P1/Pb1P2Pp/1r5P/1n2N3/2B3K1 b - - 0 41,b3h3 e2f4 g6g5 f4h3,745,advantage doublecheck fork middlegame short,Rxh3 Nf4+ Kxg5 Nxh3+
0bv2D,r3kb1r/pp1q1pp1/2n5/2ppp2n/6b1/2NP2PP/PPP1PRB1/R1BQ2NK w kq - 3 12,h3g4 h5g3,769,doublecheck kingsideattack mate matein1 onemove opening,hxg4 Nxg3#
0djcT,2r5/1p3pk1/pn2p1pQ/3pP3/1P1P3N/2q2NP1/5PK1/7R b - - 0 29,g7h6 h4f5,790,doublecheck endgame master mate matein1 onemove,Kxh6 Nf5#
08XzM,r1bqkb1r/p1p1pppp/8/1N1P4/Q1Pn4/8/PPn2PPP/R1BK1BNR b kq - 2 9,c2a1 b5d6,792,doublecheck mate matein1 onemove opening,Nxa1 Nd6#
00c0D,rnb1k2r/ppB2p2/8/3p2p1/3Q2np/2N2NK1/PPP1B1PP/R6R w kq - 0 14,g3h3 g4f2,800,doublecheck mate matein1 middlegame onemove,Kh3 Nf2#
04bch,3RNbk1/4Np1p/6p1/4p1P1/2n1P3/8/1P3r2/2K5 b - - 9 38,f8e7 e8f6 g8g7 d8g8,801,doublecheck endgame hookmate mate matein2 short,Bxe7 Nf6+ Kg7 Rg8#
0QhWy,3RN1k1/p4ppp/1nr5/8/8/6B1/PbP3PP/7K b - - 3 22,h7h6 e8f6,804,doublecheck endgame mate matein1 onemove,h6 Nf6#
04KbJ,8/pR6/5ppk/8/2P4p/1P3P1P/P5P1/4rnBK w - - 0 43,g1f2 f1g3 h1h2 e1h1,813,doublecheck endgame hookmate mate matein2 short,Bf2 Ng3+ Kh2 Rh1#
0Gk2z,r2q3r/p1pp1Bbk/1p2p2p/3b4/2n1NRPn/3Q4/PP5P/R1B3K1 b - - 5 20,c4e5 e4f6,818,doublecheck mate matein1 middlegame onemove,Ne5 Nf6#
0Ct1P,8/pp3pkp/1q1p1np1/8/2P5/3Br1R1/PPQ3PP/5RK1 w - - 0 27,f1f6 e3e1,884,doublecheck endgame mate matein1 onemove,Rxf6 Re1#
0FpKX,r4rk1/2p2ppp/4q3/pp2b3/1P6/P4Q1P/2P2PP1/1R1NKB1R w K - 0 18,f1b5 e5c3 e1f1 e6e1,887,doublecheck mate matein2 middlegame short,Bxb5 Bc3+ Kf1 Qe1#
0Qsew,rn1qkb1r/pp2pppp/5n2/1N6/Q2P4/8/PP3PPP/R1B1K1NR b KQkq - 0 9,b8a6 b5d6,890,doublecheck mate matein1 onemove opening,Na6 Nd6#
07OHG,5Q2/p5pk/1p2p2p/1R6/2RPp3/2P1q3/5nPP/5B1K w - - 7 32,h1g1 f2h3 g1h1 e3g1,904,doublecheck endgame mate matein2 short,Kg1 Nh3+ Kh1 Qg1#
0faMo,3r1b1k/1p3pQ1/4rP1P/1q1np3/4P2R/p2PB2P/P4K2/3R4 b - - 3 33,f8g7 h6g7 h8g8 h4h8,906,advancedpawn doublecheck kingsideattack master mate matein2 middlegame short,Bxg7 hxg7+ Kg8 Rh8#
0ldFX,r1bq1bkr/pp4p1/2n2n1p/3NN3/2Q1P3/8/PP3PPP/R1B2RK1 b - - 0 14,c6e5 d5f6,913,doublecheck kingsideattack mate matein1 onemove opening,Nxe5 Nxf6#
0KFqV,8/1p4k1/p5pb/8/P1n1P2p/1NP5/1PK5/5R2 w - - 2 31,b3c5 c4e3 c2d2 e3f1,931,crushing doublecheck endgame fork short,Nc5 Ne3+ Kd2 Nxf1+
0kRoi,5r1k/6p1/pp2Q2p/8/3q4/P2P4/1P3rPP/1R3RK1 w - - 1 25,e6e4 f2f1,960,doublecheck endgame mate matein1 onemove,Qe4 Rxf1#
0L9bJ,r4r2/p5bk/1p4p1/2p4q/3p1BN1/PP1P2PN/2P4Q/5RK1 b - - 5 29,h5g4 h3g5 h7g8 h2h7,962,doublecheck mate matein2 middlegame short,Qxg4 Ng5+ Kg8 Qh7#
0Zkc5,8/8/8/3rpkpp/5p2/5P2/4RKPP/8 b - - 3 49,e5e4 f3e4 f5e6 e4d5,977,crushing doublecheck endgame fork master rookendgame short,e4 fxe4+ Ke6 exd5+
0khDH,r1bqkb1r/pp1p1pp1/2n1Pn1p/2p3N1/2B5/8/PPPPQ1PP/RNB1K2R b KQkq - 0 8,h6g5 e6f7,985,advancedpawn attackingf2f7 doublecheck mate matein1 onemove opening,hxg5 exf7#
073Wk,r5r1/pp5k/n2p1q1p/2pP1R2/2P5/P1NBp1bP/1P4P1/R5KQ b - - 0 28,f6d4 f5f7 h7h8 f7h7,996,doublecheck mate matein2 middlegame short,Qd4 Rf7+ Kh8 Rh7#
0mfI7,r1b2b1r/ppppk1p1/5B1p/4N2B/3PP3/8/PP3PPP/nN1K3R b - - 0 11,g7f6 e5g6 e7f7 g6h8,1006,advantage doublecheck fork middlegame short,gxf6 Ng6+ Kf7 Nxh8+
0hQRv,r2k3r/p1bbq3/2B1p3/8/1PN4p/2P1PQp1/P5K1/5RR1 w - - 0 31,c6a8 h4h3 g2h1 g3g2 g1g2 h3g2,1008,advancedpawn crushing doublecheck exposedking fork long middlegame,Bxa8 h3+ Kh1 g2+ Rxg2 hxg2+
09tHX,5k2/1q2pp1p/3p2p1/1p2n3/8/6Q1/PPrN1PpP/R3R1K1 w - - 2 24,d2b3 e5f3 g1g2 f3e1,1018,crushing doublecheck fork middlegame short,Nb3 Nf3+ Kxg2 Nxe1+
0eySy,4r1rk/ppp2pR1/7P/1n1pnN2/8/2P1P3/PPK5/7R b - - 2 29,g8g7 h6g7 h8g8 h1h8,1048,advancedpawn doublecheck endgame mate matein2 short,Rxg7 hxg7+ Kg8 Rh8#
0AFRX,3rrq1k/2p3pB/pbn2p1p/1p1bP3/1P1p2PN/P2Q2NP/2P4K/R4R2 b - - 7 26,d5c4 h4g6 h8h7 g6f8,1049,crushing doublecheck fork middlegame short,Bc4 Ng6+ Kxh7 Nxf8+
0UONO,r1q1kb1r/5pp1/p2p3p/1N2p3/Q6P/P3n1P1/4N3/R4RK1 b kq - 0 22,e3f1 b5d6 e8e7 d6c8,1068,crushing doublecheck middlegame short,Nxf1 Nxd6+ Ke7 Nxc8+
0OBvS,7k/2p4p/p2pQ3/3P2bN/1PPq2n1/8/6PP/5BK1 w - - 4 36,g1h1 g4f2 h1g1 f2h3 g1h1 d4g1,1083,doublecheck endgame long mate matein3,Kh1 Nf2+ Kg1 Nh3+ Kh1 Qg1#
0aCQH,r5k1/pp3pb1/5rp1/q5P1/1n1Q4/BP2P3/P4P2/R3K2R w KQ - 0 27,g5f6 b4c2 e1f1 c2d4,1092,crushing doublecheck fork master middlegame short,gxf6 Nc2+ Kf1 Nxd4
