PuzzleId,FEN,Moves,Rating,Themes,SAN
0iyo0,r2q1b1r/pppkp1p1/5n1p/3pnQ2/5NPP/5P2/PPP5/RNB1K2R b KQ - 1 13,e7e6 f5e6,493,dovetailmate mate matein1 onemove opening,e6 Qxe6#
0dCph,1R6/1pp2kp1/p2b1q1p/3p4/3P4/2P5/PPK1Q3/8 b - - 6 35,b7b6 e2e8,744,dovetailmate endgame mate matein1 onemove,b6 Qe8#
0WiyG,4r1r1/pp5p/4Rb1k/8/2p2Q2/2P4N/PP4qP/4K3 b - - 9 37,h6g7 f4f6,830,dovetailmate mate matein1 middlegame onemove,Kg7 Qxf6#
08tXf,1R6/p2rq1kp/6p1/5p2/1Q2p2P/2P3P1/P4P2/6K1 b - - 7 36,e7e6 b4f8,900,dovetailmate endgame mate matein1 onemove,Qe6 Qf8#
08cZX,6k1/pp2p2p/3p2p1/8/1P2P3/P2P2qP/5rP1/2R2QK1 b - - 6 30,f2a2 c1c8 g8g7 f1f8,912,dovetailmate endgame mate matein2 short,Ra2 Rc8+ Kg7 Qf8#
0Letg,2rk1r2/pp4p1/8/3QP2p/q2P3P/5N2/2P1RPP1/3K4 b - - 0 25,d8c7 d5d6,932,dovetailmate endgame mate matein1 onemove,Kc7 Qd6#
06IFD,rnbq1b1r/5kp1/p2pB2p/8/3Nn3/1Q6/PP3PPP/R1B1K2R b KQ - 0 12,c8e6 b3e6,955,dovetailmate mate matein1 onemove opening,Bxe6 Qxe6#
0meJH,r1b3k1/ppqp3p/6p1/8/N3R3/Pn2KQ2/1P4rP/2B5 b - - 2 22,g2h2 e4e8 g8g7 f3f8,977,dovetailmate mate matein2 middlegame short,Rxh2 Re8+ Kg7 Qf8#
0GV6W,1Q6/2p1r3/1k1p4/p5P1/Pb6/1KP1r3/8/8 b - - 4 51,b6c6 b8b5,978,dovetailmate endgame mate matein1 onemove,Kc6 Qb5#
08zcv,8/5P2/p2Q4/kp1pP1p1/2p5/2P4q/PP3P2/4RK2 w - - 2 51,f1e2 h3d3,983,dovetailmate endgame master mate matein1 onemove,Ke2 Qd3#
0TuSy,rnbq1b1r/ppp1k1pp/5n2/4Q3/2B5/8/PPPP1PPP/R1B1K1NR b KQ - 0 8,e7d7 e5e6,991,dovetailmate mate matein1 onemove opening,Kd7 Qe6#
0VbkM,2rqb1k1/p5Rp/1p1B2p1/3P4/5Q2/8/P4PPP/6K1 b - - 0 27,g8g7 f4f8,992,dovetailmate endgame mate matein1 onemove,Kxg7 Qf8#
0XsSD,3Q4/8/1kp5/1p5r/4p3/4K3/6rp/8 b - - 3 76,b6c5 d8d4,1035,dovetailmate endgame master mate matein1 onemove queenrookendgame,Kc5 Qd4#
0ZxNG,2N5/2Q5/6p1/3rkp2/P1K5/8/8/7q b - - 3 53,e5f6 c7e7,1035,dovetailmate endgame mate matein1 onemove,Kf6 Qe7#
087QQ,4r1k1/5pp1/7p/Rp6/1P1Pp3/P4q2/1B5P/Q1RK4 w - - 2 33,d1c2 f3d3,1054,dovetailmate endgame mate matein1 onemove,Kc2 Qd3#
0WDHz,r1bk1Q2/1p6/p3p3/4P3/8/8/P1pK1P2/r7 b - - 5 33,d8c7 f8d6,1112,dovetailmate endgame mate matein1 onemove,Kc7 Qd6#
0KqNR,r2qkbnr/pp1n1Npb/2p1p2p/8/2B5/6N1/PPPPQPPP/R1B1K2R b KQkq - 0 9,e8f7 e2e6,1127,dovetailmate mate matein1 onemove opening,Kxf7 Qxe6#
03yaI,3r1r1k/1p4pp/p1p5/PbR1N3/1P1P1P2/4Q1P1/3R2KP/1q6 w - - 7 31,d4d5 b1f1,1133,dovetailmate mate matein1 middlegame onemove,d5 Qf1#
05JDw,8/4bk2/RR6/8/3P4/6B1/1PP1p1KP/3q4 w - - 0 37,b6b7 d1f1,1136,dovetailmate endgame mate matein1 onemove,Rb7 Qf1#
0EYYy,1r2r1k1/p4p1p/3p2p1/2pPq3/2P5/1P4KP/P5B1/1R1Q1R2 w - - 1 31,g3f2 e5e3,1139,dovetailmate mate matein1 middlegame onemove,Kf2 Qe3#
0e4gp,Q7/5p1k/p4pBp/1p2r3/7b/2P4P/PP5K/4r3 b - - 0 32,h7g6 a8g8 g6f5 g8g4,1154,dovetailmate endgame mate matein2 short,Kxg6 Qg8+ Kf5 Qg4#
0JRqy,5r1k/5pnP/5Qp1/p1Pp4/3Nr1q1/2R3P1/PP6/2K4R w - - 1 33,h1h4 e4e1 c1c2 g4d1,1165,dovetailmate mate matein2 middlegame queensideattack short,Rh4 Re1+ Kc2 Qd1#
0EsVM,B5k1/p4pp1/7p/6r1/7q/PP2P3/5PK1/2RQ1R2 w - - 1 27,g2f3 h4g4,1192,dovetailmate endgame mate matein1 onemove,Kf3 Qg4#
0XLYc,r3q3/pQ6/3p4/2k1p1p1/8/2R5/P7/1K6 b - - 2 39,c5d4 b7b4 d4d5 b4c4,1196,dovetailmate endgame mate matein2 short,Kd4 Qb4+ Kd5 Qc4#
0lvXt,6R1/pp2k1p1/2p4p/4p3/4P3/1B1P2nP/PPPq2PK/R7 w - - 0 23,h2g3 d2f4,1213,dovetailmate endgame mate matein1 onemove,Kxg3 Qf4#
0KU1n,4r1k1/pp1n2p1/7p/2pP4/4r3/2q5/P2NK1PP/R2Q1R2 w - - 0 21,d2e4 e8e4 e2f2 c3e3,1221,dovetailmate mate matein2 middlegame short,Nxe4 Rxe4+ Kf2 Qe3#
03XdS,4rk2/ppp2p1p/2qp4/8/8/3K4/PPPP1Q1P/R1B3N1 w - - 0 17,c2c3 c6e4,1226,dovetailmate endgame mate matein1 onemove,c3 Qe4#
0GhM8,8/5p2/6p1/7p/1Q3P2/6PP/2pk1PK1/3q4 b - - 6 49,d2e2 b4e4 e2d2 e4e3,1258,dovetailmate endgame mate matein2 queenendgame short,Ke2 Qe4+ Kd2 Qe3#
0MeY0,6r1/p3k3/1p1p1p1q/2pPpb2/2P1P2P/2P3Q1/P4R1K/6R1 w - - 0 37,g3g8 h6h4 h2g2 h4h3,1273,dovetailmate endgame fork mate matein2 short,Qxg8 Qxh4+ Kg2 Qh3#
04dDu,8/7p/3p2p1/3Pp3/3qP3/3k3P/6PK/3Q4 b - - 4 46,d3e4 d1f3,1329,dovetailmate endgame mate matein1 onemove queenendgame,Kxe4 Qf3#
0f6u8,4bR2/1pk5/p1p1pQ2/8/1P4qp/P7/3K4/8 b - - 3 40,e8h5 f6d8,1358,dovetailmate endgame master mate matein1 onemove,Bh5 Qd8#
