PuzzleId,FEN,Moves,Rating,Themes,SAN
0jFaq,3r3R/p1r1kpp1/2pb4/6P1/3p1P2/1PnP4/PB4B1/K3R3 b - - 8 31,e7d7 g2h3 f7f5 g5f6,1395,discoveredattack enpassant mate matein2 middlegame short,Kd7 Bh3+ f5 gxf6#
04Mtz,rn1qk2r/pbppnpb1/1p2p3/4P2p/2PP2pB/2N5/PP1N1PPP/R2QKB1R b KQkq - 1 11,f7f5 e5f6 g7f6 h4f6,1399,crushing enpassant fork opening short,f5 exf6 Bxf6 Bxf6
0UEi0,8/3p2k1/1p1Pp2p/p1p1P1p1/2P2r2/1P5P/P4RP1/5K2 w - - 3 34,f2f4 g5f4 g2g4 f4g3 f1g2 g7g6,1486,crushing defensivemove enpassant endgame long,Rxf4 gxf4 g4 fxg3 Kg2 Kg6
04GhF,8/5p2/p6p/3k4/1P2p1PP/2K1P3/5P2/3bN3 w - - 1 42,e1c2 d1c2 c3c2 d5c4 f2f4 e4f3,1539,crushing enpassant endgame long,Nc2 Bxc2 Kxc2 Kc4 f4 exf3
06fMQ,r3qr2/ppp2pk1/3p1np1/3Pp2p/4P2P/P1Q2P1B/1PP2P2/2KR3R b - - 0 18,c7c5 d5c6 e8c6 c3c6 b7c6 d1d6,1565,advantage capturingdefender enpassant long middlegame,c5 dxc6 Qxc6 Qxc6 bxc6 Rxd6
0TH3b,r7/P4pp1/1k2p2p/Rp1pP3/1P1K4/4P2P/6P1/8 b - - 12 38,a8a7 a5a7 b6a7 d4c5 f7f5 e5f6,1624,crushing enpassant endgame long rookendgame,Rxa7 Rxa7 Kxa7 Kc5 f5 exf6
0G9KF,2r5/rpP2pkp/p2K2p1/2P1P3/8/4P3/6BP/8 b - - 2 39,b7b5 c5b6 a7c7 b6c7,1633,advancedpawn crushing enpassant endgame master short trappedpiece,b5 cxb6 Raxc7 bxc7
0dWoV,1rb2rk1/2qp1pbp/2p1p1p1/3nP3/p7/P1PB2B1/1P1NQPPP/1R3RK1 b - - 0 15,f7f5 e5f6 d5f4 g3f4,1663,crushing enpassant middlegame short,f5 exf6 Nf4 Bxf4
0Nvjc,2r2rk1/4qpp1/2n1p2p/p2pP3/P2P4/2P1Q1R1/6PP/5RK1 b - - 2 25,c8c7 e3h6 f7f5 e5f6,1666,crushing enpassant middlegame pin short,Rc7 Qxh6 f5 exf6
0mEx2,Qn2k2r/p4ppp/2p1p3/2b1q3/2P1p1b1/6P1/PP1PPPBP/R1B1K2R w KQk - 1 11,f2f4 e4f3 a8b8 e5b8,1683,crushing enpassant middlegame short,f4 exf3 Qxb8+ Qxb8
0WqBp,4qr2/2p3pk/3p3p/1R6/P3Pp2/1Q3P1P/2Pr2P1/1R4K1 w - - 1 31,a4a5 e8g6 g2g4 f4g3 b5f5 f8f5,1691,advantage enpassant endgame long,a5 Qg6 g4 fxg3 Rf5 Rxf5
05KCZ,8/ppp3p1/3k1p1p/4nP2/5KP1/1BP4P/P7/8 b - - 0 30,g7g5 f5g6 e5g6 f4f5 g6e7 f5f6,1694,advantage enpassant endgame long,g5+ fxg6 Nxg6+ Kf5 Ne7+ Kxf6
0U3a4,r1bq1bkr/pppp2pp/2N5/4P3/8/5Q2/PPP2nPP/RNB1K2R b KQ - 0 9,b7c6 f3b3 d7d5 e5d6 c8e6 b3e6,1704,discoveredattack enpassant kingsideattack long mate matein3 opening,bxc6 Qb3+ d5 exd6+ Be6 Qxe6#
0C0nC,2r3k1/p4pp1/1p2p2p/3pPP1P/2r5/3R2Q1/2q3P1/5RK1 b - - 0 29,c4c3 f5f6 g7g5 h5g6,1710,crushing enpassant endgame short,Rc3 f6 g5 hxg6
0AfyJ,r1bq1b1r/pppp1kpp/1nn5/4P3/3P4/5Q2/PP3PPP/RNB1K1NR b KQ - 1 8,f7g8 f3b3 d7d5 e5d6 b6c4 b3c4 c8e6 c4e6,1744,discoveredattack enpassant kingsideattack mate matein4 opening verylong,Kg8 Qb3+ d5 exd6+ Nc4 Qxc4+ Be6 Qxe6#
09Sxe,1k1r3r/ppp2pp1/2p4p/P1N1p3/4Pq2/2PP1P2/1P2KP2/R2Q4 b - - 2 22,g7g5 d1b3 b7b5 a5b6,1746,advantage enpassant endgame short,g5 Qb3 b5 axb6
0ULpP,r1bq1b1r/p1pp1kpp/1p6/4P3/1n3Qn1/8/PPP2PPP/RNB1K1NR b KQ - 1 9,f7g8 f4c4 d7d5 e5d6 b4d5 c4d5 c8e6 d5e6,1754,discoveredattack enpassant fork mate matein4 opening verylong,Kg8 Qc4+ d5 exd6+ Nd5 Qxd5+ Be6 Qxe6#
0SZMj,r1b1r1k1/1pq1bppp/p3p3/3pP1B1/6n1/P1NB3Q/1PP2PPP/R3R1K1 b - - 2 16,f7f5 e5f6 c7h2 h3h2,1754,crushing enpassant middlegame short,f5 exf6 Qxh2+ Qxh2
0HvDg,1r3r1k/5pR1/p1p1p2P/2q1P3/4QP2/1Pp4P/P1P5/2K5 b - - 2 28,c5a3 c1d1 f7f5 e5f6,1767,crushing enpassant endgame short,Qa3+ Kd1 f5 exf6
0SlHV,r1bqk2r/p3bppp/2p1p3/4P3/Ppp1n3/6P1/1P2NPBP/R1BQ1RK1 b kq - 0 12,d8d1 f1d1 f7f5 e5f6,1767,advantage enpassant middlegame short,Qxd1 Rxd1 f5 exf6
02cB5,r4r1k/pb3pp1/1n2p2p/1p2P3/8/2P4R/P1BB2PP/5RK1 b - - 4 21,f7f5 e5f6 f8f6 f1f6,1814,advantage enpassant middlegame short,f5 exf6 Rxf6 Rxf6
0X3Lp,r2q1rk1/ppp1bp2/2bp1n1Q/8/4P3/2NB4/PPP2PPP/R4RK1 b - - 0 14,f6h7 e4e5 f7f5 e5f6,1816,advantage enpassant middlegame short,Nh7 e5 f5 exf6
0Px2t,8/1b6/p4Q2/1p2Pppk/1P5p/3B3P/P1PN2PK/4q3 w - - 2 36,g2g4 h4g3,1817,enpassant endgame mate matein1 onemove,g4+ hxg3#
0DBp4,7r/1bp1qp1N/pp1k1p2/3PpB2/2P5/4Q3/PP3P2/2K5 b - - 1 25,b7c8 e3a3 c7c5 d5c6 d6c6 a3e7,1822,crushing deflection discoveredattack enpassant endgame long skewer,Bc8 Qa3+ c5 dxc6+ Kxc6 Qxe7
0MEqI,r4r1k/1b1p1p1p/p1n1p3/2qnP2Q/1p2BP2/8/PPP3PP/R1B2R1K b - - 3 17,f7f5 e5f6 d5f6 h5c5,1840,crushing discoveredattack enpassant middlegame short,f5 exf6 Nxf6 Qxc5
0pDWe,8/n4pk1/6p1/pBP1p3/1p2P3/4P3/PP3K1P/8 w - - 2 34,a2a4 b4a3 b5c4 a3b2,1840,advancedpawn advantage enpassant endgame short,a4 bxa3 Bc4 axb2
0jA32,8/1p2r2p/6p1/1R6/P1k1pP2/8/4KPP1/8 w - - 6 36,b5e5 e7e5 f4e5 c4d5 f2f4 e4f3 e2f3 d5e5,1855,crushing enpassant endgame rookendgame verylong,Re5 Rxe5 fxe5 Kd5 f4 exf3+ Kxf3 Kxe5
62000000000,8/4R1pp/5pk1/1ppb4/5PPP/8/2r2B2/6K1 b - - 0 37,c5c4 f4f5 g6h6 f2e3 g7g5 f5g6 h6g6 h4h5,1868,attraction discoveredattack enpassant endgame mate matein4 verylong,c4 f5+ Kh6 Be3+ g5 fxg6+ Kxg6 h5#
0AJrm,r1b2rk1/1p3pp1/pqn1p2p/2npP2P/6Q1/2N2N1R/PPP2PP1/2KR1B2 b - - 5 14,c5e4 c3e4 f7f5 e5f6,1876,crushing enpassant middlegame short,Ne4 Nxe4 f5 exf6
0Ot4D,2r2rk1/1p3p1p/4b1pQ/3pP3/1q1P1R2/3B3P/6P1/3R2K1 b - - 1 26,f7f5 e5f6 f8f6 f4f6 b4d4 f6f2,1880,crushing defensivemove enpassant long middlegame,f5 exf6 Rxf6 Rxf6 Qxd4+ Rf2
0OT49,2r2rk1/5pbp/1q2p1p1/4P3/pB1pQP2/Pp1P4/1P4PP/2R2R1K b - - 1 25,f7f5 e5f6 g7f6 b4f8,1896,crushing enpassant middlegame short,f5 exf6 Bxf6 Bxf8
0PO0u,1k1r2r1/p5PR/1p6/2pqPQ2/3p1PP1/P3p3/1PP5/2KR4 w - - 2 32,e5e6 d5a2 c2c4 d4c3,1899,crushing enpassant endgame master short,e6 Qa2 c4 dxc3
0YEyU,2rr2k1/1b1q1pp1/p3p3/3pP1QP/1p1N4/1PP5/P1R2PP1/6K1 b - - 0 33,d8e8 h5h6 f7f5 e5f6 d7f7 h6g7,1901,advancedpawn advantage enpassant long middlegame,Re8 h6 f5 exf6 Qf7 hxg7
0V3Hc,r3k2r/pp1qbp1p/2p3p1/4Q1Pn/5P2/1NN4P/PPP1B3/2K4R b kq - 0 20,e8c8 e2g4 f7f5 g5f6,1907,advantage enpassant middlegame pin short,O-O-O Bg4 f5 gxf6
0OwwP,8/p5p1/5p2/1p2k3/2p1P1P1/2P1K3/PP6/8 w - - 0 34,b2b4 c4b3 a2b3 a7a5,1910,crushing defensivemove enpassant endgame pawnendgame short,b4 cxb3 axb3 a5
02p9D,8/p1k2p2/1pp1p3/1P2P2p/P1P1K3/4B2P/8/2b5 b - - 1 39,c1e3 e4e3 c6b5 c4b5 f7f5 e5f6,1912,crushing enpassant endgame long,Bxe3 Kxe3 cxb5 cxb5 f5 exf6
0c01K,r3k3/pp2bpp1/1q2p1pr/4P3/1P1pN3/P4Q2/5PPP/2R2RK1 b q - 1 20,f7f5 e5f6 g7f6 e4f6 e7f6 f3f6,1920,advantage enpassant exposedking long middlegame,f5 exf6 gxf6 Nxf6+ Bxf6 Qxf6
0ohuc,8/2pk1p1b/3p1b2/1p1P1P1p/3pK3/3P3P/1PP5/1B2B3 b - - 5 34,c7c5 d5c6 d7c6 b1a2,1929,bishopendgame crushing enpassant endgame short,c5 dxc6+ Kxc6 Ba2
03v12,5r1k/pp3pp1/4q2p/3rP2P/3pQ1n1/8/PPPB2R1/4R1K1 b - - 1 31,f7f5 e5f6 e6e4 f6g7 h8g7 e1e4,1937,advancedpawn advantage enpassant kingsideattack long middlegame pin sacrifice,f5 exf6 Qxe4 fxg7+ Kxg7 Rxe4
0pSdh,3r4/4kpbp/1p4p1/pB4P1/P2PK2P/B7/8/8 b - - 8 45,e7e6 d4d5 d8d5 b5c4 f7f5 g5f6,1939,advantage enpassant endgame long pin,Ke6 d5+ Rxd5 Bc4 f5+ gxf6
0TXZZ,r5k1/p5pp/1p1p1p2/2p1nP1P/8/6Q1/2Pq2P1/2B1R1K1 b - - 2 30,d2c2 c1h6 g7g5 h5g6 c2f5 g6h7,1946,advancedpawn advantage doublecheck enpassant endgame long pin,Qxc2 Bh6 g5 hxg6 Qxf5 gxh7+
08Sa9,8/pp6/2p1k3/2P2p1p/1PK2PpP/P5P1/8/8 b - - 1 31,b7b5 c5b6 a7b6 a3a4,1965,crushing defensivemove enpassant endgame pawnendgame short,b5+ cxb6 axb6 a4
0m1fd,8/kp6/p1p1pp2/2P2p2/6p1/P6P/6P1/7K b - - 0 40,a6a5 h3h4 b7b5 c5b6 a7b6 h4h5,1966,crushing defensivemove enpassant endgame long pawnendgame quietmove,a5 h4 b5 cxb6+ Kxb6 h5
0MzMa,1r1qr1k1/pbp2pn1/3p3Q/2p1P3/2P5/P2B1P1P/2P3P1/3R1RK1 b - - 0 19,f7f5 e5f6 d8f6 h6f6,1995,crushing enpassant middlegame short,f5 exf6 Qxf6 Qxf6
08tul,Qnbq1rk1/p4ppp/8/1B6/4p1n1/2N2N2/PPPP1KPP/R1BQ3R w - - 1 10,f2g1 d8b6 d2d4 e4d3 f3d4 b6d4 c1e3 d4e3 g1f1 e3f2,2009,discoveredattack enpassant kingsideattack mate matein5 opening verylong,Kg1 Qb6+ d4 exd3+ Nd4 Qxd4+ Be3 Qxe3+ Kf1 Qf2#
0D6mK,5rk1/2p2ppp/3p1q2/1r1Pp3/1b2P1b1/5N2/1R1N1PPP/3Q1RK1 b - - 1 23,b5b8 d1b1 c7c5 d5c6,2019,advantage enpassant middlegame quietmove short,Rbb8 Qb1 c5 dxc6
03uDG,r2q1rk1/3pnpb1/ppn1pBpp/2p1P3/4N3/3P1N2/PPP2PPP/R2QR1K1 b - - 1 13,d7d5 e5d6 g7f6 e4f6,2025,crushing enpassant kingsideattack opening short,d5 exd6 Bxf6 Nxf6+
0NdjJ,r1bq1rk1/ppppnpp1/2n5/2b1P2Q/2BpR3/8/PPP2PPP/RNB3K1 b - - 3 11,e7g6 h5g6 d7d5 e5d6,2031,advantage enpassant opening pin short,Ng6 Qxg6 d5 exd6
0Vubd,8/4bpp1/p1N1p1pk/1p2P3/2p1P1KP/2P5/PP6/8 b - - 5 32,f7f5 e5f6 g7f6 c6e7,2034,advantage enpassant endgame short,f5+ exf6 gxf6 Nxe7
03hfJ,2kr1bnr/ppp1qppp/2bp4/4P3/5PQ1/1B6/PPP3PP/RNB2RK1 b - - 2 11,f7f5 e5f6 e7d7 b3e6,2051,crushing discoveredattack enpassant opening pin short,f5 exf6+ Qd7 Be6
0pR38,3r2k1/2p2ppp/p7/3P4/2pR4/Pp1n3P/5PPK/1N6 b - - 0 30,c7c5 d5c6 d8d4 c6c7,2059,advancedpawn advantage enpassant endgame master sacrifice short,c5 dxc6 Rxd4 c7
01sTk,6k1/5pp1/4p3/3p1q1P/2rP3R/4QPK1/8/8 b - - 4 34,g7g5 h5g6 f7g6 e3h6,2059,crushing enpassant endgame short,g5 hxg6 fxg6 Qh6
0o584,8/8/7p/5Kp1/p2k1pP1/5P1P/PP6/8 w - - 0 41,f5g6 d4e3 b2b4 a4b3 a2b3 e3f3 b3b4 f3e4,2061,crushing defensivemove enpassant endgame pawnendgame verylong,Kg6 Ke3 b4 axb3 axb3 Kxf3 b4 Ke4
05NGe,2r2r2/1p1b1p1k/pq2p2p/3PP3/3bn1Q1/1P6/1B2B1PP/R4R1K b - - 0 25,d4b2 g4e4 h7g7 e2d3 f7f5 e5f6,2062,advantage enpassant hangingpiece long middlegame,Bxb2 Qxe4+ Kg7 Bd3 f5 exf6+
0M3P5,8/k1p5/1p2p3/pP2P3/6p1/P5P1/5PK1/8 b - - 1 40,a7b8 f2f3 c7c5 b5c6 b8c7 f3g4,2072,crushing enpassant endgame long pawnendgame,Kb8 f3 c5 bxc6 Kc7 fxg4
0R6ol,2R5/6pk/p2q2r1/1p1P4/4p2r/4Q3/P2B1PPP/5RK1 w - - 2 31,f2f4 e4f3 e3f3 d6h2 g1f2 g6f6 f3f6 g7f6,2075,advantage enpassant middlegame pin verylong,f4 exf3 Qxf3 Qxh2+ Kf2 Rf6 Qxf6 gxf6
0lC8r,8/7k/4R2P/p2p1p2/Pp1Pr3/1P6/2P5/3K4 w - - 1 45,e6e4 f5e4 c2c4 b4c3 d1c2 h7h6,2100,crushing enpassant endgame long,Rxe4 fxe4 c4 bxc3 Kc2 Kxh6
0iQ9H,r5rk/2R2p1p/p4p2/3q4/P2p4/3P3P/2P2PP1/1Q2R1K1 w - - 3 23,e1e4 f6f5 c2c4 d4c3 b1b4 f5e4 b4c3 g8g7,2104,advantage enpassant endgame verylong,Re4 f5 c4 dxc3 Qb4 fxe4 Qxc3+ Rg7
0ghIK,7k/6p1/4r3/3p4/3PqP1p/7P/3Qp1P1/4R1K1 w - - 0 44,g1f2 e6g6 g2g4 h4g3 f2g1 g6e6,2108,crushing defensivemove enpassant endgame long master mastervsmaster,Kf2 Rg6 g4 hxg3+ Kg1 Re6
0PnJb,5r2/6k1/6p1/1N3p2/PP1PpK1p/4P2P/1nr2PP1/R4R2 w - - 1 29,f4g5 f8h8 g2g4 h4g3,2116,advantage enpassant endgame quietmove short,Kg5 Rh8 g4 hxg3
0LitE,4r1r1/bp1q1ppk/2pp3p/p3pP2/2P1P1R1/P3N1RP/1PP4K/2Q5 b - - 3 30,g7g5 f5g6 f7g6 e3f5,2132,advantage enpassant middlegame short,g5 fxg6+ fxg6 Nf5
