PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,SAN,PGN
0IO3K,r4rk1/2qpbppp/p3p3/4P3/1n1N1PQ1/1B2B3/1Pb3PP/R4RK1 w - - 0 17,d4c2 b4c2 b3c2 c7c2,801,183,45,30,equality fork middlegame short,https://lichess.org/LaFCNgUi#33,,Nxc2 Nxc2 Bxc2 Qxc2,"[Event ""equality fork middlegame short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r4rk1/2qpbppp/p3p3/4P3/1n1N1PQ1/1B2B3/1Pb3PP/R4RK1 w - - 0 17""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""equality fork middlegame short""]
[ChapterName ""equality fork middlegame short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""801""]
[RatingDeviation ""183""]
[Popularity ""45""]
[NbPlays ""30""]
[Themes ""equality fork middlegame short""]

17. Nxc2 Nxc2 18. Bxc2 Qxc2 *"
0C5U1,2R5/r5k1/8/4b3/2P5/1N4p1/2K3B1/8 w - - 0 44,c4c5 a7a2 c2d3 a2g2,833,141,83,69,endgame equality short skewer,https://lichess.org/bw5Ul1NM#87,,c5 Ra2+ Kd3 Rxg2,"[Event ""endgame equality short skewer""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""2R5/r5k1/8/4b3/2P5/1N4p1/2K3B1/8 w - - 0 44""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame equality short skewer""]
[ChapterName ""endgame equality short skewer""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""833""]
[RatingDeviation ""141""]
[Popularity ""83""]
[NbPlays ""69""]
[Themes ""endgame equality short skewer""]

44. c5 Ra2+ 45. Kd3 Rxg2 *"
0axFg,6k1/7p/8/3p1pN1/3b4/7P/PPP3P1/2K5 w - - 0 30,c2c3 d4e3 c1c2 e3g5,887,84,80,297,endgame equality fork short,https://lichess.org/Z0U32QST#59,,c3 Be3+ Kc2 Bxg5,"[Event ""endgame equality fork short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""6k1/7p/8/3p1pN1/3b4/7P/PPP3P1/2K5 w - - 0 30""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame equality fork short""]
[ChapterName ""endgame equality fork short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""887""]
[RatingDeviation ""84""]
[Popularity ""80""]
[NbPlays ""297""]
[Themes ""endgame equality fork short""]

30. c3 Be3+ 31. Kc2 Bxg5 *"
0DSOJ,8/7b/4R3/2k5/5P2/7p/7K/8 w - - 1 51,h2h3 h7f5 h3h4 f5e6,904,86,100,232,endgame equality fork short,https://lichess.org/ab37P44f#101,,Kxh3 Bf5+ Kh4 Bxe6,"[Event ""endgame equality fork short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/7b/4R3/2k5/5P2/7p/7K/8 w - - 1 51""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame equality fork short""]
[ChapterName ""endgame equality fork short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""904""]
[RatingDeviation ""86""]
[Popularity ""100""]
[NbPlays ""232""]
[Themes ""endgame equality fork short""]

51. Kxh3 Bf5+ 52. Kh4 Bxe6 *"
0LEOy,4r1k1/pp4q1/5p2/P1pNnbp1/2P5/1P5P/1B1Q1PP1/R4RK1 w - - 3 31,g2g4 e5f3 g1g2 f3d2,1036,145,100,50,equality fork middlegame short,https://lichess.org/Ll2SF6vV#61,,g4 Nf3+ Kg2 Nxd2,"[Event ""equality fork middlegame short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""4r1k1/pp4q1/5p2/P1pNnbp1/2P5/1P5P/1B1Q1PP1/R4RK1 w - - 3 31""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""equality fork middlegame short""]
[ChapterName ""equality fork middlegame short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1036""]
[RatingDeviation ""145""]
[Popularity ""100""]
[NbPlays ""50""]
[Themes ""equality fork middlegame short""]

31. g4 Nf3+ 32. Kg2 Nxd2 *"
03rlt,8/pp6/2p4N/4k3/PPP3p1/3B1p2/6rP/4K3 b - - 0 39,g2h2 h6g4 e5d4 g4h2,1043,108,92,98,endgame equality fork short,https://lichess.org/gKfrkV8O/black#78,,Rxh2 Nxg4+ Kd4 Nxh2,"[Event ""endgame equality fork short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/pp6/2p4N/4k3/PPP3p1/3B1p2/6rP/4K3 b - - 0 39""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame equality fork short""]
[ChapterName ""endgame equality fork short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1043""]
[RatingDeviation ""108""]
[Popularity ""92""]
[NbPlays ""98""]
[Themes ""endgame equality fork short""]

39... Rxh2 40. Nxg4+ Kd4 41. Nxh2 *"
00XCT,6Q1/7K/2k5/3r4/8/8/8/8 w - - 5 82,h7h8 d5h5 g8h7 h5h7,1049,79,100,353,endgame equality queenrookendgame short,https://lichess.org/I94rnuWS#163,,Kh8 Rh5+ Qh7 Rxh7+,"[Event ""endgame equality queenrookendgame short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""6Q1/7K/2k5/3r4/8/8/8/8 w - - 5 82""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame equality queenrookendgame short""]
[ChapterName ""endgame equality queenrookendgame short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1049""]
[RatingDeviation ""79""]
[Popularity ""100""]
[NbPlays ""353""]
[Themes ""endgame equality queenrookendgame short""]

82. Kh8 Rh5+ 83. Qh7 Rxh7+ *"
0Lvrl,r1b1kb1r/5pp1/p1pp3p/7Q/4Pq1R/2N5/PPP2P2/4RK2 b kq - 1 19,f4g5 h5g5 h6g5 h4h8,1091,202,43,21,discoveredattack equality middlegame short,https://lichess.org/yu5RGR8m/black#38,,Qg5 Qxg5 hxg5 Rxh8,"[Event ""discoveredattack equality middlegame short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r1b1kb1r/5pp1/p1pp3p/7Q/4Pq1R/2N5/PPP2P2/4RK2 b kq - 1 19""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""discoveredattack equality middlegame short""]
[ChapterName ""discoveredattack equality middlegame short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1091""]
[RatingDeviation ""202""]
[Popularity ""43""]
[NbPlays ""21""]
[Themes ""discoveredattack equality middlegame short""]

19... Qg5 20. Qxg5 hxg5 21. Rxh8 *"
0LrOo,3r2k1/6pp/pp6/2p5/5rP1/P2pRP1P/1P1N2K1/2R5 w - - 1 27,c1c4 f4c4 d2c4 d3d2 c4d2 d8d2,1112,101,100,81,advancedpawn endgame equality long,https://lichess.org/cZHnkaln#53,,Rc4 Rxc4 Nxc4 d2 Nxd2 Rxd2+,"[Event ""advancedpawn endgame equality long""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""3r2k1/6pp/pp6/2p5/5rP1/P2pRP1P/1P1N2K1/2R5 w - - 1 27""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advancedpawn endgame equality long""]
[ChapterName ""advancedpawn endgame equality long""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1112""]
[RatingDeviation ""101""]
[Popularity ""100""]
[NbPlays ""81""]
[Themes ""advancedpawn endgame equality long""]

27. Rc4 Rxc4 28. Nxc4 d2 29. Nxd2 Rxd2+ *"
0EjC6,r2qk2r/pbpnbpp1/1p2p2p/3pN3/Q1PP4/2N1P3/PP3PPP/R3KB1R w KQkq - 2 11,e5d7 d8d7 a4d7 e8d7,1122,78,100,319,equality opening short,https://lichess.org/jnHYLuFB#21,,Nxd7 Qxd7 Qxd7+ Kxd7,"[Event ""equality opening short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r2qk2r/pbpnbpp1/1p2p2p/3pN3/Q1PP4/2N1P3/PP3PPP/R3KB1R w KQkq - 2 11""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""equality opening short""]
[ChapterName ""equality opening short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1122""]
[RatingDeviation ""78""]
[Popularity ""100""]
[NbPlays ""319""]
[Themes ""equality opening short""]

11. Nxd7 Qxd7 12. Qxd7+ Kxd7 *"
