PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,SAN,PGN
0nhz9,6k1/8/R4pKp/6p1/P5P1/4r3/2n4q/8 b - - 1 42,h2c7 a6a8 c7d8 a8d8 e3e8 d8e8,661,87,85,337,endgame exposedking long mate matein3,https://lichess.org/Nkh4WrJZ/black#84,,Qc7 Ra8+ Qd8 Rxd8+ Re8 Rxe8#,"[Event ""endgame exposedking long mate matein3""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""6k1/8/R4pKp/6p1/P5P1/4r3/2n4q/8 b - - 1 42""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame exposedking long mate matein3""]
[ChapterName ""endgame exposedking long mate matein3""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""661""]
[RatingDeviation ""87""]
[Popularity ""85""]
[NbPlays ""337""]
[Themes ""endgame exposedking long mate matein3""]

42... Qc7 43. Ra8+ Qd8 44. Rxd8+ Re8 45. Rxe8# *"
0fPLs,7k/8/6Kp/1p4p1/7P/5rP1/P3r3/3R4 b - - 1 37,g5h4 d1d8 e2e8 d8e8 f3f8 e8f8,671,95,85,598,endgame exposedking long mate matein3 rookendgame,https://lichess.org/K1mANQRC/black#74,,gxh4 Rd8+ Re8 Rxe8+ Rf8 Rxf8#,"[Event ""endgame exposedking long mate matein3 rookendgame""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""7k/8/6Kp/1p4p1/7P/5rP1/P3r3/3R4 b - - 1 37""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame exposedking long mate matein3 rookendgame""]
[ChapterName ""endgame exposedking long mate matein3 rookendgame""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""671""]
[RatingDeviation ""95""]
[Popularity ""85""]
[NbPlays ""598""]
[Themes ""endgame exposedking long mate matein3 rookendgame""]

37... gxh4 38. Rd8+ Re8 39. Rxe8+ Rf8 40. Rxf8# *"
0PDvK,7r/p3Rpk1/1p1p2p1/3P4/3b1Pp1/1P4P1/P5Br/2Q3K1 w - - 0 32,g1f1 h2h1 g2h1 h8h1 f1e2 h1c1,676,83,68,198,advantage endgame exposedking long master sacrifice skewer,https://lichess.org/tnq7Lxd8#63,,Kf1 Rh1+ Bxh1 Rxh1+ Ke2 Rxc1,"[Event ""advantage endgame exposedking long master sacrifice skewer""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""7r/p3Rpk1/1p1p2p1/3P4/3b1Pp1/1P4P1/P5Br/2Q3K1 w - - 0 32""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advantage endgame exposedking long master sacrifice skewer""]
[ChapterName ""advantage endgame exposedking long master sacrifice skewer""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""676""]
[RatingDeviation ""83""]
[Popularity ""68""]
[NbPlays ""198""]
[Themes ""advantage endgame exposedking long master sacrifice skewer""]

32. Kf1 Rh1+ 33. Bxh1 Rxh1+ 34. Ke2 Rxc1 *"
0kBss,5r1k/p2Q2pp/2p4r/3p3q/3P4/4PpP1/PP3P1P/4R1RK w - - 5 24,h2h4 h5h4 g3h4 h6h4 d7h3 h4h3,752,89,88,730,endgame exposedking kingsideattack long mate matein3 sacrifice,https://lichess.org/rylofKSr#47,,h4 Qxh4+ gxh4 Rxh4+ Qh3 Rxh3#,"[Event ""endgame exposedking kingsideattack long mate matein3 sacrifice""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""5r1k/p2Q2pp/2p4r/3p3q/3P4/4PpP1/PP3P1P/4R1RK w - - 5 24""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame exposedking kingsideattack long mate matein3 sacrifice""]
[ChapterName ""endgame exposedking kingsideattack long mate matein3 sacrifice""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""752""]
[RatingDeviation ""89""]
[Popularity ""88""]
[NbPlays ""730""]
[Themes ""endgame exposedking kingsideattack long mate matein3 sacrifice""]

24. h4 Qxh4+ 25. gxh4 Rxh4+ 26. Qh3 Rxh3# *"
0ag36,k7/7R/pK4p1/6Pp/2b4P/P7/3p4/8 b - - 1 48,d2d1q h7h8 c4g8 h8g8 d1d8 g8d8,760,96,87,1015,endgame exposedking long mate matein3,https://lichess.org/P1bSE0kn/black#96,,d1=Q Rh8+ Bg8 Rxg8+ Qd8+ Rxd8#,"[Event ""endgame exposedking long mate matein3""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""k7/7R/pK4p1/6Pp/2b4P/P7/3p4/8 b - - 1 48""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame exposedking long mate matein3""]
[ChapterName ""endgame exposedking long mate matein3""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""760""]
[RatingDeviation ""96""]
[Popularity ""87""]
[NbPlays ""1015""]
[Themes ""endgame exposedking long mate matein3""]

48... d1=Q 49. Rh8+ Bg8 50. Rxg8+ Qd8+ 51. Rxd8# *"
0mUvp,8/p4kpp/1p6/3p1p2/2q4P/P4PP1/3Qb3/3R3K w - - 8 31,d2d5 c4d5 d1d5 e2f3 h1h2 f3d5,785,86,95,165,attraction crushing endgame exposedking fork long pin,https://lichess.org/GAvAA7BD#61,,Qxd5+ Qxd5 Rxd5 Bxf3+ Kh2 Bxd5,"[Event ""attraction crushing endgame exposedking fork long pin""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/p4kpp/1p6/3p1p2/2q4P/P4PP1/3Qb3/3R3K w - - 8 31""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""attraction crushing endgame exposedking fork long pin""]
[ChapterName ""attraction crushing endgame exposedking fork long pin""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""785""]
[RatingDeviation ""86""]
[Popularity ""95""]
[NbPlays ""165""]
[Themes ""attraction crushing endgame exposedking fork long pin""]

31. Qxd5+ Qxd5 32. Rxd5 Bxf3+ 33. Kh2 Bxd5 *"
0hBLi,3r2k1/2qnb3/p3pr1p/4ppp1/Pp6/3R1N1N/1PPQ1PPP/3R2K1 b - - 1 24,d7c5 d3d8 c7d8 d2d8 e7d8 d1d8,800,103,91,536,advantage exposedking kingsideattack long middlegame,https://lichess.org/CDtzTyg9/black#48,,Nc5 Rxd8+ Qxd8 Qxd8+ Bxd8 Rxd8+,"[Event ""advantage exposedking kingsideattack long middlegame""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""3r2k1/2qnb3/p3pr1p/4ppp1/Pp6/3R1N1N/1PPQ1PPP/3R2K1 b - - 1 24""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advantage exposedking kingsideattack long middlegame""]
[ChapterName ""advantage exposedking kingsideattack long middlegame""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""800""]
[RatingDeviation ""103""]
[Popularity ""91""]
[NbPlays ""536""]
[Themes ""advantage exposedking kingsideattack long middlegame""]

24... Nc5 25. Rxd8+ Qxd8 26. Qxd8+ Bxd8 27. Rxd8+ *"
0RQXz,r1b2qk1/pp4bn/4p1p1/3N2Np/2B3nP/3PB3/PPPQ2P1/2K4R b - - 0 17,e6d5 c4d5 g8h8 g5f7 f8f7 d5f7,806,78,100,327,advantage exposedking kingsideattack long middlegame,https://lichess.org/wXzByn2A/black#34,Pirc_Defense Pirc_Defense_Other_variations,exd5 Bxd5+ Kh8 Nf7+ Qxf7 Bxf7,"[Event ""advantage exposedking kingsideattack long middlegame""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r1b2qk1/pp4bn/4p1p1/3N2Np/2B3nP/3PB3/PPPQ2P1/2K4R b - - 0 17""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advantage exposedking kingsideattack long middlegame""]
[ChapterName ""advantage exposedking kingsideattack long middlegame""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""806""]
[RatingDeviation ""78""]
[Popularity ""100""]
[NbPlays ""327""]
[Themes ""advantage exposedking kingsideattack long middlegame""]

17... exd5 18. Bxd5+ Kh8 19. Nf7+ Qxf7 20. Bxf7 *"
02jP2,7k/p4r1p/2pR4/8/6R1/6P1/PP3r1P/6K1 w - - 0 27,h2h4 f2f1 g1h2 f7f2 h2h3 f1h1,817,88,89,82,endgame exposedking long mate matein3 rookendgame,https://lichess.org/ataPzuaP#53,,h4 Rf1+ Kh2 R7f2+ Kh3 Rh1#,"[Event ""endgame exposedking long mate matein3 rookendgame""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""7k/p4r1p/2pR4/8/6R1/6P1/PP3r1P/6K1 w - - 0 27""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame exposedking long mate matein3 rookendgame""]
[ChapterName ""endgame exposedking long mate matein3 rookendgame""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""817""]
[RatingDeviation ""88""]
[Popularity ""89""]
[NbPlays ""82""]
[Themes ""endgame exposedking long mate matein3 rookendgame""]

27. h4 Rf1+ 28. Kh2 R7f2+ 29. Kh3 Rh1# *"
0oRts,6k1/8/8/5P2/P5r1/8/1R1p4/3K4 w - - 0 58,b2a2 g4g1 d1d2 g1g2 d2c3 g2a2,825,88,82,66,crushing endgame exposedking long rookendgame skewer,https://lichess.org/mzgyhV6p#115,,Ra2 Rg1+ Kxd2 Rg2+ Kc3 Rxa2,"[Event ""crushing endgame exposedking long rookendgame skewer""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""6k1/8/8/5P2/P5r1/8/1R1p4/3K4 w - - 0 58""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""crushing endgame exposedking long rookendgame skewer""]
[ChapterName ""crushing endgame exposedking long rookendgame skewer""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""825""]
[RatingDeviation ""88""]
[Popularity ""82""]
[NbPlays ""66""]
[Themes ""crushing endgame exposedking long rookendgame skewer""]

58. Ra2 Rg1+ 59. Kxd2 Rg2+ 60. Kc3 Rxa2 *"
