PuzzleId,FEN,Moves,Rating,Themes,SAN
0CLrY,r1b1r1k1/1pp2ppp/p1n1pq2/3P4/P2b2PP/1PN5/1BPPQPB1/2KR3R b - - 0 13,e6d5 e2e8,399,hangingpiece kingsideattack mate matein1 middlegame onemove,exd5 Qxe8#
0Ocz9,6k1/6p1/2b5/p3p2p/P1P5/1P2Q1P1/4pB1P/1q4K1 w - - 2 40,f2e1 b1e1,399,endgame hangingpiece mate matein1 onemove,Be1 Qxe1#
0Pasg,r3k2r/pp3ppp/2n1p3/3pP3/q4P2/1R6/PP4PP/R1BQ3K w kq - 3 17,b3b7 a4d1,399,backrankmate hangingpiece mate matein1 middlegame onemove,Rxb7 Qxd1#
0TNfJ,1r2k3/2p1p1bp/6p1/pp2p1P1/7Q/2N1P3/PPP4R/1K3r2 w - - 0 31,c3d1 f1d1,399,backrankmate endgame hangingpiece mate matein1 onemove,Nd1 Rxd1#
0FMJF,R4k2/5n1p/5K2/8/1P6/2n5/p6P/8 b - - 1 58,f7d8 a8d8,399,endgame hangingpiece mate matein1 onemove,Nd8 Rxd8#
0nAqZ,2R1rn1k/p3Q1pp/5pq1/4p3/8/7P/5PP1/2R3K1 b - - 4 34,e8e7 c8f8,400,backrankmate endgame hangingpiece master mate matein1 onemove,Rxe7 Rxf8#
8217,4Q2k/1p3rpp/p5p1/8/8/1P5P/1PP2PPK/q7 b - - 1 36,f7f8 e8f8,400,endgame hangingpiece master mate matein1 onemove,Rf8 Qxf8#
09YeT,rnb1k2r/p2pppbp/6p1/qB2P3/3P4/2Q2N2/PP3PPP/R1B1K2R b KQkq - 0 10,a5b5 c3c8,400,hangingpiece mate matein1 onemove opening,Qxb5 Qxc8#
0WRox,r1bq1k1r/ppp2Bpp/3pP3/2b1B3/8/7P/P4PP1/RN1Q1RK1 b - - 0 13,d6e5 d1d8,400,hangingpiece master mate matein1 middlegame onemove,dxe5 Qxd8#
0h2q2,r4rk1/ppp2ppp/q4n2/1N2N3/1Q4b1/8/PPPP2PP/R1B2R1K w - - 2 16,b5c7 a6f1,400,hangingpiece kingsideattack mate matein1 middlegame onemove,Nxc7 Qxf1#
0kKcK,r1b1r1k1/1pppnppp/p7/b7/B2P4/B3RN2/P4PPP/5RK1 b - - 7 16,e7d5 e3e8,400,backrankmate hangingpiece mate matein1 middlegame onemove,Nd5 Rxe8#
0kDAY,rnb2bkr/ppp3pp/5P2/6q1/2Q5/2P5/PP3PPP/RN2K2R b KQ - 1 13,c8e6 c4e6,400,hangingpiece kingsideattack mate matein1 middlegame onemove,Be6 Qxe6#
0Psb8,2k4r/pp1q3p/5p1Q/4p3/3pB3/5P1r/PPPB4/4R1RK w - - 5 28,h6h3 d7h3,400,hangingpiece mate matein1 middlegame onemove,Qxh3 Qxh3#
0W3iQ,6k1/1pp2ppp/4q3/8/5R2/1PP3Q1/R5PP/4r2K w - - 1 25,g3e1 e6e1 f4f1 e1f1,400,endgame hangingpiece mate matein2 short,Qxe1 Qxe1+ Rf1 Qxf1#
0evfN,4r1k1/1R3p1p/2Qn1Pp1/p1p5/P1Pp4/6P1/2q2P2/6K1 b - - 2 31,d6b7 c6e8,400,endgame hangingpiece mate matein1 onemove,Nxb7 Qxe8#
06UR6,2R3k1/1R4pr/3rp2p/p1p4n/P3P3/2P5/5KPP/8 b - - 4 31,d6d8 c8d8,400,endgame hangingpiece mate matein1 onemove,Rd8 Rxd8#
