PuzzleId,FEN,Moves,Rating,Themes,SAN
0ZCNy,r4r2/p3kp2/2p1pN2/2b1P3/2q4Q/7P/3R1PP1/5RK1 b - - 3 27,c4h4 d2d7,672,hookmate mate matein1 middlegame onemove,Qxh4 Rd7#
0Ku43,8/2k5/2p1p1R1/3pP3/2nP2p1/2RK2P1/1r3P2/8 w - - 6 41,g6e6 b2d2,686,endgame hookmate mate matein1 onemove,Rxe6 Rd2#
0mvyx,2r2r2/5p2/p3qNpk/1p1pP3/8/7R/PP4P1/7K b - - 1 30,h6g7 h3h7,721,endgame hookmate mate matein1 onemove,Kg7 Rh7#
0Ymg6,2R5/4rpk1/5Np1/6P1/8/5K2/8/6b1 b - - 35 58,g1d4 c8g8,752,endgame hookmate mate matein1 onemove,Bd4 Rg8#
0YRDN,2r2r2/1b3pk1/p3pNpp/1p2P1Q1/3p4/7R/PP3PP1/R5K1 b - - 0 28,h6g5 h3h7,780,endgame hookmate mate matein1 onemove,hxg5 Rh7#
00HzH,2r2Qk1/p2q2p1/1p2p1Np/3p3P/3Pb1P1/2P5/PP3R2/6K1 b - - 4 33,c8f8 f2f8 g8h7 f8h8,781,endgame hookmate mate matein2 short,Rxf8 Rxf8+ Kh7 Rh8#
04bch,3RNbk1/4Np1p/6p1/4p1P1/2n1P3/8/1P3r2/2K5 b - - 9 38,f8e7 e8f6 g8g7 d8g8,801,doublecheck endgame hookmate mate matein2 short,Bxe7 Nf6+ Kg7 Rg8#
04KbJ,8/pR6/5ppk/8/2P4p/1P3P1P/P5P1/4rnBK w - - 0 43,g1f2 f1g3 h1h2 e1h1,813,doublecheck endgame hookmate mate matein2 short,Bf2 Ng3+ Kh2 Rh1#
02lt5,8/8/Q6p/2R3pk/5n2/4pN1b/1r5K/8 w - - 2 57,h2g3 b2g2,819,endgame hookmate mate matein1 onemove,Kg3 Rg2#
0k8rg,2N2R2/2k4p/5p2/pb2nP2/4PK2/2r5/7P/R7 w - - 12 41,a1g1 c3f3,830,endgame hookmate mate matein1 onemove,Rg1 Rf3#
0DMpi,1r3k2/5ppp/8/2R2pPP/3p4/p1nP4/2P5/R1K5 w - - 1 33,a1a3 b8b1 c1d2 b1d1,851,endgame hookmate mate matein2 short,Rxa3 Rb1+ Kd2 Rd1#
046cO,3r1rk1/pn3p1p/1p2p1p1/4P3/2p1NP2/4P2R/PP4PP/R5K1 b - - 1 20,d8d3 e4f6 g8g7 h3h7,868,endgame hookmate kingsideattack mate matein2 short,Rd3 Nf6+ Kg7 Rxh7#
0T0Op,4r3/1p3bk1/8/p2p1pp1/P2P2n1/2BB3R/1P3KPP/8 w - - 2 34,f2f3 e8e3,869,endgame hookmate mate matein1 onemove,Kf3 Re3#
0LSuK,8/4kR2/p3p1p1/3pN1p1/3P2P1/Prr4P/6K1/8 b - - 6 40,e7d6 f7d7,871,endgame hookmate mate matein1 onemove,Kd6 Rd7#
0EQDE,6N1/p3Rpp1/8/3k2p1/5n2/2P1KP2/PP5r/8 w - - 14 35,e7f7 h2e2,897,endgame hookmate master mate matein1 onemove,Rxf7 Re2#
02fPe,1R6/5pkp/4pNp1/P3P1P1/8/4rn2/1P6/2K5 b - - 2 33,e3e5 b8g8,898,endgame hookmate mate matein1 onemove,Rxe5 Rg8#
0Bgdf,r1bq3r/p3n1p1/1p2Qk2/5pN1/2p2P2/2N5/PP4PP/2K1R3 b - - 0 22,c8e6 e1e6,903,hookmate mate matein1 middlegame onemove,Bxe6 Rxe6#
0Uquf,2R5/1r3pkp/r4Np1/4p1P1/p2bP3/1p3K2/P6P/3R4 b - - 1 36,b3a2 c8g8,916,endgame hookmate mate matein1 onemove,bxa2 Rg8#
0IPbF,r4r2/1bq2pk1/p1n1pNpQ/1p2P3/3pR3/5N2/PPP2PPP/R5K1 b - - 0 21,g7h6 e4h4 h6g7 h4h7,917,hookmate mate matein2 middlegame short,Kxh6 Rh4+ Kg7 Rh7#
02k1g,6k1/2R4p/6p1/5p2/4nP2/4NK2/r5PP/8 w - - 3 40,g2g4 a2f2,919,endgame hookmate mate matein1 onemove,g4 Rf2#
09KHF,1R6/3R2p1/4p1kp/1P3p2/4n2P/4PKP1/r4P2/8 w - - 0 40,b8b7 a2f2,923,endgame hookmate mate matein1 onemove,Rbb7 Rxf2#
0fXJo,3r1rk1/pp3ppp/2n1p3/6P1/1b2N3/1P6/P1P1RPP1/1K5R b - - 0 26,g7g6 e4f6 g8g7 h1h7,923,hookmate kingsideattack mate matein2 middlegame short,g6 Nf6+ Kg7 Rxh7#
0MPED,7r/6pp/2Rk1p2/pp1r4/3N4/4P3/PP4PP/1K6 b - - 1 26,d6e5 c6e6,933,endgame hookmate mate matein1 onemove,Ke5 Re6#
06vSn,1r3r1k/ppq2p2/4pNp1/4Pn2/5n2/1R5Q/P1P2PPP/5R1K b - - 1 24,f4h3 b3h3 f5h4 h3h4 h8g7 h4h7,945,exposedking hookmate kingsideattack long mate matein3 middlegame,Nxh3 Rxh3+ Nh4 Rxh4+ Kg7 Rh7#
0exDs,rr4k1/3q1p1p/b3p1p1/2B1P1P1/3PNP2/2P5/P1n2KP1/7R b - - 2 25,d7b5 e4f6 g8g7 h1h7,956,hookmate kingsideattack mate matein2 middlegame short,Qb5 Nf6+ Kg7 Rxh7#
0M51x,4r3/3R3p/p5p1/3kPp2/8/5N2/5KPP/r7 b - - 4 35,d5e4 d7d4,970,endgame hookmate mate matein1 onemove,Ke4 Rd4#
0l6AP,6k1/5pp1/p5p1/1p1P4/2p5/P1Nn1P2/1P1R2PP/3Kr3 w - - 6 32,d1c2 e1c1,972,endgame hookmate mate matein1 onemove,Kc2 Rc1#
0cuL1,6k1/pp4pp/n7/5p2/3PrNn1/P1B2KP1/1Pr5/4R2R w - - 0 28,e1e4 c2f2,981,hookmate mate matein1 middlegame onemove,Rxe4 Rf2#
0KYxG,r4b1r/ppp1kp2/4nNBp/4P3/8/4P3/PPP3PP/2KR3R b - - 0 15,f7g6 d1d7,985,hookmate mate matein1 middlegame onemove,fxg6 Rd7#
