PuzzleId,FEN,Moves,Rating,Themes,SAN
0mezG,8/6rp/3p4/3k4/1P5P/1R1K4/6P1/8 w - - 1 39,b3b2 g7g3 d3d2 g3g2,729,crushing endgame interference rookendgame short,Rb2 Rg3+ Kd2 Rxg2+
03H2V,6r1/p7/1ppkp1r1/5p2/3P1P2/P1PN1K1P/1P1R2P1/8 w - - 7 39,d3e5 g6g3 f3e2 g3g2,809,advantage deflection endgame interference short,Ne5 Rg3+ Ke2 Rxg2+
0lZwO,8/pr5p/3k4/R2p2p1/3Pp1P1/1P5P/P2K4/8 b - - 1 39,b7f7 a5a6 d6d7 a6a7,826,crushing endgame interference master rookendgame short,Rf7 Ra6+ Kd7 Rxa7+
0ajTl,4b1k1/ppp2pB1/3p1pB1/4q3/2P4Q/6P1/P4P1P/6K1 b - - 0 24,f7g6 h4h8 g8f7 h8f8 f7e6 f8e8,911,crushing deflection endgame exposedking interference long,fxg6 Qh8+ Kf7 Qf8+ Ke6 Qxe8+
0MQAS,r6r/p2qk2p/2pbpp2/3p3Q/3P4/P7/1P3PPP/RN3RK1 b - - 3 15,h8g8 h5h7 e7d8 h7g8,918,crushing interference middlegame short,Rhg8 Qxh7+ Kd8 Qxg8+
08SOm,6rk/5p2/4p1r1/p2pR3/1pP3P1/nP5K/P5B1/2R5 b - - 0 36,g6g4 e5h5 h8g7 h3g4,926,crushing endgame interference short,Rxg4 Rh5+ Kg7 Kxg4
0cbT2,8/5p2/6kp/5R2/2P2K2/5P1P/2r5/8 w - - 1 49,c4c5 c2c4 f4e5 c4c5,938,crushing endgame interference rookendgame short,c5 Rc4+ Ke5 Rxc5+
04I3d,1r3rk1/5ppp/1Q2b3/p7/2P1Pp2/P3bP2/R5PP/1N2KB1R w K - 1 18,b6a5 b8b1 e1e2 e6c4,942,hangingpiece interference mate matein2 middlegame short,Qxa5 Rxb1+ Ke2 Bxc4#
0UsAp,r4k1r/p2Bpp1p/6p1/q1N1b3/1p6/1P2n3/P1Q2PPP/2R1K2R w K - 2 20,f2e3 e5c3 e1f2 a5c5,953,advantage interference master mastervsmaster middlegame short,fxe3 Bc3+ Kf2 Qxc5
0h6gO,rr4k1/3q2pp/3Pp3/p1P1R3/1p2P3/1K5P/1PQ3P1/3R4 w - - 1 30,c5c6 a5a4 b3c4 d7c6,963,crushing endgame interference short,c6 a4+ Kc4 Qxc6+
0cU1q,2r1n3/4P2p/6pk/3R4/8/P7/KP5P/8 b - - 0 36,h6g7 d5d8 c8c7 d8e8,965,crushing endgame interference short,Kg7 Rd8 Rc7 Rxe8
0KAJX,r2qkb1r/1ppbn3/p1npp3/4PppB/3P3B/8/PPP2PPP/RN1Q1RK1 b kq - 1 11,e7g6 h5g6 e8e7 h4g5,1025,hangingpiece interference mate matein2 middlegame short,Ng6 Bxg6+ Ke7 Bxg5#
0UrRF,2r2rk1/p4ppp/5n2/4q3/8/3BPQ2/PP2KPPP/R6R w - - 0 17,g2g4 e5b2 e2f1 b2a1,1045,crushing interference middlegame short,g4 Qxb2+ Kf1 Qxa1+
0NqoB,r1bqk2r/pp3ppp/8/2b1P3/3N4/3P4/PB4PP/R2QKB1R b KQkq - 0 12,c5d4 d1a4 c8d7 a4d4,1050,advantage interference middlegame short,Bxd4 Qa4+ Bd7 Qxd4
0Gt4n,r5r1/b1p1kp2/2Qp1p2/1B1P2q1/1P2Pp2/6p1/2P2PP1/R4RK1 b - - 1 26,a7b6 c6d7 e7f8 a1a8 f8g7 a8g8,1074,advantage interference long middlegame,Bb6 Qd7+ Kf8 Rxa8+ Kg7 Rxg8+
0TgmV,8/1kp1n2R/1p2PR2/6K1/5P2/8/P6r/8 b - - 1 55,h2h7 f6f7 h7h2 f7e7,1074,crushing endgame interference short,Rxh7 Rf7 Rh2 Rxe7
0K3B5,r6r/pp2pk1p/3p1P2/2pP2p1/3q4/3B2P1/5R2/1Q4K1 b - - 0 27,e7f6 b1b7 f7f8 b7a8,1080,crushing endgame interference master mastervsmaster short,exf6 Qxb7+ Kf8 Qxa8+
