PuzzleId,FEN,Moves,Rating,Themes,SAN
0WgUJ,r2qk3/1p5p/p3pbr1/3RQ3/8/2B2P2/PPP3PP/2K2B1R b q - 0 22,f6e5 d5d8 a8d8 c3e5,891,crushing intermezzo middlegame short,Bxe5 Rxd8+ Rxd8 Bxe5
07ME7,r4r1k/p2qbp1p/2b5/1p1p1BQ1/3P4/2N4P/PPP3P1/2KR3R w - - 1 25,f5d7 e7g5 c1b1 c6d7,893,advantage hangingpiece intermezzo middlegame short,Bxd7 Bxg5+ Kb1 Bxd7
0NKXY,1Rr1r1k1/5ppp/8/8/3Pq3/4P1QP/5PP1/1R4K1 w - - 3 35,b8c8 e4b1 g1h2 e8c8,910,advantage endgame hangingpiece intermezzo short,Rxc8 Qxb1+ Kh2 Rxc8
0S6IM,rnbq1rk1/ppp2p1p/6p1/2Ppb3/8/2N1P1P1/PP3PP1/R2QKBNR w KQ - 0 10,d1d5 e5c3 b2c3 d8d5,914,crushing intermezzo opening short,Qxd5 Bxc3+ bxc3 Qxd5
02X7P,rn2k2r/ppp2ppp/2q1bp2/1B1p4/1b1P4/1PN1PN2/P1PQ1PPP/R3K2R b KQkq - 4 9,b4c3 b5c6 b8c6 d2c3,928,advantage intermezzo middlegame short,Bxc3 Bxc6+ Nxc6 Qxc3
0OIqm,6k1/4Rpp1/p3p1b1/1p1pP1QB/3q4/P6P/1r3PP1/6K1 b - - 1 31,g6h5 e7e8 g8h7 g5h5,946,endgame intermezzo mate matein2 short,Bxh5 Re8+ Kh7 Qxh5#
0IC0n,r4rk1/pp3pp1/2p1pn1p/6qP/3PN3/2P5/PP2QPP1/R4RK1 b - - 5 18,g5h5 e4f6 g7f6 e2h5,953,crushing intermezzo kingsideattack middlegame short,Qxh5 Nxf6+ gxf6 Qxh5
00Htd,rnbqk2r/1p3ppp/p4b2/2Pp4/8/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 9,d1d5 f6c3 b2c3 d8d5,953,crushing intermezzo opening short,Qxd5 Bxc3+ bxc3 Qxd5
0F9xB,r1bqk2r/pp3ppp/2n2b2/1B1p4/3Q4/2N1P3/PP3PPP/R3K1NR w KQkq - 2 10,d4d5 f6c3 b2c3 d8d5,965,crushing intermezzo opening short,Qxd5 Bxc3+ bxc3 Qxd5
0Dh6K,4rr1k/pBp3p1/7p/2p1np2/2Pp3P/3P2P1/PP3P2/3RR1K1 b - - 0 23,e5d3 e1e8 f8e8 d1d3,968,advantage endgame intermezzo short,Nxd3 Rxe8 Rxe8 Rxd3
0QfXt,r1b1k2r/1p1qbpp1/p1n1p2p/8/P2P1P2/5B2/1P3RPP/R1BQ2K1 b kq - 0 17,d7d4 f3c6 b7c6 d1d4,982,crushing intermezzo opening short,Qxd4 Bxc6+ bxc6 Qxd4
0jZoU,6k1/1n1nq1r1/p2p1Rb1/3Pp2p/1pN1P2P/1P6/P1B1Q2K/5R2 w - - 3 41,f6g6 e7h4 h2g1 g7g6,983,advantage intermezzo middlegame short,Rxg6 Qxh4+ Kg1 Rxg6+
0PkYe,rnbq1rk1/pp2pp1p/5bp1/3p4/8/2NP2P1/PP2PPBP/R2QK1NR w KQ - 0 9,g2d5 f6c3 b2c3 d8d5,984,advantage intermezzo opening short,Bxd5 Bxc3+ bxc3 Qxd5
0fTRg,r4rk1/pbp1bppp/1p2pn2/3q3P/2PPN3/1P4B1/1P1N1PP1/R2QR1K1 b - - 0 17,d5h5 e4f6 e7f6 d1h5,986,crushing intermezzo kingsideattack middlegame short,Qxh5 Nxf6+ Bxf6 Qxh5
0p1et,8/1p4pk/3pNb2/3P1r1P/2P5/1P3p2/P2Rr3/1K3R2 w - - 2 33,f1f3 e2e1 b1c2 f5f3,996,advantage endgame intermezzo master short,Rxf3 Re1+ Kc2 Rxf3
0Fcy0,3q1rk1/2p2ppp/8/1P1b4/8/4Pn2/1P1Q1PPP/3R1RK1 w - - 2 20,g2f3 d8g5 g1h1 d5f3,998,endgame intermezzo mate matein2 short,gxf3 Qg5+ Kh1 Bxf3#
0OElv,3r2k1/p4ppp/1bp2q2/8/1P3B2/PQ2P2P/3r1PP1/R2R2K1 w - - 2 20,d1d2 f6a1 g1h2 d8d2,1004,crushing hangingpiece intermezzo master middlegame short,Rxd2 Qxa1+ Kh2 Rxd2
0fsX5,r2qkb1r/pp3ppp/1nn1p3/8/3P4/5BB1/PP3PPP/RN1QK2R b KQkq - 0 11,d8d4 f3c6 b7c6 d1d4,1009,crushing intermezzo opening short,Qxd4 Bxc6+ bxc6 Qxd4
0CHyU,r2b2k1/5p1p/6p1/8/p7/1B6/P5PP/3R2K1 w - - 0 25,b3a4 d8b6 g1h1 a8a4,1011,crushing endgame intermezzo short,Bxa4 Bb6+ Kh1 Rxa4
07bvQ,r1bq1rk1/p4pp1/p4b1p/2Pp4/8/2N1PN2/PP3PPP/R2QK2R w KQ - 0 12,d1d5 f6c3 b2c3 d8d5,1015,crushing intermezzo middlegame short,Qxd5 Bxc3+ bxc3 Qxd5
