PuzzleId,FEN,Moves,Rating,Themes,SAN
0DTKO,8/p1q2kp1/2p2bQ1/2p2P2/2Pp3N/1Pn5/1r3P2/4R1K1 b - - 1 33,f7f8 e1e8,717,killboxmate mate matein1 middlegame onemove,Kf8 Re8#
0F3Ob,8/6pk/p3Q2p/1p1p1p2/1P1P4/r3P1Pq/5R1P/6K1 w - - 1 40,e6d5 a3a1 f2f1 a1f1,774,endgame killboxmate mate matein2 short,Qxd5 Ra1+ Rf1 Rxf1#
0jqSR,4r1k1/5pp1/p1b4p/1p3N2/2pQ4/2P3qP/PP4PR/3Rr1K1 w - - 6 38,d1e1 e8e1,800,killboxmate kingsideattack master mate matein1 middlegame onemove,Rxe1 Rxe1#
0Zhrc,2r3k1/pp3r1p/1n4pQ/3p4/3q4/2N1R3/P4PPP/R5K1 b - - 3 26,c8c3 e3e8 f7f8 e8f8,805,killboxmate mate matein2 middlegame short,Rxc3 Re8+ Rf8 Rxf8#
0O8b9,5r1k/1Q5p/3pB1p1/4pr2/1P6/P5pq/2P1PP1P/1R3RK1 w - - 0 28,f2g3 f5f1 b1f1 f8f1,853,killboxmate mate matein2 middlegame short,fxg3 Rxf1+ Rxf1 Rxf1#
0EMXg,2k5/pp6/8/2p5/3pP3/P1PPqrr1/1P2Q1P1/R4KR1 w - - 0 29,g2f3 g3g1,899,endgame killboxmate mate matein1 onemove,gxf3 Rxg1#
0R9Tb,4r3/Q1pk2pp/2p5/3p1b2/5P2/3P2Pq/PPP1rR1P/RN4K1 w - - 3 18,b1c3 e2e1 a1e1 e8e1 f2f1 e1f1,904,killboxmate kingsideattack long mate matein3 middlegame,Nc3 Re1+ Rxe1 Rxe1+ Rf1 Rxf1#
0Kqgt,2b2rk1/p4B1p/2pR2pQ/7n/Nr6/8/PPP3qP/2K2R2 b - - 0 18,f8f7 d6d8 f7f8 d8f8,974,fork killboxmate mate matein2 middlegame short,Rxf7 Rd8+ Rf8 Rdxf8#
06jNM,r4rk1/2p1R2p/p1p3pQ/q4p2/5P2/8/5PPP/4R1K1 b - - 3 23,f8f7 e7e8 a8e8 e1e8 f7f8 e8f8,992,endgame killboxmate long mate matein3,Rf7 Re8+ Rxe8 Rxe8+ Rf8 Rxf8#
0fZnA,2k1r3/1pp1rp1p/p2B1b2/7q/2QP2p1/2P2RP1/PP3PKP/R7 w - - 0 21,f3f6 h5h3 g2h1 e7e1 a1e1 e8e1 c4f1 e1f1,994,killboxmate mate matein4 middlegame verylong,Rxf6 Qh3+ Kh1 Re1+ Rxe1 Rxe1+ Qf1 Rxf1#
0ESpP,8/5Qpk/p7/8/2rbP1PP/8/rPq5/KR5R w - - 0 29,a1a2 c4a4,1002,endgame killboxmate mate matein1 onemove,Kxa2 Ra4#
0UGhA,5r1k/ppp3pp/1b6/4pr2/4N1n1/1Q3PBq/PP5N/3R1R1K w - - 1 27,f3g4 f5f1 d1f1 f8f1,1024,killboxmate kingsideattack mate matein2 middlegame pin short,fxg4 Rxf1+ Rxf1 Rxf1#
0QqKN,4r1k1/pp2rpp1/7p/3p4/6P1/1P1R1PqP/PQ3RB1/6K1 w - - 1 27,d3d2 e7e1 f2f1 e1f1 g1f1 e8e1,1030,attraction exposedking killboxmate kingsideattack long mate matein3 middlegame pin,Rdd2 Re1+ Rf1 Rxf1+ Kxf1 Re1#
