PuzzleId,FEN,Moves,Rating,Themes,SAN
0Q8Cb,2k5/2P2pp1/2K5/2nN3p/8/8/8/8 b - - 1 60,c5e6 d5e7,420,endgame knightendgame mate matein1 onemove,Ne6 Ne7#
0gszH,2N3k1/7p/4p1pP/1p2P1P1/1Pp5/P3P3/8/6K1 w - - 0 40,c8d6 c4c3 d6b5 c3c2,455,advancedpawn advantage endgame knightendgame master short,Nd6 c3 Nxb5 c2
0kPJE,8/8/8/p7/2p5/2P5/1k1KN3/8 w - - 2 58,e2g3 a5a4 g3e4 a4a3,480,crushing endgame knightendgame quietmove short,Ng3 a4 Ne4 a3
0NJEi,5K2/8/3k2P1/4n3/3p4/3B4/8/8 b - - 6 61,e5d3 g6g7 d3e5 g7g8q,515,advancedpawn crushing endgame knightendgame promotion short,Nxd3 g7 Ne5 g8=Q
0KeBg,8/1k3n2/1p6/pK3P1P/P7/6N1/8/8 w - - 1 55,f5f6 f7d6,531,endgame knightendgame mate matein1 onemove,f6 Nd6#
03Ejm,6k1/6pp/4p3/2Pp4/8/1P3PP1/3n3P/6K1 b - - 0 38,d2b3 c5c6 b3d2 c6c7,534,advancedpawn advantage endgame knightendgame short,Nxb3 c6 Nd2 c7
0cFsU,8/8/8/8/n1p4P/5kP1/2K5/8 b - - 0 53,f3g3 h4h5 a4b6 h5h6,542,crushing endgame knightendgame quietmove short,Kxg3 h5 Nb6 h6
0Br1L,8/8/7N/8/2p2k1P/5P2/8/7K w - - 0 45,h1g2 c4c3 h6g4 c3c2,568,advancedpawn crushing endgame knightendgame master short,Kg2 c3 Ng4 c2
0oV2Y,8/5n2/1P3k2/p7/5K2/8/8/8 b - - 1 62,f6e6 b6b7 f7d6 b7b8q,577,advancedpawn crushing endgame knightendgame promotion short,Ke6 b7 Nd6 b8=Q
0QVIk,8/8/1N1n4/1Pp5/2Pk1K2/8/8/8 b - - 2 49,d6c4 b6c4 d4c4 b5b6,578,crushing endgame knightendgame short,Nxc4 Nxc4 Kxc4 b6
