PuzzleId,FEN,Moves,Rating,Themes,SAN
0LVwe,3r2k1/5p1p/4p2B/1pR1b3/8/6P1/P4P1P/6K1 b - - 1 29,d8d5 c5c8 d5d8 c8d8,400,endgame master mastervsmaster mate matein2 short,Rd5 Rc8+ Rd8 Rxd8#
082QD,1r5k/7p/4RK1P/8/8/8/8/8 b - - 8 62,b8b7 e6e8,433,endgame master mastervsmaster mate matein1 onemove rookendgame,Rb7 Re8#
0gLiO,8/8/6k1/1p6/5K2/7P/8/8 w - - 2 65,f4g4 b5b4 g4f3 b4b3 f3e4 b3b2,482,advancedpawn crushing endgame long master mastervsmaster pawnendgame quietmove,Kg4 b4 Kf3 b3 Ke4 b2
0S4sr,1r1r2k1/5ppb/7p/3BR3/pP6/7P/1P3PP1/4R1K1 b - - 0 32,b8b4 e5e8 d8e8 e1e8,496,endgame master mastervsmaster mate matein2 short,Rxb4 Re8+ Rxe8 Rxe8#
0GiI5,r1b1k2r/pp3ppp/8/q3P1B1/1bp1p3/2N1P3/PP1Q1PPP/R3K2R b KQkq - 0 13,a5e5 d2d8,503,master mastervsmaster mate matein1 middlegame onemove,Qxe5 Qd8#
0owl9,5r1k/1ppQ2pb/3b3p/1P6/7N/5N1P/6P1/4q2K w - - 0 37,f3e1 f8f1,504,endgame master mastervsmaster mate matein1 onemove,Nxe1 Rf1#
08ysH,8/3N2k1/5b2/5R2/r5KP/8/8/8 w - - 3 48,g4h5 a4h4,507,endgame master mastervsmaster mate matein1 onemove,Kh5 Rxh4#
0GFSO,4rrk1/pp3ppp/2p2n2/3b4/P3q3/3NP3/1PQ1BPPP/R4RK1 w - - 2 20,a1c1 e4g2,533,kingsideattack master mastervsmaster mate matein1 middlegame onemove,Rac1 Qxg2#
0L13K,r1b2rk1/1p3ppp/p4n2/3qB3/8/3p2Q1/PPP2PPP/3R1RK1 b - - 2 15,f6e4 g3g7,541,kingsideattack master mastervsmaster mate matein1 middlegame onemove,Ne4 Qxg7#
09RHB,8/1R6/8/4pK2/5bpk/8/8/8 b - - 1 58,g4g3 b7h7 f4h6 h7h6,573,endgame master mastervsmaster mate matein2 short,g3 Rh7+ Bh6 Rxh6#
0eQXF,1rr3k1/p3Qb1p/6p1/qp5n/3bN3/P4P2/1PP3P1/1K1R1B1R w - - 0 23,d1d4 a5e1 d4d1 e1d1,583,master mastervsmaster mate matein2 middlegame queensideattack short,Rxd4 Qe1+ Rd1 Qxd1#
