PuzzleId,FEN,Moves,Rating,Themes,SAN
0WYeC,2r5/7p/k7/br6/3R4/4P3/2R2PPP/6K1 w - - 0 39,c2c8 b5b1 c8c1 b1c1 d4d1 c1d1,400,backrankmate endgame long mate matein3,Rxc8 Rb1+ Rc1 Rxc1+ Rd1 Rxd1#
0PNXh,r1b2r1k/pp4pp/2p5/2B5/4q2P/5BP1/4P3/3RK3 b - - 1 23,f8f3 d1d8 e4e8 d8e8 f3f8 e8f8,400,backrankmate endgame long mate matein3,Rxf3 Rd8+ Qe8 Rxe8+ Rf8 Rxf8#
0DR2H,r4k2/2Q3pp/4p3/3pP3/8/8/5PPP/1R4K1 w - - 7 33,b1b7 a8a1 b7b1 a1b1 c7c1 b1c1,400,backrankmate endgame long mate matein3 queenrookendgame,Rb7 Ra1+ Rb1 Rxb1+ Qc1 Rxc1#
0GZfK,6k1/pp4p1/5q2/8/8/6Q1/Pr4PP/5R1K w - - 0 38,f1f6 b2b1 g3e1 b1e1 f6f1 e1f1,400,backrankmate endgame long mate matein3 queenrookendgame,Rxf6 Rb1+ Qe1 Rxe1+ Rf1 Rxf1#
0CZkx,4r1k1/p4ppp/2R5/1p4P1/3q4/7P/1N6/1K6 b - - 0 47,e8e2 c6c8 d4d8 c8d8 e2e8 d8e8,400,backrankmate endgame long mate matein3,Re2 Rc8+ Qd8 Rxd8+ Re8 Rxe8#
06fUn,1r5k/1Q4pp/p2p2q1/1p2p3/4P2b/1P6/P4PPP/2R2RK1 b - - 5 25,b8b7 c1c8 h4d8 c8d8 g6e8 d8e8,400,backrankmate endgame long mate matein3,Rxb7 Rc8+ Bd8 Rxd8+ Qe8 Rxe8#
0C6eb,4n3/pp4k1/2p2qp1/P1P2p2/8/1B1P4/5PPP/4Q1K1 w - - 3 34,e1e8 f6a1 b3d1 a1d1 e8e1 d1e1,400,endgame long mate matein3,Qxe8 Qa1+ Bd1 Qxd1+ Qe1 Qxe1#
0iQ57,3r2k1/p1p2ppp/b1p5/8/1RP1P3/8/P2R1PPP/6K1 b - - 0 20,d8d2 b4b8 a6c8 b8c8 d2d8 c8d8,415,backrankmate endgame long mate matein3,Rxd2 Rb8+ Bc8 Rxc8+ Rd8 Rxd8#
0JEtL,7k/p4pp1/2N4p/8/4B3/r3P3/1b3PPP/3R2K1 w - - 0 31,d1d7 a3a1 e4b1 a1b1 d7d1 b1d1,418,backrankmate endgame long mate matein3,Rd7 Ra1+ Bb1 Rxb1+ Rd1 Rxd1#
00o7c,2r3k1/p4ppp/1pb1pq2/1P6/2Q1PP2/6P1/P5BP/2R3K1 b - - 0 24,c6b7 c4c8 b7c8 c1c8 f6d8 c8d8,435,backrankmate endgame long mate matein3,Bb7 Qxc8+ Bxc8 Rxc8+ Qd8 Rxd8#
0gTFt,1Q6/6pk/5q2/2B2p1p/8/5B2/5PPP/6K1 w - - 1 36,b8b4 f6a1 f3d1 a1d1 b4e1 d1e1,437,endgame long mate matein3,Qb4 Qa1+ Bd1 Qxd1+ Qe1 Qxe1#
03lLT,2r3k1/5ppp/p4b2/3Rp3/P3P3/1r3N2/5PPP/1R4K1 w - - 0 25,b1b3 c8c1 d5d1 c1d1 f3e1 d1e1,440,backrankmate endgame long mate matein3,Rxb3 Rc1+ Rd1 Rxd1+ Ne1 Rxe1#
0QI7D,r3r1k1/pp1qbppp/8/4R3/3p4/1P1P3P/PB2QPP1/4R2K b - - 3 22,e7f6 e5e8 a8e8 e2e8 d7e8 e1e8,443,backrankmate long mate matein3 middlegame,Bf6 Rxe8+ Rxe8 Qxe8+ Qxe8 Rxe8#
0IbPX,8/8/2Pk3p/P1R4P/3P1p2/1r4p1/6P1/4R1K1 w - - 2 55,e1e2 b3b1 c5c1 b1c1 e2e1 c1e1,447,endgame long mate matein3 rookendgame,Re2 Rb1+ Rc1 Rxc1+ Re1 Rxe1#
0pAL4,8/4R1pp/kr6/2Qp1b2/3r4/5B2/P2P1PPP/6K1 w - - 0 28,c5d4 b6b1 f3d1 b1d1 e7e1 d1e1,461,backrankmate endgame long mate matein3,Qxd4 Rb1+ Bd1 Rxd1+ Re1 Rxe1#
0JTgy,8/1R3pk1/8/3N2pp/3P4/4P3/r4PPP/2R3K1 w - - 0 28,c1c7 a2a1 b7b1 a1b1 c7c1 b1c1,466,backrankmate endgame long mate matein3,Rcc7 Ra1+ Rb1 Rxb1+ Rc1 Rxc1#
06u0X,2r3k1/1R6/3r1p2/8/1p6/5N2/PP3PPP/3R2K1 w - - 0 30,d1d6 c8c1 d6d1 c1d1 f3e1 d1e1,468,backrankmate endgame long mate matein3,Rxd6 Rc1+ Rd1 Rxd1+ Ne1 Rxe1#
0OBU4,4r1k1/1R3ppp/8/5b2/1P1P4/5P2/1r4PP/5R1K b - - 1 24,e8e2 b7b8 f5c8 b8c8 e2e8 c8e8,469,backrankmate endgame long mate matein3,Ree2 Rb8+ Bc8 Rxc8+ Re8 Rxe8#
0BUh9,r5k1/1p6/4p2p/1p3pp1/3Pp3/2R1P3/1R3PPP/6K1 w - - 1 28,b2b3 a8a1 b3b1 a1b1 c3c1 b1c1,471,backrankmate endgame long mate matein3 rookendgame,Rbb3 Ra1+ Rb1 Rxb1+ Rc1 Rxc1#
