PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,SAN,PGN
0GKwj,5rk1/5ppp/1qb5/8/4nQ1N/8/4r1PP/1R3R1K b - - 14 32,b6d4 f4f7 f8f7 b1b8 d4d8 b8d8 c6e8 d8e8 f7f8 f1f8,1103,84,87,1715,mate matein5 middlegame sacrifice verylong,https://lichess.org/n23IzwMG/black#64,,Qd4 Qxf7+ Rxf7 Rb8+ Qd8 Rxd8+ Be8 Rxe8+ Rf8 Rfxf8#,"[Event ""mate matein5 middlegame sacrifice verylong""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""5rk1/5ppp/1qb5/8/4nQ1N/8/4r1PP/1R3R1K b - - 14 32""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""mate matein5 middlegame sacrifice verylong""]
[ChapterName ""mate matein5 middlegame sacrifice verylong""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1103""]
[RatingDeviation ""84""]
[Popularity ""87""]
[NbPlays ""1715""]
[Themes ""mate matein5 middlegame sacrifice verylong""]

32... Qd4 33. Qxf7+ Rxf7 34. Rb8+ Qd8 35. Rxd8+ Be8 36. Rxe8+ Rf8 37. Rfxf8# *"
0SPDT,3r2k1/1q4pp/p1b1r3/1p2p3/2P2Q2/P1B5/B1P3PP/4R1RK w - - 0 29,e1e5 c6g2 g1g2 d8d1 c3e1 d1e1 e5e1 e6e1 f4f1 e1f1,1107,80,90,2098,kingsideattack mate matein5 middlegame sacrifice verylong xrayattack,https://lichess.org/Wp3dIxEf#57,,Rxe5 Bxg2+ Rxg2 Rd1+ Be1 Rxe1+ Rxe1 Rxe1+ Qf1 Rxf1#,"[Event ""kingsideattack mate matein5 middlegame sacrifice verylong xrayattack""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""3r2k1/1q4pp/p1b1r3/1p2p3/2P2Q2/P1B5/B1P3PP/4R1RK w - - 0 29""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""kingsideattack mate matein5 middlegame sacrifice verylong xrayattack""]
[ChapterName ""kingsideattack mate matein5 middlegame sacrifice verylong xrayattack""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1107""]
[RatingDeviation ""80""]
[Popularity ""90""]
[NbPlays ""2098""]
[Themes ""kingsideattack mate matein5 middlegame sacrifice verylong xrayattack""]

29. Rxe5 Bxg2+ 30. Rxg2 Rd1+ 31. Be1 Rxe1+ 32. Rxe1 Rxe1+ 33. Qf1 Rxf1# *"
0V0dH,2kr4/2pr4/ppQ2p1n/N5pp/4B3/1P3PP1/P6P/2Rq3K w - - 2 31,c1d1 d7d1 h1g2 d8d2 g2h3 g5g4 f3g4 h5g4 h3h4 d2h2,1232,78,92,828,kingsideattack mate matein5 middlegame verylong,https://lichess.org/SIHbkDRY#61,,Rxd1 Rxd1+ Kg2 R8d2+ Kh3 g4+ fxg4 hxg4+ Kh4 Rxh2#,"[Event ""kingsideattack mate matein5 middlegame verylong""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""2kr4/2pr4/ppQ2p1n/N5pp/4B3/1P3PP1/P6P/2Rq3K w - - 2 31""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""kingsideattack mate matein5 middlegame verylong""]
[ChapterName ""kingsideattack mate matein5 middlegame verylong""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1232""]
[RatingDeviation ""78""]
[Popularity ""92""]
[NbPlays ""828""]
[Themes ""kingsideattack mate matein5 middlegame verylong""]

31. Rxd1 Rxd1+ 32. Kg2 R8d2+ 33. Kh3 g4+ 34. fxg4 hxg4+ 35. Kh4 Rxh2# *"
0AtUL,8/pp2k3/2n5/2p1P1N1/4N1n1/2P5/PP4rr/3K1R2 b - - 4 33,g2b2 f1f7 e7d8 g5e6 d8c8 e4d6 c8b8 f7f8 c6d8 f8d8,1558,76,95,23678,exposedking mate matein5 middlegame verylong,https://lichess.org/31qIehlr/black#66,,Rxb2 Rf7+ Kd8 Ne6+ Kc8 Nd6+ Kb8 Rf8+ Nd8 Rxd8#,"[Event ""exposedking mate matein5 middlegame verylong""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/pp2k3/2n5/2p1P1N1/4N1n1/2P5/PP4rr/3K1R2 b - - 4 33""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""exposedking mate matein5 middlegame verylong""]
[ChapterName ""exposedking mate matein5 middlegame verylong""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1558""]
[RatingDeviation ""76""]
[Popularity ""95""]
[NbPlays ""23678""]
[Themes ""exposedking mate matein5 middlegame verylong""]

33... Rxb2 34. Rf7+ Kd8 35. Ne6+ Kc8 36. Nd6+ Kb8 37. Rf8+ Nd8 38. Rxd8# *"
0LStG,r2q1rk1/2pb2p1/3p3p/p1pPpn2/2P3Pb/P1NQBP1P/1PB2R2/R5K1 b - - 0 21,f5e3 d3h7 g8f7 c2g6 f7f6 c3e4 f6e7 h7g7 f8f7 g7f7,1621,76,91,2308,deflection kingsideattack mate matein5 middlegame verylong,https://lichess.org/ctJ21XM6/black#42,,Nxe3 Qh7+ Kf7 Bg6+ Kf6 Ne4+ Ke7 Qxg7+ Rf7 Qxf7#,"[Event ""deflection kingsideattack mate matein5 middlegame verylong""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r2q1rk1/2pb2p1/3p3p/p1pPpn2/2P3Pb/P1NQBP1P/1PB2R2/R5K1 b - - 0 21""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""deflection kingsideattack mate matein5 middlegame verylong""]
[ChapterName ""deflection kingsideattack mate matein5 middlegame verylong""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1621""]
[RatingDeviation ""76""]
[Popularity ""91""]
[NbPlays ""2308""]
[Themes ""deflection kingsideattack mate matein5 middlegame verylong""]

21... Nxe3 22. Qh7+ Kf7 23. Bg6+ Kf6 24. Ne4+ Ke7 25. Qxg7+ Rf7 26. Qxf7# *"
02iyq,4r1k1/pp3p1p/q1p2Np1/3nP1Q1/8/1P1P3P/P3R1P1/7K b - - 1 28,d5f6 e5f6 e8e2 g5h6 e2e1 h1h2 e1h1 h2h1 c6c5 h6g7,1630,75,92,1009,endgame mate matein5 sacrifice verylong,https://lichess.org/rpyv9rFS/black#56,,Nxf6 exf6 Rxe2 Qh6 Re1+ Kh2 Rh1+ Kxh1 c5 Qg7#,"[Event ""endgame mate matein5 sacrifice verylong""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""4r1k1/pp3p1p/q1p2Np1/3nP1Q1/8/1P1P3P/P3R1P1/7K b - - 1 28""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame mate matein5 sacrifice verylong""]
[ChapterName ""endgame mate matein5 sacrifice verylong""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1630""]
[RatingDeviation ""75""]
[Popularity ""92""]
[NbPlays ""1009""]
[Themes ""endgame mate matein5 sacrifice verylong""]

28... Nxf6 29. exf6 Rxe2 30. Qh6 Re1+ 31. Kh2 Rh1+ 32. Kxh1 c5 33. Qg7# *"
0Gayy,3q2rk/1b3Rr1/8/2p5/2BP3P/2P3P1/P4PK1/2Q4R w - - 1 33,g2h2 d8h4 g3h4 g7g2 h2h3 b7c8 f7d7 c8d7 c4e6 d7e6,1634,73,94,12082,mate matein5 middlegame sacrifice verylong,https://lichess.org/E055blu5#65,,Kh2 Qxh4+ gxh4 Rg2+ Kh3 Bc8+ Rd7 Bxd7+ Be6 Bxe6#,"[Event ""mate matein5 middlegame sacrifice verylong""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""3q2rk/1b3Rr1/8/2p5/2BP3P/2P3P1/P4PK1/2Q4R w - - 1 33""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""mate matein5 middlegame sacrifice verylong""]
[ChapterName ""mate matein5 middlegame sacrifice verylong""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1634""]
[RatingDeviation ""73""]
[Popularity ""94""]
[NbPlays ""12082""]
[Themes ""mate matein5 middlegame sacrifice verylong""]

33. Kh2 Qxh4+ 34. gxh4 Rg2+ 35. Kh3 Bc8+ 36. Rd7 Bxd7+ 37. Be6 Bxe6# *"
0AdFZ,4r2k/1p2Np1p/p1pQ1P2/2P3r1/6pq/4R3/P5P1/6K1 b - - 4 38,g5h5 e7g6 h7g6 e3e8 h8h7 e8h8 h7h8 d6f8 h8h7 f8g7,1639,317,33,9,attraction discoveredattack endgame mate matein5 sacrifice verylong,https://lichess.org/rQN4Km9p/black#76,,Rh5 Ng6+ hxg6 Rxe8+ Kh7 Rh8+ Kxh8 Qf8+ Kh7 Qg7#,"[Event ""attraction discoveredattack endgame mate matein5 sacrifice verylong""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""4r2k/1p2Np1p/p1pQ1P2/2P3r1/6pq/4R3/P5P1/6K1 b - - 4 38""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""attraction discoveredattack endgame mate matein5 sacrifice verylong""]
[ChapterName ""attraction discoveredattack endgame mate matein5 sacrifice verylong""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1639""]
[RatingDeviation ""317""]
[Popularity ""33""]
[NbPlays ""9""]
[Themes ""attraction discoveredattack endgame mate matein5 sacrifice verylong""]

38... Rh5 39. Ng6+ hxg6 40. Rxe8+ Kh7 41. Rh8+ Kxh8 42. Qf8+ Kh7 43. Qg7# *"
0ZAXG,2r1r1k1/p1q3pR/4p3/4bpN1/1p6/P4P2/5PK1/1Q1R4 b - - 1 26,c7e7 h7h8 g8h8 d1h1 e5h2 h1h2 h8g8 h2h8 g8h8 b1h1 h8g8 h1h7 g8f8 h7h8,1655,77,75,199,attraction mate matein5 middlegame sacrifice verylong,https://lichess.org/ZFNJzs4j/black#52,,Qe7 Rh8+ Kxh8 Rh1+ Bh2 Rxh2+ Kg8 Rh8+ Kxh8 Qh1+ Kg8 Qh7+ Kf8 Qh8#,"[Event ""attraction mate matein5 middlegame sacrifice verylong""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""2r1r1k1/p1q3pR/4p3/4bpN1/1p6/P4P2/5PK1/1Q1R4 b - - 1 26""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""attraction mate matein5 middlegame sacrifice verylong""]
[ChapterName ""attraction mate matein5 middlegame sacrifice verylong""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1655""]
[RatingDeviation ""77""]
[Popularity ""75""]
[NbPlays ""199""]
[Themes ""attraction mate matein5 middlegame sacrifice verylong""]

26... Qe7 27. Rh8+ Kxh8 28. Rh1+ Bh2 29. Rxh2+ Kg8 30. Rh8+ Kxh8 31. Qh1+ Kg8
32. Qh7+ Kf8 33. Qh8# *"
051YJ,7k/pp2q1p1/1n2p1Bp/1b3pN1/1n1P3P/8/PP1K1PP1/1Q5R b - - 0 24,h6g5 h4g5 h8g8 h1h8 g8h8 b1h1 h8g8 h1h7 g8f8 h7h8,1667,73,95,22042,attraction discoveredattack kingsideattack mate matein5 middlegame sacrifice verylong,https://lichess.org/BLp2HacV/black#48,,hxg5 hxg5+ Kg8 Rh8+ Kxh8 Qh1+ Kg8 Qh7+ Kf8 Qh8#,"[Event ""attraction discoveredattack kingsideattack mate matein5 middlegame sacrifice verylong""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""7k/pp2q1p1/1n2p1Bp/1b3pN1/1n1P3P/8/PP1K1PP1/1Q5R b - - 0 24""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""attraction discoveredattack kingsideattack mate matein5 middlegame sacrifice verylong""]
[ChapterName ""attraction discoveredattack kingsideattack mate matein5 middlegame sacrifice verylong""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1667""]
[RatingDeviation ""73""]
[Popularity ""95""]
[NbPlays ""22042""]
[Themes ""attraction discoveredattack kingsideattack mate matein5 middlegame sacrifice verylong""]

24... hxg5 25. hxg5+ Kg8 26. Rh8+ Kxh8 27. Qh1+ Kg8 28. Qh7+ Kf8 29. Qh8# *"
