PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,SAN,PGN
0WpWF,r2qkbnr/1p1bpppp/p2p4/8/2B1P3/5Q2/PPP2PPP/RNB1K2R b KQkq - 0 9,a8b8 f3f7,400,114,88,517,attackingf2f7 mate matein1 onemove opening,https://lichess.org/sXBQv5uP/black#18,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit,Rb8 Qxf7#,"[Event ""attackingf2f7 mate matein1 onemove opening""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r2qkbnr/1p1bpppp/p2p4/8/2B1P3/5Q2/PPP2PPP/RNB1K2R b KQkq - 0 9""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""attackingf2f7 mate matein1 onemove opening""]
[ChapterName ""attackingf2f7 mate matein1 onemove opening""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""400""]
[RatingDeviation ""114""]
[Popularity ""88""]
[NbPlays ""517""]
[Themes ""attackingf2f7 mate matein1 onemove opening""]

9... Rb8 10. Qxf7# *"
0G1Uu,rn1q1rk1/pp1bnppp/3bp3/3p4/3P4/2PQ1N2/PPB2PPP/RNB1K2R b KQ - 2 9,a7a6 d3h7,400,107,90,336,kingsideattack mate matein1 onemove opening,https://lichess.org/9iK3WJmr/black#18,Caro-Kann_Defense Caro-Kann_Defense_Hillbilly_Attack,a6 Qxh7#,"[Event ""kingsideattack mate matein1 onemove opening""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""rn1q1rk1/pp1bnppp/3bp3/3p4/3P4/2PQ1N2/PPB2PPP/RNB1K2R b KQ - 2 9""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""kingsideattack mate matein1 onemove opening""]
[ChapterName ""kingsideattack mate matein1 onemove opening""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""400""]
[RatingDeviation ""107""]
[Popularity ""90""]
[NbPlays ""336""]
[Themes ""kingsideattack mate matein1 onemove opening""]

9... a6 10. Qxh7# *"
09YeT,rnb1k2r/p2pppbp/6p1/qB2P3/3P4/2Q2N2/PP3PPP/R1B1K2R b KQkq - 0 10,a5b5 c3c8,400,111,77,707,hangingpiece mate matein1 onemove opening,https://lichess.org/yqTtx6BP/black#20,Caro-Kann_Defense Caro-Kann_Defense_Other_variations,Qxb5 Qxc8#,"[Event ""hangingpiece mate matein1 onemove opening""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""rnb1k2r/p2pppbp/6p1/qB2P3/3P4/2Q2N2/PP3PPP/R1B1K2R b KQkq - 0 10""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""hangingpiece mate matein1 onemove opening""]
[ChapterName ""hangingpiece mate matein1 onemove opening""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""400""]
[RatingDeviation ""111""]
[Popularity ""77""]
[NbPlays ""707""]
[Themes ""hangingpiece mate matein1 onemove opening""]

10... Qxb5 11. Qxc8# *"
0ok5e,rnbqkbnr/pp1pp2p/6Q1/4p3/3P4/3B4/PP3PPP/RNB1K1NR b KQkq - 0 8,h7g6 d3g6,422,96,85,1009,bodenmate mate matein1 onemove opening,https://lichess.org/AhCIDqSr/black#16,,hxg6 Bxg6#,"[Event ""bodenmate mate matein1 onemove opening""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""rnbqkbnr/pp1pp2p/6Q1/4p3/3P4/3B4/PP3PPP/RNB1K1NR b KQkq - 0 8""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""bodenmate mate matein1 onemove opening""]
[ChapterName ""bodenmate mate matein1 onemove opening""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""422""]
[RatingDeviation ""96""]
[Popularity ""85""]
[NbPlays ""1009""]
[Themes ""bodenmate mate matein1 onemove opening""]

8... hxg6 9. Bxg6# *"
0CILD,r1bq1rk1/1p3ppp/2n1pb2/p2p4/3P4/P1NQPN2/1P3PPP/1BR1K2R b K - 2 13,c6e7 d3h7,423,109,88,182,kingsideattack mate matein1 onemove opening,https://lichess.org/gCsrJ80E/black#26,Benoni_Defense Benoni_Defense_Old_Benoni,Ne7 Qxh7#,"[Event ""kingsideattack mate matein1 onemove opening""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r1bq1rk1/1p3ppp/2n1pb2/p2p4/3P4/P1NQPN2/1P3PPP/1BR1K2R b K - 2 13""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""kingsideattack mate matein1 onemove opening""]
[ChapterName ""kingsideattack mate matein1 onemove opening""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""423""]
[RatingDeviation ""109""]
[Popularity ""88""]
[NbPlays ""182""]
[Themes ""kingsideattack mate matein1 onemove opening""]

13... Ne7 14. Qxh7# *"
0oj7Q,rnb1k2r/1pp2pbp/p5p1/1N2q3/8/4BP2/PPPQ2PP/R3KB1R w KQkq - 0 12,e1c1 e5b2,424,116,92,871,master mate matein1 onemove opening queensideattack,https://lichess.org/JW4vCYjd#23,Philidor_Defense Philidor_Defense_Larsen_Variation,O-O-O Qxb2#,"[Event ""master mate matein1 onemove opening queensideattack""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""rnb1k2r/1pp2pbp/p5p1/1N2q3/8/4BP2/PPPQ2PP/R3KB1R w KQkq - 0 12""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""master mate matein1 onemove opening queensideattack""]
[ChapterName ""master mate matein1 onemove opening queensideattack""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""424""]
[RatingDeviation ""116""]
[Popularity ""92""]
[NbPlays ""871""]
[Themes ""master mate matein1 onemove opening queensideattack""]

12. O-O-O Qxb2# *"
0fhka,r2q1rk1/1p1nbpp1/p2p3p/P1pnP3/5P2/3Q4/1PB1N1PP/R1B2RK1 b - - 1 18,d5b4 d3h7,424,108,81,395,mate matein1 onemove opening,https://lichess.org/Ww7wafOu/black#36,Benoni_Defense Benoni_Defense_Kings_Pawn_Line,Nb4 Qh7#,"[Event ""mate matein1 onemove opening""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r2q1rk1/1p1nbpp1/p2p3p/P1pnP3/5P2/3Q4/1PB1N1PP/R1B2RK1 b - - 1 18""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""mate matein1 onemove opening""]
[ChapterName ""mate matein1 onemove opening""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""424""]
[RatingDeviation ""108""]
[Popularity ""81""]
[NbPlays ""395""]
[Themes ""mate matein1 onemove opening""]

18... Nb4 19. Qh7# *"
0Dwxm,r1bq1bkr/pp4pp/2n5/3Qp3/2Bp4/8/PPP2PPP/RNB2RK1 b - - 0 10,d8d5 c4d5 c8e6 d5e6,425,106,85,1216,doublebishopmate kingsideattack mate matein2 opening short,https://lichess.org/i7IBYHli/black#20,Sicilian_Defense Sicilian_Defense_Open,Qxd5 Bxd5+ Be6 Bxe6#,"[Event ""doublebishopmate kingsideattack mate matein2 opening short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r1bq1bkr/pp4pp/2n5/3Qp3/2Bp4/8/PPP2PPP/RNB2RK1 b - - 0 10""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""doublebishopmate kingsideattack mate matein2 opening short""]
[ChapterName ""doublebishopmate kingsideattack mate matein2 opening short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""425""]
[RatingDeviation ""106""]
[Popularity ""85""]
[NbPlays ""1216""]
[Themes ""doublebishopmate kingsideattack mate matein2 opening short""]

10... Qxd5 11. Bxd5+ Be6 12. Bxe6# *"
0HPRh,r1b2rk1/pp1nbpp1/1qn1p2p/3pP3/3P4/3Q1N2/PPB1NPPP/R1B2RK1 b - - 3 12,c6b4 d3h7,430,107,100,221,mate matein1 onemove opening,https://lichess.org/AR9S8Yui/black#24,French_Defense French_Defense_Paulsen_Variation,Nb4 Qh7#,"[Event ""mate matein1 onemove opening""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r1b2rk1/pp1nbpp1/1qn1p2p/3pP3/3P4/3Q1N2/PPB1NPPP/R1B2RK1 b - - 3 12""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""mate matein1 onemove opening""]
[ChapterName ""mate matein1 onemove opening""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""430""]
[RatingDeviation ""107""]
[Popularity ""100""]
[NbPlays ""221""]
[Themes ""mate matein1 onemove opening""]

12... Nb4 13. Qh7# *"
037ht,r1b1k1nr/pp2ppbp/2N1q1p1/2p5/8/1P3B2/PBP2P1P/RN1Q1K1R b kq - 5 12,g7b2 d1d8,440,100,57,181,mate matein1 onemove opening,https://lichess.org/fjv40lF6/black#24,,Bxb2 Qd8#,"[Event ""mate matein1 onemove opening""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r1b1k1nr/pp2ppbp/2N1q1p1/2p5/8/1P3B2/PBP2P1P/RN1Q1K1R b kq - 5 12""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""mate matein1 onemove opening""]
[ChapterName ""mate matein1 onemove opening""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""440""]
[RatingDeviation ""100""]
[Popularity ""57""]
[NbPlays ""181""]
[Themes ""mate matein1 onemove opening""]

12... Bxb2 13. Qd8# *"
