PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,SAN,PGN
0iEPY,2q4k/p5p1/5b1p/1Rp1p3/5p2/2PP1P2/P5K1/1R6 b - - 1 32,c8d8 b5b8 h8h7 b8d8,478,103,87,629,crushing endgame pin short,https://lichess.org/BWAgUAo6/black#64,,Qd8 Rb8 Kh7 Rxd8,"[Event ""crushing endgame pin short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""2q4k/p5p1/5b1p/1Rp1p3/5p2/2PP1P2/P5K1/1R6 b - - 1 32""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""crushing endgame pin short""]
[ChapterName ""crushing endgame pin short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""478""]
[RatingDeviation ""103""]
[Popularity ""87""]
[NbPlays ""629""]
[Themes ""crushing endgame pin short""]

32... Qd8 33. Rb8 Kh7 34. Rxd8 *"
0LUV7,r1b2rk1/ppp2Npp/2np4/6q1/2BP4/2P4P/PP4P1/RN2Q2K b - - 0 13,f8f7 e1e8,517,107,64,184,mate matein1 middlegame onemove pin,https://lichess.org/hHdnuOWK/black#26,Italian_Game Italian_Game_Classical_Variation,Rxf7 Qe8#,"[Event ""mate matein1 middlegame onemove pin""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r1b2rk1/ppp2Npp/2np4/6q1/2BP4/2P4P/PP4P1/RN2Q2K b - - 0 13""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""mate matein1 middlegame onemove pin""]
[ChapterName ""mate matein1 middlegame onemove pin""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""517""]
[RatingDeviation ""107""]
[Popularity ""64""]
[NbPlays ""184""]
[Themes ""mate matein1 middlegame onemove pin""]

13... Rxf7 14. Qe8# *"
0mfof,8/5kp1/2K3p1/2P5/6Pp/5P2/8/8 w - - 0 42,c6b7 h4h3 c5c6 h3h2 c6c7 h2h1q,551,103,92,618,advancedpawn crushing endgame long pawnendgame pin promotion,https://lichess.org/zWC5sRNe#83,,Kb7 h3 c6 h2 c7 h1=Q,"[Event ""advancedpawn crushing endgame long pawnendgame pin promotion""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/5kp1/2K3p1/2P5/6Pp/5P2/8/8 w - - 0 42""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advancedpawn crushing endgame long pawnendgame pin promotion""]
[ChapterName ""advancedpawn crushing endgame long pawnendgame pin promotion""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""551""]
[RatingDeviation ""103""]
[Popularity ""92""]
[NbPlays ""618""]
[Themes ""advancedpawn crushing endgame long pawnendgame pin promotion""]

42. Kb7 h3 43. c6 h2 44. c7 h1=Q *"
0oTuP,2krr3/pp3p1p/6p1/2p5/5P2/2PPR3/P5PP/4R1K1 b - - 4 19,f7f5 e3e8 d8e8 e1e8,556,97,64,84,crushing endgame pin rookendgame short,https://lichess.org/FORvruTT/black#38,,f5 Rxe8 Rxe8 Rxe8+,"[Event ""crushing endgame pin rookendgame short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""2krr3/pp3p1p/6p1/2p5/5P2/2PPR3/P5PP/4R1K1 b - - 4 19""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""crushing endgame pin rookendgame short""]
[ChapterName ""crushing endgame pin rookendgame short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""556""]
[RatingDeviation ""97""]
[Popularity ""64""]
[NbPlays ""84""]
[Themes ""crushing endgame pin rookendgame short""]

19... f5 20. Rxe8 Rxe8 21. Rxe8+ *"
0l5ff,5rk1/5Rpp/8/p1p5/P7/1B6/4q1P1/3R3K b - - 0 34,f8f7 d1d8 e2e8 d8e8,588,99,92,691,endgame mate matein2 pin short,https://lichess.org/HsAfZhD4/black#68,,Rxf7 Rd8+ Qe8 Rxe8#,"[Event ""endgame mate matein2 pin short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""5rk1/5Rpp/8/p1p5/P7/1B6/4q1P1/3R3K b - - 0 34""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame mate matein2 pin short""]
[ChapterName ""endgame mate matein2 pin short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""588""]
[RatingDeviation ""99""]
[Popularity ""92""]
[NbPlays ""691""]
[Themes ""endgame mate matein2 pin short""]

34... Rxf7 35. Rd8+ Qe8 36. Rxe8# *"
0XYVw,3Q4/pp6/k1p5/3p4/3P4/P1q1n3/1R6/K7 b - - 1 39,c3a3 b2a2 e3c2 a1b1 a3a2 b1a2,630,87,93,456,advantage endgame long pin,https://lichess.org/r83HqzbO/black#78,,Qxa3+ Ra2 Nc2+ Kb1 Qxa2+ Kxa2,"[Event ""advantage endgame long pin""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""3Q4/pp6/k1p5/3p4/3P4/P1q1n3/1R6/K7 b - - 1 39""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advantage endgame long pin""]
[ChapterName ""advantage endgame long pin""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""630""]
[RatingDeviation ""87""]
[Popularity ""93""]
[NbPlays ""456""]
[Themes ""advantage endgame long pin""]

39... Qxa3+ 40. Ra2 Nc2+ 41. Kb1 Qxa2+ 42. Kxa2 *"
0BQS5,2r3k1/1bQ2rpp/pn3q2/1p6/1P6/P3P3/B2R1PPP/3R2K1 b - - 0 25,c8c7 d2d8 f6d8 d1d8,661,87,97,703,kingsideattack mate matein2 middlegame pin short,https://lichess.org/HG3qMSII/black#50,,Rxc7 Rd8+ Qxd8 Rxd8#,"[Event ""kingsideattack mate matein2 middlegame pin short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""2r3k1/1bQ2rpp/pn3q2/1p6/1P6/P3P3/B2R1PPP/3R2K1 b - - 0 25""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""kingsideattack mate matein2 middlegame pin short""]
[ChapterName ""kingsideattack mate matein2 middlegame pin short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""661""]
[RatingDeviation ""87""]
[Popularity ""97""]
[NbPlays ""703""]
[Themes ""kingsideattack mate matein2 middlegame pin short""]

25... Rxc7 26. Rd8+ Qxd8 27. Rxd8# *"
0MqeM,7r/pQ3Npk/1b4bp/4r3/8/8/PP3qPP/R1B2RK1 w - - 0 25,f1f2 e5e1,672,80,98,331,master mate matein1 middlegame onemove pin,https://lichess.org/XSkmU8k5#49,,Rxf2 Re1#,"[Event ""master mate matein1 middlegame onemove pin""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""7r/pQ3Npk/1b4bp/4r3/8/8/PP3qPP/R1B2RK1 w - - 0 25""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""master mate matein1 middlegame onemove pin""]
[ChapterName ""master mate matein1 middlegame onemove pin""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""672""]
[RatingDeviation ""80""]
[Popularity ""98""]
[NbPlays ""331""]
[Themes ""master mate matein1 middlegame onemove pin""]

25. Rxf2 Re1# *"
0Z36k,r1bq1rk1/ppp3bp/2n3p1/5p2/4p2N/1QP1P1P1/PP1NBPP1/R3K2R b KQ - 3 13,g8h8 h4g6,674,89,90,482,kingsideattack mate matein1 middlegame onemove pin,https://lichess.org/vNOTpVP9/black#26,Indian_Defense Indian_Defense_Other_variations,Kh8 Nxg6#,"[Event ""kingsideattack mate matein1 middlegame onemove pin""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r1bq1rk1/ppp3bp/2n3p1/5p2/4p2N/1QP1P1P1/PP1NBPP1/R3K2R b KQ - 3 13""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""kingsideattack mate matein1 middlegame onemove pin""]
[ChapterName ""kingsideattack mate matein1 middlegame onemove pin""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""674""]
[RatingDeviation ""89""]
[Popularity ""90""]
[NbPlays ""482""]
[Themes ""kingsideattack mate matein1 middlegame onemove pin""]

13... Kh8 14. Nxg6# *"
0Cuip,r1b2rk1/2p2Qpp/p7/1p6/7q/1BPP3P/PP3nPb/RNB1RK2 b - - 0 17,f8f7 e1e8,686,82,100,393,mate matein1 middlegame onemove pin,https://lichess.org/J95iEpxB/black#34,Ruy_Lopez Ruy_Lopez_Marshall_Attack,Rxf7 Re8#,"[Event ""mate matein1 middlegame onemove pin""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r1b2rk1/2p2Qpp/p7/1p6/7q/1BPP3P/PP3nPb/RNB1RK2 b - - 0 17""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""mate matein1 middlegame onemove pin""]
[ChapterName ""mate matein1 middlegame onemove pin""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""686""]
[RatingDeviation ""82""]
[Popularity ""100""]
[NbPlays ""393""]
[Themes ""mate matein1 middlegame onemove pin""]

17... Rxf7 18. Re8# *"
