PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,SAN,PGN
0fulk,6k1/3q1p1p/p1p3p1/4P3/P7/1Pp5/2Q2PPP/6K1 w - - 0 26,c2c3 d7d1 c3e1 d1e1,400,110,81,408,endgame mate matein2 queenendgame short,https://lichess.org/Liajw1gd#51,,Qxc3 Qd1+ Qe1 Qxe1#,"[Event ""endgame mate matein2 queenendgame short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""6k1/3q1p1p/p1p3p1/4P3/P7/1Pp5/2Q2PPP/6K1 w - - 0 26""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame mate matein2 queenendgame short""]
[ChapterName ""endgame mate matein2 queenendgame short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""400""]
[RatingDeviation ""110""]
[Popularity ""81""]
[NbPlays ""408""]
[Themes ""endgame mate matein2 queenendgame short""]

26. Qxc3 Qd1+ 27. Qe1 Qxe1# *"
0Iy2A,7k/p1p4p/4p3/8/3qP3/1P1P4/2PK4/5Q2 b - - 0 38,d4e5 f1f8,400,108,78,535,endgame mate matein1 onemove queenendgame,https://lichess.org/uSGHuktX/black#76,,Qe5 Qf8#,"[Event ""endgame mate matein1 onemove queenendgame""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""7k/p1p4p/4p3/8/3qP3/1P1P4/2PK4/5Q2 b - - 0 38""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame mate matein1 onemove queenendgame""]
[ChapterName ""endgame mate matein1 onemove queenendgame""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""400""]
[RatingDeviation ""108""]
[Popularity ""78""]
[NbPlays ""535""]
[Themes ""endgame mate matein1 onemove queenendgame""]

38... Qe5 39. Qf8# *"
0GLNK,8/7p/2q4k/6p1/P4QP1/5p1K/7P/8 w - - 0 45,f4f3 c6f3,427,95,71,151,endgame hangingpiece mate matein1 onemove queenendgame,https://lichess.org/ux0OOOFc#89,,Qxf3 Qxf3#,"[Event ""endgame hangingpiece mate matein1 onemove queenendgame""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/7p/2q4k/6p1/P4QP1/5p1K/7P/8 w - - 0 45""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame hangingpiece mate matein1 onemove queenendgame""]
[ChapterName ""endgame hangingpiece mate matein1 onemove queenendgame""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""427""]
[RatingDeviation ""95""]
[Popularity ""71""]
[NbPlays ""151""]
[Themes ""endgame hangingpiece mate matein1 onemove queenendgame""]

45. Qxf3 Qxf3# *"
0btxn,5k2/pp1r4/2p2q1p/8/3P2Q1/2P3P1/PP5P/7K w - - 0 42,g4d7 f6f1,452,112,78,552,endgame mate matein1 onemove queenendgame,https://lichess.org/gSyedt2H#83,,Qxd7 Qf1#,"[Event ""endgame mate matein1 onemove queenendgame""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""5k2/pp1r4/2p2q1p/8/3P2Q1/2P3P1/PP5P/7K w - - 0 42""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame mate matein1 onemove queenendgame""]
[ChapterName ""endgame mate matein1 onemove queenendgame""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""452""]
[RatingDeviation ""112""]
[Popularity ""78""]
[NbPlays ""552""]
[Themes ""endgame mate matein1 onemove queenendgame""]

42. Qxd7 Qf1# *"
0eaiv,8/4Qpk1/4p1p1/1p2Pq1p/p2P1P1P/P5P1/1P5K/8 w - - 22 48,e7f6 f5f6 e5f6 g7f6,453,113,83,318,crushing endgame master queenendgame short,https://lichess.org/hwHHGY1z#95,,Qf6+ Qxf6 exf6+ Kxf6,"[Event ""crushing endgame master queenendgame short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/4Qpk1/4p1p1/1p2Pq1p/p2P1P1P/P5P1/1P5K/8 w - - 22 48""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""crushing endgame master queenendgame short""]
[ChapterName ""crushing endgame master queenendgame short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""453""]
[RatingDeviation ""113""]
[Popularity ""83""]
[NbPlays ""318""]
[Themes ""crushing endgame master queenendgame short""]

48. Qf6+ Qxf6 49. exf6+ Kxf6 *"
0QByk,8/1p3Qpk/p6p/5P2/1Kp3qP/8/PPP5/8 w - - 0 32,f7g6 g4g6 f5g6 h7g6,463,102,94,1322,crushing endgame queenendgame short,https://lichess.org/eJisCRbv#63,,Qg6+ Qxg6 fxg6+ Kxg6,"[Event ""crushing endgame queenendgame short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/1p3Qpk/p6p/5P2/1Kp3qP/8/PPP5/8 w - - 0 32""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""crushing endgame queenendgame short""]
[ChapterName ""crushing endgame queenendgame short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""463""]
[RatingDeviation ""102""]
[Popularity ""94""]
[NbPlays ""1322""]
[Themes ""crushing endgame queenendgame short""]

32. Qg6+ Qxg6 33. fxg6+ Kxg6 *"
09rxF,6k1/6pp/p1p2pq1/Pp1p4/3P4/3N1PP1/1P4P1/4Q1K1 b - - 0 33,g6d3 e1e8,471,108,82,326,endgame mate matein1 onemove queenendgame,https://lichess.org/lAwKN30k/black#66,,Qxd3 Qe8#,"[Event ""endgame mate matein1 onemove queenendgame""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""6k1/6pp/p1p2pq1/Pp1p4/3P4/3N1PP1/1P4P1/4Q1K1 b - - 0 33""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame mate matein1 onemove queenendgame""]
[ChapterName ""endgame mate matein1 onemove queenendgame""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""471""]
[RatingDeviation ""108""]
[Popularity ""82""]
[NbPlays ""326""]
[Themes ""endgame mate matein1 onemove queenendgame""]

33... Qxd3 34. Qe8# *"
0Hcqr,1Q6/8/5ppk/1p2p2p/4q2P/6P1/5P1K/8 b - - 1 37,e4b4 b8h8,474,92,100,216,endgame mate matein1 onemove queenendgame,https://lichess.org/k7FVxEF6/black#74,,Qb4 Qh8#,"[Event ""endgame mate matein1 onemove queenendgame""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""1Q6/8/5ppk/1p2p2p/4q2P/6P1/5P1K/8 b - - 1 37""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame mate matein1 onemove queenendgame""]
[ChapterName ""endgame mate matein1 onemove queenendgame""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""474""]
[RatingDeviation ""92""]
[Popularity ""100""]
[NbPlays ""216""]
[Themes ""endgame mate matein1 onemove queenendgame""]

37... Qb4 38. Qh8# *"
0K7LJ,8/2q2pk1/6p1/2pQ3p/4K2P/1P4P1/5P2/8 b - - 9 40,c7e7 d5e5 e7e5 e4e5,516,100,70,220,crushing endgame master queenendgame short,https://lichess.org/6UCNT1Up/black#80,,Qe7+ Qe5+ Qxe5+ Kxe5,"[Event ""crushing endgame master queenendgame short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/2q2pk1/6p1/2pQ3p/4K2P/1P4P1/5P2/8 b - - 9 40""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""crushing endgame master queenendgame short""]
[ChapterName ""crushing endgame master queenendgame short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""516""]
[RatingDeviation ""100""]
[Popularity ""70""]
[NbPlays ""220""]
[Themes ""crushing endgame master queenendgame short""]

40... Qe7+ 41. Qe5+ Qxe5+ 42. Kxe5 *"
0jXe3,8/7p/4p1p1/p2qPk2/5P2/4K1PP/8/8 b - - 2 39,a5a4 g3g4,517,103,94,640,endgame mate matein1 onemove queenendgame,https://lichess.org/K0yfVfse/black#78,,a4 g4#,"[Event ""endgame mate matein1 onemove queenendgame""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/7p/4p1p1/p2qPk2/5P2/4K1PP/8/8 b - - 2 39""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame mate matein1 onemove queenendgame""]
[ChapterName ""endgame mate matein1 onemove queenendgame""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""517""]
[RatingDeviation ""103""]
[Popularity ""94""]
[NbPlays ""640""]
[Themes ""endgame mate matein1 onemove queenendgame""]

39... a4 40. g4# *"
