PuzzleId,FEN,Moves,Rating,Themes,SAN
0WGKI,5rk1/p5p1/7p/P4r2/2P5/1Q2q3/4p1PP/4R1K1 w - - 0 34,b3e3 f5f1 e1f1 f8f1,400,endgame mate matein2 queenrookendgame short,Qxe3 Rf1+ Rxf1 Rxf1#
0BtyY,4r1k1/2Q2ppp/8/8/P1Pp4/3P4/2P1rPPP/R1R1q1K1 w - - 1 20,c1e1 e2e1 a1e1 e8e1,400,backrankmate endgame mate matein2 queenrookendgame short,Rxe1 Rxe1+ Rxe1 Rxe1#
0IrdQ,4r1k1/p4ppp/8/1Q6/3p4/8/P5PP/3Rq2K w - - 1 32,d1e1 e8e1 b5f1 e1f1,400,backrankmate endgame mate matein2 queenrookendgame short,Rxe1 Rxe1+ Qf1 Rxf1#
0J0jI,6k1/ppp2ppp/8/3p1q2/2Q5/8/P3r3/R1KR4 b - - 0 33,d5c4 d1d8 e2e8 d8e8,400,backrankmate endgame mate matein2 queenrookendgame short,dxc4 Rd8+ Re8 Rxe8#
0GZfK,6k1/pp4p1/5q2/8/8/6Q1/Pr4PP/5R1K w - - 0 38,f1f6 b2b1 g3e1 b1e1 f6f1 e1f1,400,backrankmate endgame long mate matein3 queenrookendgame,Rxf6 Rb1+ Qe1 Rxe1+ Rf1 Rxf1#
0FtRH,3r2k1/p1p4p/5pp1/8/4QP1R/P7/1PP3PP/7K w - - 1 33,e4e7 d8d1 e7e1 d1e1,400,backrankmate endgame mate matein2 queenrookendgame short,Qe7 Rd1+ Qe1 Rxe1#
0DyNg,r4r1k/pp4pp/2p1Q3/3p4/8/8/PP4PP/R4q1K w - - 0 23,a1f1 f8f1,400,backrankmate endgame mate matein1 onemove queenrookendgame,Rxf1 Rxf1#
0DR2H,r4k2/2Q3pp/4p3/3pP3/8/8/5PPP/1R4K1 w - - 7 33,b1b7 a8a1 b7b1 a1b1 c7c1 b1c1,400,backrankmate endgame long mate matein3 queenrookendgame,Rb7 Ra1+ Rb1 Rxb1+ Qc1 Rxc1#
0ihM3,6k1/5r1p/p4r1P/P7/8/8/3Q2PK/8 b - - 2 56,g8f8 d2d8,400,endgame mate matein1 onemove queenrookendgame,Kf8 Qd8#
0PneM,6k1/3Q1ppp/3qp3/8/3P4/6P1/P3PP1P/1R4K1 b - - 0 27,d6d7 b1b8 d7c8 b8c8,405,backrankmate endgame mate matein2 queenrookendgame short,Qxd7 Rb8+ Qc8 Rxc8#
03tCw,4r2k/3Q2pp/2pq2p1/p3p3/Pp1pP3/1P1P1R2/2P5/1K3R2 b - - 1 34,d6d7 f3f8 e8f8 f1f8,415,backrankmate endgame mate matein2 queenrookendgame short,Qxd7 Rf8+ Rxf8 Rxf8#
0nD05,3Q1r1k/1p4pp/pq6/8/5P2/1P3P2/P2RP2P/3R3K b - - 0 33,f8d8 d2d8 b6d8 d1d8,415,backrankmate endgame mate matein2 queenrookendgame short,Rxd8 Rxd8+ Qxd8 Rxd8#
0OYom,7k/6pp/1p6/4r3/1PK5/2PR4/rq5P/8 b - - 13 43,a2a3 d3d8 e5e8 d8e8,418,backrankmate endgame mate matein2 queenrookendgame short,Ra3 Rd8+ Re8 Rxe8#
