PuzzleId,FEN,Moves,Rating,Themes,SAN
0ZC5D,2r3k1/1b5p/p2p2pP/2nP1pP1/1Q3P2/5q2/PPP5/1K1RR3 w - - 3 27,e1e7 f3d1,405,hangingpiece mate matein1 middlegame onemove queensideattack,Re7 Qxd1#
0oj7Q,rnb1k2r/1pp2pbp/p5p1/1N2q3/8/4BP2/PPPQ2PP/R3KB1R w KQkq - 0 12,e1c1 e5b2,424,master mate matein1 onemove opening queensideattack,O-O-O Qxb2#
0pSuJ,2kr3r/1pNb1pp1/p2bq3/P3n3/4PB2/7p/1PQ2PPP/2R2RK1 b - - 0 18,d6c7 c2c7,427,mate matein1 middlegame onemove queensideattack,Bxc7 Qxc7#
0RPmG,rn2k2r/ppq2pp1/4p1b1/3pP3/6P1/2N4P/PPPBQ3/2KR3R w kq - 0 17,c3b5 c7c2,437,mate matein1 middlegame onemove queensideattack,Nb5 Qxc2#
0DLdy,k1r5/pp4p1/4q2p/n2pP3/1P4P1/4Q2P/P4B2/4R2K b - - 4 35,a5c4 e3a7,439,endgame mate matein1 onemove queensideattack,Nc4 Qxa7#
0Cri9,1k6/ppp4B/2np2p1/4p2b/1P2P3/1QP4P/PN4PK/4q3 b - - 1 26,e1e4 b3g8 c6d8 g8d8,448,endgame mate matein2 queensideattack short,Qxe4 Qg8+ Nd8 Qxd8#
0CJDS,r3kr2/1pp2p1p/p3bq1p/4p3/PP6/2Q5/3N1PPP/2R1R1K1 b q - 2 19,e8c8 c3c7,453,mate matein1 middlegame onemove queensideattack,O-O-O Qxc7#
0mLaS,k2Q2r1/pp4q1/2p5/7p/4p1p1/P1N1B2P/1PP2PP1/3R2K1 b - - 2 28,g8d8 d1d8,457,endgame mate matein1 onemove queensideattack,Rxd8 Rxd8#
0T7hj,2krr3/ppp1b2p/2n1b1n1/3q4/3p4/1P1P1NBp/P1Q1NPP1/1K1R1B1R b - - 3 22,c6b4 c2c7,460,master mate matein1 middlegame onemove queensideattack,Nb4 Qxc7#
0iH9m,2r1k2r/3p1pp1/b1q1p2p/2B5/1Q5R/3P1PP1/PPP3P1/2KR4 w k - 3 25,c5d4 c6c2,461,mate matein1 middlegame onemove queensideattack,Bd4 Qxc2#
0BgEX,2kr3r/pppqnb2/3p4/5ppp/2PP4/1P3QP1/PB3PBP/R4RK1 b - - 1 16,h5h4 f3b7,463,mate matein1 middlegame onemove queensideattack,h4 Qxb7#
0cWb7,2kr1b1r/qpp2p2/pn2p1p1/B6p/2PPPQ2/7P/PP2N1P1/1K1R3R b - - 1 23,b6c4 f4c7,469,mate matein1 middlegame onemove queensideattack,Nxc4 Qxc7#
0hW6g,7k/p3Q1pp/8/6P1/6qP/2Np4/PP1B4/R1K2rNR w - - 4 24,c3d1 g4d1,474,mate matein1 middlegame onemove queensideattack,Nd1 Qxd1#
038Ql,r5k1/q4p1p/r2p4/3QpPb1/4P3/1N3P2/1PP4P/2KRR3 w - - 1 26,c1b1 a6a1 b3a1 a7a1,475,mate matein2 middlegame queensideattack sacrifice short,Kb1 Ra1+ Nxa1 Qxa1#
0ntDC,k1r4r/p4pp1/2N3p1/3P4/Q3p3/b2nPq1P/P2K1P2/R4R2 b - - 3 28,a3d6 a4a7,475,master mate matein1 middlegame onemove queensideattack,Bd6 Qxa7#
03WUg,2kr3r/pppB1pb1/4p2p/4n1p1/2QP4/6Bq/PPP2P1P/2KR2R1 b - - 0 16,e5d7 c4c7,484,mate matein1 middlegame onemove queensideattack,Nxd7 Qxc7#
0CCZq,r1b2rk1/p4pp1/1qp1p2p/4N1b1/3P3P/p5Q1/1BP2PP1/1K1R1B1R w - - 0 19,h4g5 b6b2,489,mate matein1 middlegame onemove queensideattack,hxg5 Qxb2#
04gq1,2k2r2/pppn2p1/3b4/6n1/3P2q1/2P5/PP2R3/RN1KQ3 b - - 6 28,g5f3 e2e8 f8e8 e1e8,497,mate matein2 middlegame queensideattack short,Nf3 Re8+ Rxe8 Qxe8#
0YT6t,5r1k/4bnpp/3p1p2/q3pP2/p1PpP2P/Pp1P1Q2/1P1N1P2/1K4RR w - - 1 27,d2f1 a5e1 f3d1 e1d1,502,mate matein2 middlegame queensideattack short,Nf1 Qe1+ Qd1 Qxd1#
