PuzzleId,FEN,Moves,Rating,Themes,SAN
0ipIy,8/1p5p/8/8/5P2/1k6/4K3/8 b - - 0 44,b3a3 f4f5 a3b4 f5f6 b4c5 f6f7,407,advancedpawn crushing endgame long pawnendgame quietmove,Ka3 f5 Kb4 f6 Kc5 f7
06fWI,8/8/p5K1/1p6/1k5P/8/8/8 b - - 1 57,a6a5 h4h5 b4a4 h5h6 b5b4 h6h7 b4b3 h7h8q,416,advancedpawn crushing endgame pawnendgame promotion quietmove verylong,a5 h5 Ka4 h6 b4 h7 b3 h8=Q
0CezA,8/8/6K1/1p3p2/5P2/k5P1/8/8 w - - 0 52,g6f5 b5b4 f5e5 b4b3 f4f5 b3b2 f5f6 b2b1q,432,advancedpawn crushing endgame master pawnendgame promotion quietmove verylong,Kxf5 b4 Ke5 b3 f5 b2 f6 b1=Q
0ZEoA,8/8/6p1/K5Pp/1P5k/8/8/8 b - - 0 57,h4g3 b4b5 h5h4 b5b6 g3g2 b6b7 h4h3 b7b8q,433,advancedpawn crushing endgame pawnendgame promotion quietmove verylong,Kg3 b5 h4 b6 Kg2 b7 h3 b8=Q
0mxjS,8/8/p7/6K1/2k4P/1p6/1P6/8 b - - 1 46,c4d3 h4h5 d3c2 h5h6 c2b2 h6h7 b2c2 h7h8q,434,advancedpawn crushing endgame pawnendgame promotion quietmove verylong,Kd3 h5 Kc2 h6 Kxb2 h7 Kc2 h8=Q
0FanP,8/8/K5p1/7p/1P4kP/8/8/8 b - - 0 49,g4h4 b4b5 g6g5 b5b6 g5g4 b6b7 g4g3 b7b8q,443,advancedpawn crushing endgame pawnendgame promotion quietmove verylong,Kxh4 b5 g5 b6 g4 b7 g3 b8=Q
0eQlI,8/2p5/p5K1/1p6/1P5P/k7/8/8 b - - 0 47,a3b4 h4h5 b4c5 h5h6 b5b4 h6h7 b4b3 h7h8q,466,advancedpawn crushing endgame pawnendgame promotion quietmove verylong,Kxb4 h5 Kc5 h6 b4 h7 b3 h8=Q
0QSVr,8/8/p5K1/1p6/1k5P/8/8/8 b - - 1 41,a6a5 h4h5 b4a4 h5h6 b5b4 h6h7,470,advancedpawn crushing endgame long pawnendgame quietmove,a5 h5 Ka4 h6 b4 h7
0hGmm,8/8/1K6/5k1p/1P6/8/8/8 w - - 0 64,b6c6 h5h4 c6c7 h4h3 b4b5 h3h2 b5b6 h2h1q,476,advancedpawn crushing endgame pawnendgame promotion quietmove verylong,Kc6 h4 Kc7 h3 b5 h2 b6 h1=Q
0kPJE,8/8/8/p7/2p5/2P5/1k1KN3/8 w - - 2 58,e2g3 a5a4 g3e4 a4a3,480,crushing endgame knightendgame quietmove short,Ng3 a4 Ne4 a3
0gLiO,8/8/6k1/1p6/5K2/7P/8/8 w - - 2 65,f4g4 b5b4 g4f3 b4b3 f3e4 b3b2,482,advancedpawn crushing endgame long master mastervsmaster pawnendgame quietmove,Kg4 b4 Kf3 b3 Ke4 b2
01ujj,8/K7/8/6kp/8/8/P7/8 w - - 0 46,a7b7 h5h4 a2a4 h4h3 a4a5 h3h2 b7b8 h2h1q,485,advancedpawn crushing endgame pawnendgame promotion quietmove verylong,Kb7 h4 a4 h3 a5 h2 Kb8 h1=Q
0C01k,8/8/4p3/3kPpK1/7P/8/8/8 b - - 2 63,d5e5 h4h5 f5f4 h5h6 f4f3 h6h7,496,advancedpawn crushing endgame long master pawnendgame quietmove,Kxe5 h5 f4 h6 f3 h7
0dJks,8/8/7p/6p1/P1K3k1/8/8/8 b - - 0 48,h6h5 a4a5 g4h4 a5a6 g5g4 a6a7 g4g3 a7a8q,499,advancedpawn crushing endgame pawnendgame promotion quietmove verylong,h5 a5 Kh4 a6 g4 a7 g3 a8=Q
06yGB,8/8/1p6/6K1/1k6/7P/8/8 b - - 1 62,b4c3 h3h4 b6b5 h4h5 b5b4 h5h6 b4b3 h6h7 c3c2 h7h8q,504,advancedpawn crushing endgame pawnendgame promotion quietmove verylong,Kc3 h4 b5 h5 b4 h6 b3 h7 Kc2 h8=Q
0OGFD,8/8/1p6/8/6K1/2k3P1/8/8 w - - 1 52,g4f5 b6b5 g3g4 b5b4 g4g5 b4b3,504,crushing endgame long pawnendgame quietmove,Kf5 b5 g4 b4 g5 b3
0hAWh,8/6p1/2K5/8/8/1P4k1/8/8 b - - 0 52,g3f4 b3b4 g7g5 b4b5 g5g4 b5b6 g4g3 b6b7,507,advancedpawn crushing endgame master pawnendgame quietmove verylong,Kf4 b4 g5 b5 g4 b6 g3 b7
04TL9,8/8/4K1p1/p5P1/4P3/8/4k3/8 w - - 0 57,e6f6 a5a4 e4e5 a4a3 f6f7 a3a2 e5e6 a2a1q,527,advancedpawn crushing endgame pawnendgame promotion quietmove verylong,Kf6 a4 e5 a3 Kf7 a2 e6 a1=Q
0Y9nv,8/8/K7/7p/P5k1/8/8/8 w - - 0 53,a6b6 h5h4 b6c7 h4h3 a4a5 h3h2 a5a6 h2h1q,533,advancedpawn crushing endgame pawnendgame promotion quietmove verylong,Kb6 h4 Kc7 h3 a5 h2 a6 h1=Q
05icJ,8/8/8/6p1/PK6/8/6k1/8 b - - 0 61,g2f3 a4a5 g5g4 a5a6 f3f2 a6a7 g4g3 a7a8q,535,advancedpawn crushing endgame master pawnendgame promotion quietmove verylong,Kf3 a5 g4 a6 Kf2 a7 g3 a8=Q
0cFsU,8/8/8/8/n1p4P/5kP1/2K5/8 b - - 0 53,f3g3 h4h5 a4b6 h5h6,542,crushing endgame knightendgame quietmove short,Kxg3 h5 Nb6 h6
