PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,SAN,PGN
0Ltl9,8/8/6k1/2R5/2p2pP1/5P1K/5r2/8 w - - 2 50,h3h4 f2h2,399,107,98,703,endgame master mate matein1 onemove rookendgame,https://lichess.org/le1dYU9M#99,,Kh4 Rh2#,"[Event ""endgame master mate matein1 onemove rookendgame""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/8/6k1/2R5/2p2pP1/5P1K/5r2/8 w - - 2 50""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame master mate matein1 onemove rookendgame""]
[ChapterName ""endgame master mate matein1 onemove rookendgame""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""399""]
[RatingDeviation ""107""]
[Popularity ""98""]
[NbPlays ""703""]
[Themes ""endgame master mate matein1 onemove rookendgame""]

50. Kh4 Rh2# *"
0Fqt9,3r2k1/p4p1p/1p2p1p1/4P3/2p1q3/2P5/PP3PPP/4R1K1 w - - 0 22,e1e4 d8d1 e4e1 d1e1,399,92,100,142,backrankmate endgame mate matein2 rookendgame short,https://lichess.org/UeeEx1Tt#43,,Rxe4 Rd1+ Re1 Rxe1#,"[Event ""backrankmate endgame mate matein2 rookendgame short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""3r2k1/p4p1p/1p2p1p1/4P3/2p1q3/2P5/PP3PPP/4R1K1 w - - 0 22""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""backrankmate endgame mate matein2 rookendgame short""]
[ChapterName ""backrankmate endgame mate matein2 rookendgame short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""399""]
[RatingDeviation ""92""]
[Popularity ""100""]
[NbPlays ""142""]
[Themes ""backrankmate endgame mate matein2 rookendgame short""]

22. Rxe4 Rd1+ 23. Re1 Rxe1# *"
06w7m,1r2R1k1/p4ppp/1p6/3r1p2/P2P4/2P1R3/1P4PP/6K1 b - - 1 30,b8e8 e3e8,399,107,100,225,backrankmate endgame mate matein1 onemove rookendgame,https://lichess.org/0db7yzZ3/black#60,,Rxe8 Rxe8#,"[Event ""backrankmate endgame mate matein1 onemove rookendgame""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""1r2R1k1/p4ppp/1p6/3r1p2/P2P4/2P1R3/1P4PP/6K1 b - - 1 30""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""backrankmate endgame mate matein1 onemove rookendgame""]
[ChapterName ""backrankmate endgame mate matein1 onemove rookendgame""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""399""]
[RatingDeviation ""107""]
[Popularity ""100""]
[NbPlays ""225""]
[Themes ""backrankmate endgame mate matein1 onemove rookendgame""]

30... Rxe8 31. Rxe8# *"
0OSpq,6k1/1p2Rppp/1p3p2/8/2Pr4/1P6/P2Q1PPP/6K1 b - - 0 23,d4d2 e7e8,399,105,100,311,backrankmate endgame mate matein1 onemove rookendgame,https://lichess.org/Z0PudNH0/black#46,,Rxd2 Re8#,"[Event ""backrankmate endgame mate matein1 onemove rookendgame""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""6k1/1p2Rppp/1p3p2/8/2Pr4/1P6/P2Q1PPP/6K1 b - - 0 23""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""backrankmate endgame mate matein1 onemove rookendgame""]
[ChapterName ""backrankmate endgame mate matein1 onemove rookendgame""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""399""]
[RatingDeviation ""105""]
[Popularity ""100""]
[NbPlays ""311""]
[Themes ""backrankmate endgame mate matein1 onemove rookendgame""]

23... Rxd2 24. Re8# *"
07qIe,4rk2/ppp1rp1p/6p1/5Q2/3p4/P2P2R1/KPP5/6R1 b - - 0 25,g6f5 g3g8,399,114,93,584,endgame mate matein1 onemove rookendgame,https://lichess.org/SBePwdKa/black#50,,gxf5 Rg8#,"[Event ""endgame mate matein1 onemove rookendgame""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""4rk2/ppp1rp1p/6p1/5Q2/3p4/P2P2R1/KPP5/6R1 b - - 0 25""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame mate matein1 onemove rookendgame""]
[ChapterName ""endgame mate matein1 onemove rookendgame""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""399""]
[RatingDeviation ""114""]
[Popularity ""93""]
[NbPlays ""584""]
[Themes ""endgame mate matein1 onemove rookendgame""]

25... gxf5 26. Rg8# *"
0AGuG,8/6pk/p6p/1p6/8/2Pq1P2/PP2r1PP/K2R4 w - - 0 38,d1d3 e2e1 d3d1 e1d1,399,111,94,590,backrankmate endgame mate matein2 rookendgame short,https://lichess.org/N8sItbVv#75,,Rxd3 Re1+ Rd1 Rxd1#,"[Event ""backrankmate endgame mate matein2 rookendgame short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/6pk/p6p/1p6/8/2Pq1P2/PP2r1PP/K2R4 w - - 0 38""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""backrankmate endgame mate matein2 rookendgame short""]
[ChapterName ""backrankmate endgame mate matein2 rookendgame short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""399""]
[RatingDeviation ""111""]
[Popularity ""94""]
[NbPlays ""590""]
[Themes ""backrankmate endgame mate matein2 rookendgame short""]

38. Rxd3 Re1+ 39. Rd1 Rxd1# *"
01ZiW,8/8/R7/5k2/3r3p/6pP/6P1/6K1 w - - 4 70,a6a7 d4d1,400,105,85,198,endgame mate matein1 onemove rookendgame,https://lichess.org/mfROm9c6#139,,Ra7 Rd1#,"[Event ""endgame mate matein1 onemove rookendgame""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/8/R7/5k2/3r3p/6pP/6P1/6K1 w - - 4 70""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame mate matein1 onemove rookendgame""]
[ChapterName ""endgame mate matein1 onemove rookendgame""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""400""]
[RatingDeviation ""105""]
[Popularity ""85""]
[NbPlays ""198""]
[Themes ""endgame mate matein1 onemove rookendgame""]

70. Ra7 Rd1# *"
0keTL,2k5/p4p1R/2Kp4/1p6/3R2r1/6r1/P5P1/8 b - - 0 30,g4d4 h7h8 g3g8 h8g8,400,107,96,1293,endgame mate matein2 rookendgame short,https://lichess.org/patHRMrX/black#60,,Rxd4 Rh8+ Rg8 Rxg8#,"[Event ""endgame mate matein2 rookendgame short""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""2k5/p4p1R/2Kp4/1p6/3R2r1/6r1/P5P1/8 b - - 0 30""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame mate matein2 rookendgame short""]
[ChapterName ""endgame mate matein2 rookendgame short""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""400""]
[RatingDeviation ""107""]
[Popularity ""96""]
[NbPlays ""1293""]
[Themes ""endgame mate matein2 rookendgame short""]

30... Rxd4 31. Rh8+ Rg8 32. Rxg8# *"
0b3rh,3k4/1p1r3r/R1pP1p2/P1P2p2/4pP2/4P1Pp/5K1P/1R6 b - - 0 33,b7a6 b1b8,400,103,62,190,endgame mate matein1 onemove rookendgame,https://lichess.org/fgRCBHyb/black#66,,bxa6 Rb8#,"[Event ""endgame mate matein1 onemove rookendgame""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""3k4/1p1r3r/R1pP1p2/P1P2p2/4pP2/4P1Pp/5K1P/1R6 b - - 0 33""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame mate matein1 onemove rookendgame""]
[ChapterName ""endgame mate matein1 onemove rookendgame""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""400""]
[RatingDeviation ""103""]
[Popularity ""62""]
[NbPlays ""190""]
[Themes ""endgame mate matein1 onemove rookendgame""]

33... bxa6 34. Rb8# *"
09HbA,1r4k1/5p1p/1R3Pp1/1p6/8/7P/6P1/3R2K1 b - - 0 31,b8b6 d1d8,400,95,74,286,endgame mate matein1 onemove rookendgame,https://lichess.org/vkxkONWy/black#62,,Rxb6 Rd8#,"[Event ""endgame mate matein1 onemove rookendgame""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""1r4k1/5p1p/1R3Pp1/1p6/8/7P/6P1/3R2K1 b - - 0 31""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame mate matein1 onemove rookendgame""]
[ChapterName ""endgame mate matein1 onemove rookendgame""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""400""]
[RatingDeviation ""95""]
[Popularity ""74""]
[NbPlays ""286""]
[Themes ""endgame mate matein1 onemove rookendgame""]

31... Rxb6 32. Rd8# *"
