PuzzleId,FEN,Moves,Rating,Themes,SAN
0hKEa,5k2/4n1p1/p1p4p/2P5/R3P3/8/1r3P1P/4K1R1 w - - 0 30,a4a6 b2b1 e1e2 b1g1,576,crushing endgame short skewer,Rxa6 Rb1+ Ke2 Rxg1
0ocrw,8/2pk4/2p5/7r/1P6/2P5/5P2/2R2K2 w - - 8 46,f2f3 h5h1 f1e2 h1c1,576,crushing endgame master rookendgame short skewer,f3 Rh1+ Ke2 Rxc1
0ksjr,8/4k2r/p2p4/2pPb3/P1P1Kp1P/1R6/r7/4B2R b - - 2 40,a2a4 b3b7 e7f6 b7h7,595,crushing endgame master mastervsmaster short skewer,Rxa4 Rb7+ Kf6 Rxh7
0P56F,4r3/p7/1ppk4/3p4/PP6/2P1p3/2K5/4R3 b - - 2 39,d6e5 e1e3 e5d6 e3e8,600,crushing endgame master rookendgame short skewer,Ke5 Rxe3+ Kd6 Rxe8
0lF9z,7R/5p2/4rk2/8/5K2/8/8/8 b - - 15 67,e6b6 h8h6 f6e7 h6b6,600,crushing endgame rookendgame short skewer,Rb6 Rh6+ Ke7 Rxb6
0oyVp,2k5/1pp2p2/p5p1/8/P2N3p/2B5/3P3r/R3K3 w - - 0 28,a1c1 h2h1 e1f2 h1c1,606,crushing endgame short skewer,Rc1 Rh1+ Kf2 Rxc1
0O0oS,8/8/5pk1/1r6/4P1K1/5P2/8/3R4 w - - 18 62,d1g1 b5g5 g4f4 g5g1,609,crushing endgame master rookendgame short skewer,Rg1 Rg5+ Kf4 Rxg1
0TehT,8/4r3/8/8/1K6/5k2/1R6/8 b - - 2 65,f3e4 b2e2 e4f5 e2e7,612,crushing endgame master rookendgame short skewer,Ke4 Re2+ Kf5 Rxe7
0Mgua,5kr1/1pp2p2/p7/2P5/1P1R3R/5P2/1P4r1/5K2 b - - 1 46,g2b2 d4d8 f8e7 d8g8,614,crushing deflection endgame rookendgame short skewer,Rxb2 Rd8+ Ke7 Rxg8
03fGd,r4k2/p6R/1p3pp1/1Pp5/P5np/1K6/2P5/2B5 b - - 1 41,g6g5 h7h8 f8e7 h8a8,615,advantage endgame short skewer,g5 Rh8+ Ke7 Rxa8
0Kygw,6r1/1p3k2/pPp1p2p/P1Pp1pP1/3P1P1b/4B2P/R3K3/8 w - - 2 42,g5h6 g8g2 e2d3 g2a2,617,crushing endgame short skewer,gxh6 Rg2+ Kd3 Rxa2
0b4FH,7R/8/3k4/8/1pP2P1p/1P5K/r7/8 w - - 0 45,h3h4 a2h2 h4g3 h2h8,617,crushing endgame rookendgame short skewer,Kxh4 Rh2+ Kg3 Rxh8
0jlPV,1k6/2p5/1p1p1p2/p7/P2Np2r/2P5/4PP2/R4K2 w - - 0 34,e2e3 h4h1 f1g2 h1a1,625,crushing endgame master short skewer,e3 Rh1+ Kg2 Rxa1
0ErbV,6r1/2R1kp2/4p2p/pp2P3/5P2/1P1n3P/P7/5K2 b - - 5 32,e7e8 c7c8 e8d7 c8g8,630,advantage endgame short skewer,Ke8 Rc8+ Kd7 Rxg8
0695y,8/8/8/2k5/r7/2K3R1/8/8 w - - 30 65,c3d3 a4a3 d3e4 a3g3,633,crushing endgame master rookendgame short skewer,Kd3 Ra3+ Ke4 Rxg3
08yjS,8/1p6/pPr1k3/4p1pR/6P1/6K1/8/8 b - - 5 45,c6b6 h5h6 e6d7 h6b6,635,crushing endgame master rookendgame short skewer,Rxb6 Rh6+ Kd7 Rxb6
