PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,SAN,PGN
0DhAU,r5Qk/p1p3pp/1p1q1n2/n3r1N1/8/8/PPPP1PPP/R1B2RK1 b - - 2 18,f6g8 g5f7,467,108,95,1016,mate matein1 middlegame onemove smotheredmate,https://lichess.org/tbUjhSth/black#36,Italian_Game Italian_Game_Two_Knights_Defense,Nxg8 Nf7#,"[Event ""mate matein1 middlegame onemove smotheredmate""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r5Qk/p1p3pp/1p1q1n2/n3r1N1/8/8/PPPP1PPP/R1B2RK1 b - - 2 18""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""mate matein1 middlegame onemove smotheredmate""]
[ChapterName ""mate matein1 middlegame onemove smotheredmate""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""467""]
[RatingDeviation ""108""]
[Popularity ""95""]
[NbPlays ""1016""]
[Themes ""mate matein1 middlegame onemove smotheredmate""]

18... Nxg8 19. Nf7# *"
0mUwL,r1b2rQk/pp1n2bp/1q1N2p1/2p1P3/4pP2/8/PP2N1PP/R1B2RK1 b - - 5 17,f8g8 d6f7,579,100,91,1235,mate matein1 middlegame onemove smotheredmate,https://lichess.org/n5Kpfz2k/black#34,Modern_Defense Modern_Defense_Other_variations,Rxg8 Nf7#,"[Event ""mate matein1 middlegame onemove smotheredmate""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r1b2rQk/pp1n2bp/1q1N2p1/2p1P3/4pP2/8/PP2N1PP/R1B2RK1 b - - 5 17""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""mate matein1 middlegame onemove smotheredmate""]
[ChapterName ""mate matein1 middlegame onemove smotheredmate""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""579""]
[RatingDeviation ""100""]
[Popularity ""91""]
[NbPlays ""1235""]
[Themes ""mate matein1 middlegame onemove smotheredmate""]

17... Rxg8 18. Nf7# *"
0DMIm,r3r1Qk/1p1qb1pp/p1np1n2/6N1/8/P1N5/BP3PPP/R1B3K1 b - - 4 19,e8g8 g5f7,640,79,98,412,mate matein1 middlegame onemove smotheredmate,https://lichess.org/IikHwy53/black#38,,Rxg8 Nf7#,"[Event ""mate matein1 middlegame onemove smotheredmate""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r3r1Qk/1p1qb1pp/p1np1n2/6N1/8/P1N5/BP3PPP/R1B3K1 b - - 4 19""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""mate matein1 middlegame onemove smotheredmate""]
[ChapterName ""mate matein1 middlegame onemove smotheredmate""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""640""]
[RatingDeviation ""79""]
[Popularity ""98""]
[NbPlays ""412""]
[Themes ""mate matein1 middlegame onemove smotheredmate""]

19... Rxg8 20. Nf7# *"
0IvgN,r2r2Qk/1p4bp/2b3pN/2P4q/1P2R3/P4pP1/5P1P/2R2BK1 b - - 7 29,d8g8 h6f7,645,97,68,332,master mate matein1 middlegame onemove smotheredmate,https://lichess.org/JLCMGGD4/black#58,,Rxg8 Nf7#,"[Event ""master mate matein1 middlegame onemove smotheredmate""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r2r2Qk/1p4bp/2b3pN/2P4q/1P2R3/P4pP1/5P1P/2R2BK1 b - - 7 29""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""master mate matein1 middlegame onemove smotheredmate""]
[ChapterName ""master mate matein1 middlegame onemove smotheredmate""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""645""]
[RatingDeviation ""97""]
[Popularity ""68""]
[NbPlays ""332""]
[Themes ""master mate matein1 middlegame onemove smotheredmate""]

29... Rxg8 30. Nf7# *"
0HwlA,8/5ppk/2Q3bp/8/P2P4/5P1n/6PP/3R2qK w - - 5 32,d1g1 h3f2,651,92,89,639,endgame mate matein1 onemove smotheredmate,https://lichess.org/UVdr0XHT#63,,Rxg1 Nf2#,"[Event ""endgame mate matein1 onemove smotheredmate""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/5ppk/2Q3bp/8/P2P4/5P1n/6PP/3R2qK w - - 5 32""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame mate matein1 onemove smotheredmate""]
[ChapterName ""endgame mate matein1 onemove smotheredmate""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""651""]
[RatingDeviation ""92""]
[Popularity ""89""]
[NbPlays ""639""]
[Themes ""endgame mate matein1 onemove smotheredmate""]

32. Rxg1 Nf2# *"
0Aqug,7k/p5rp/P1b2p2/1p2p3/2p5/B1PnqN2/5PPP/R5RK w - - 0 30,f2e3 d3f2,655,91,86,264,mate matein1 middlegame onemove smotheredmate,https://lichess.org/BJlzM5ZI#59,,fxe3 Nf2#,"[Event ""mate matein1 middlegame onemove smotheredmate""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""7k/p5rp/P1b2p2/1p2p3/2p5/B1PnqN2/5PPP/R5RK w - - 0 30""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""mate matein1 middlegame onemove smotheredmate""]
[ChapterName ""mate matein1 middlegame onemove smotheredmate""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""655""]
[RatingDeviation ""91""]
[Popularity ""86""]
[NbPlays ""264""]
[Themes ""mate matein1 middlegame onemove smotheredmate""]

30. fxe3 Nf2# *"
0R0hX,r1bR1rnk/ppp3bp/6pN/2n2p2/4p3/2N3P1/PP2PPBP/R1B3K1 b - - 0 16,f8d8 h6f7,658,91,86,1082,mate matein1 middlegame onemove smotheredmate,https://lichess.org/ehSaCuF8/black#32,English_Opening English_Opening_Anglo-Dutch_Defense,Rxd8 Nf7#,"[Event ""mate matein1 middlegame onemove smotheredmate""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r1bR1rnk/ppp3bp/6pN/2n2p2/4p3/2N3P1/PP2PPBP/R1B3K1 b - - 0 16""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""mate matein1 middlegame onemove smotheredmate""]
[ChapterName ""mate matein1 middlegame onemove smotheredmate""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""658""]
[RatingDeviation ""91""]
[Popularity ""86""]
[NbPlays ""1082""]
[Themes ""mate matein1 middlegame onemove smotheredmate""]

16... Rxd8 17. Nf7# *"
0jnMB,1r4nk/1p4bp/p1rNP3/P7/2p1p1p1/1Q4P1/1PP5/2KR2BR b - - 0 35,c4b3 d6f7,670,104,81,427,master mate matein1 middlegame onemove smotheredmate,https://lichess.org/koaza2Ha/black#70,,cxb3 Nf7#,"[Event ""master mate matein1 middlegame onemove smotheredmate""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""1r4nk/1p4bp/p1rNP3/P7/2p1p1p1/1Q4P1/1PP5/2KR2BR b - - 0 35""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""master mate matein1 middlegame onemove smotheredmate""]
[ChapterName ""master mate matein1 middlegame onemove smotheredmate""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""670""]
[RatingDeviation ""104""]
[Popularity ""81""]
[NbPlays ""427""]
[Themes ""master mate matein1 middlegame onemove smotheredmate""]

35... cxb3 36. Nf7# *"
0HlXo,r1b2rk1/1p3pb1/p2p2p1/3P4/B3PB1p/2N4n/PP3nPP/RQ3RNK w - - 1 22,f1f2 h3f2,678,99,82,438,hangingpiece kingsideattack mate matein1 middlegame onemove smotheredmate,https://lichess.org/KzyzAt6z#43,,Rxf2 Nxf2#,"[Event ""hangingpiece kingsideattack mate matein1 middlegame onemove smotheredmate""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r1b2rk1/1p3pb1/p2p2p1/3P4/B3PB1p/2N4n/PP3nPP/RQ3RNK w - - 1 22""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""hangingpiece kingsideattack mate matein1 middlegame onemove smotheredmate""]
[ChapterName ""hangingpiece kingsideattack mate matein1 middlegame onemove smotheredmate""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""678""]
[RatingDeviation ""99""]
[Popularity ""82""]
[NbPlays ""438""]
[Themes ""hangingpiece kingsideattack mate matein1 middlegame onemove smotheredmate""]

22. Rxf2 Nxf2# *"
05HWB,1r3rnk/p3bNpp/b1p4N/q2p4/5P2/1P1pP3/PBP2RPP/R5K1 b - - 1 21,f8f7 h6f7,679,97,84,789,hangingpiece kingsideattack master mastervsmaster mate matein1 middlegame onemove smotheredmate,https://lichess.org/fws2GXsY/black#42,,Rxf7 Nxf7#,"[Event ""hangingpiece kingsideattack master mastervsmaster mate matein1 middlegame onemove smotheredmate""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""1r3rnk/p3bNpp/b1p4N/q2p4/5P2/1P1pP3/PBP2RPP/R5K1 b - - 1 21""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""hangingpiece kingsideattack master mastervsmaster mate matein1 middlegame onemove smotheredmate""]
[ChapterName ""hangingpiece kingsideattack master mastervsmaster mate matein1 middlegame onemove smotheredmate""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""679""]
[RatingDeviation ""97""]
[Popularity ""84""]
[NbPlays ""789""]
[Themes ""hangingpiece kingsideattack master mastervsmaster mate matein1 middlegame onemove smotheredmate""]

21... Rxf7 22. Nxf7# *"
