PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,SAN,PGN
0V2dm,8/p7/1b3p2/1p3Bp1/1r3kP1/8/4R1K1/8 b - - 3 49,b6d4 e2e4,665,96,93,1723,endgame master mate matein1 onemove supergm,https://lichess.org/tPPBp1vp/black#98,,Bd4 Re4#,"[Event ""endgame master mate matein1 onemove supergm""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/p7/1b3p2/1p3Bp1/1r3kP1/8/4R1K1/8 b - - 3 49""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame master mate matein1 onemove supergm""]
[ChapterName ""endgame master mate matein1 onemove supergm""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""665""]
[RatingDeviation ""96""]
[Popularity ""93""]
[NbPlays ""1723""]
[Themes ""endgame master mate matein1 onemove supergm""]

49... Bd4 50. Re4# *"
098u4,7R/4kp2/4p3/p2p4/3P1K2/1P4N1/1r5p/8 w - - 4 42,g3f1 b2f2 f4e3 f2f1,824,92,0,39,advantage endgame fork master short supergm,https://lichess.org/IbRQfF4z#83,,Nf1 Rf2+ Ke3 Rxf1,"[Event ""advantage endgame fork master short supergm""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""7R/4kp2/4p3/p2p4/3P1K2/1P4N1/1r5p/8 w - - 4 42""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advantage endgame fork master short supergm""]
[ChapterName ""advantage endgame fork master short supergm""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""824""]
[RatingDeviation ""92""]
[Popularity ""0""]
[NbPlays ""39""]
[Themes ""advantage endgame fork master short supergm""]

42. Nf1 Rf2+ 43. Ke3 Rxf1 *"
0Sbgv,8/4b2R/P4k2/2pP4/1p3P2/r7/1K6/8 b - - 0 50,a3a6 h7h6 f6f5 h6a6,873,87,95,766,advantage endgame master mastervsmaster short skewer supergm,https://lichess.org/5oJMgUTT/black#100,,Rxa6 Rh6+ Kf5 Rxa6,"[Event ""advantage endgame master mastervsmaster short skewer supergm""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/4b2R/P4k2/2pP4/1p3P2/r7/1K6/8 b - - 0 50""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advantage endgame master mastervsmaster short skewer supergm""]
[ChapterName ""advantage endgame master mastervsmaster short skewer supergm""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""873""]
[RatingDeviation ""87""]
[Popularity ""95""]
[NbPlays ""766""]
[Themes ""advantage endgame master mastervsmaster short skewer supergm""]

50... Rxa6 51. Rh6+ Kf5 52. Rxa6 *"
06FRP,2r3k1/2B2n1p/p5p1/1pNP1pP1/8/1P6/1P4P1/4R1K1 b - - 0 31,c8c7 e1e8 g8g7 c5e6,1038,83,92,1008,endgame master mastervsmaster mate matein2 short supergm,https://lichess.org/Ral10y1M/black#62,,Rxc7 Re8+ Kg7 Ne6#,"[Event ""endgame master mastervsmaster mate matein2 short supergm""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""2r3k1/2B2n1p/p5p1/1pNP1pP1/8/1P6/1P4P1/4R1K1 b - - 0 31""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame master mastervsmaster mate matein2 short supergm""]
[ChapterName ""endgame master mastervsmaster mate matein2 short supergm""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1038""]
[RatingDeviation ""83""]
[Popularity ""92""]
[NbPlays ""1008""]
[Themes ""endgame master mastervsmaster mate matein2 short supergm""]

31... Rxc7 32. Re8+ Kg7 33. Ne6# *"
08Y9c,1r1q1rk1/1b2bp1p/4pnp1/1pp1N1BP/p2P4/2P2Q2/PPB2PP1/2KR3R w - - 0 21,h5g6 b7f3 g6f7 f8f7,1058,83,92,2841,advantage master middlegame short supergm,https://lichess.org/rz0XZ1qM#41,,hxg6 Bxf3 gxf7+ Rxf7,"[Event ""advantage master middlegame short supergm""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""1r1q1rk1/1b2bp1p/4pnp1/1pp1N1BP/p2P4/2P2Q2/PPB2PP1/2KR3R w - - 0 21""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advantage master middlegame short supergm""]
[ChapterName ""advantage master middlegame short supergm""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1058""]
[RatingDeviation ""83""]
[Popularity ""92""]
[NbPlays ""2841""]
[Themes ""advantage master middlegame short supergm""]

21. hxg6 Bxf3 22. gxf7+ Rxf7 *"
0UiV2,5r1k/6pn/4R3/p4r1Q/8/P5PK/1P2P2P/4b3 w - - 1 32,h5g4 h7g5 g4g5 f5g5,1065,83,93,2802,crushing endgame fork master mastervsmaster short supergm,https://lichess.org/4NV6A2s3#63,,Qg4 Ng5+ Qxg5 Rxg5,"[Event ""crushing endgame fork master mastervsmaster short supergm""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""5r1k/6pn/4R3/p4r1Q/8/P5PK/1P2P2P/4b3 w - - 1 32""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""crushing endgame fork master mastervsmaster short supergm""]
[ChapterName ""crushing endgame fork master mastervsmaster short supergm""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1065""]
[RatingDeviation ""83""]
[Popularity ""93""]
[NbPlays ""2802""]
[Themes ""crushing endgame fork master mastervsmaster short supergm""]

32. Qg4 Ng5+ 33. Qxg5 Rxg5 *"
0JitE,1kr4r/1b6/p3pPp1/3pP1P1/N1qB1Q2/8/1PP5/1K3R2 b - - 2 33,c4a4 d4a7 b8a7 f4a4,1126,78,86,220,crushing discoveredattack master middlegame short supergm,https://lichess.org/4B1x1aUx/black#66,,Qxa4 Ba7+ Kxa7 Qxa4,"[Event ""crushing discoveredattack master middlegame short supergm""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""1kr4r/1b6/p3pPp1/3pP1P1/N1qB1Q2/8/1PP5/1K3R2 b - - 2 33""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""crushing discoveredattack master middlegame short supergm""]
[ChapterName ""crushing discoveredattack master middlegame short supergm""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1126""]
[RatingDeviation ""78""]
[Popularity ""86""]
[NbPlays ""220""]
[Themes ""crushing discoveredattack master middlegame short supergm""]

33... Qxa4 34. Ba7+ Kxa7 35. Qxa4 *"
001xl,8/4R1k1/p5pp/3B4/5q2/8/5P1P/6K1 b - - 5 40,g7f6 e7f7 f6e5 f7f4,1152,78,94,11433,advantage endgame master mastervsmaster short skewer supergm,https://lichess.org/bEQkfPQD/black#80,,Kf6 Rf7+ Ke5 Rxf4,"[Event ""advantage endgame master mastervsmaster short skewer supergm""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/4R1k1/p5pp/3B4/5q2/8/5P1P/6K1 b - - 5 40""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advantage endgame master mastervsmaster short skewer supergm""]
[ChapterName ""advantage endgame master mastervsmaster short skewer supergm""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1152""]
[RatingDeviation ""78""]
[Popularity ""94""]
[NbPlays ""11433""]
[Themes ""advantage endgame master mastervsmaster short skewer supergm""]

40... Kf6 41. Rf7+ Ke5 42. Rxf4 *"
0YKud,4k3/6p1/p1p5/4pP2/5nP1/3K1P2/PR1B3r/8 w - - 1 30,d3e4 h2e2 d2e3 e2b2,1178,81,92,1830,crushing endgame master mastervsmaster short supergm,https://lichess.org/dBKAge7d#59,,Ke4 Re2+ Be3 Rxb2,"[Event ""crushing endgame master mastervsmaster short supergm""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""4k3/6p1/p1p5/4pP2/5nP1/3K1P2/PR1B3r/8 w - - 1 30""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""crushing endgame master mastervsmaster short supergm""]
[ChapterName ""crushing endgame master mastervsmaster short supergm""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1178""]
[RatingDeviation ""81""]
[Popularity ""92""]
[NbPlays ""1830""]
[Themes ""crushing endgame master mastervsmaster short supergm""]

30. Ke4 Re2+ 31. Be3 Rxb2 *"
0769v,2R5/2p1rpk1/1p1p1qp1/4n2p/1PPQ1P2/4P2P/4B1P1/6K1 b - - 0 37,e5c6 c8g8 g7g8 d4f6,1210,76,86,92,advantage deflection endgame master short supergm,https://lichess.org/iNNURcnY/black#74,,Nc6 Rg8+ Kxg8 Qxf6,"[Event ""advantage deflection endgame master short supergm""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""2R5/2p1rpk1/1p1p1qp1/4n2p/1PPQ1P2/4P2P/4B1P1/6K1 b - - 0 37""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advantage deflection endgame master short supergm""]
[ChapterName ""advantage deflection endgame master short supergm""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1210""]
[RatingDeviation ""76""]
[Popularity ""86""]
[NbPlays ""92""]
[Themes ""advantage deflection endgame master short supergm""]

37... Nc6 38. Rg8+ Kxg8 39. Qxf6 *"
