PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,SAN,PGN
0JCgu,Qn1qk2r/2p2pp1/p1b5/3N2p1/4p3/8/PP3PPP/R3KBNR w KQk - 1 13,d5c7 d8c7 a8b8 c7b8,670,94,74,183,advantage hangingpiece middlegame short trappedpiece,https://lichess.org/CRMok7K9#25,French_Defense French_Defense_Diemer-Duhm_Gambit_Accepted,Nxc7+ Qxc7 Qxb8+ Qxb8,"[Event ""advantage hangingpiece middlegame short trappedpiece""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""Qn1qk2r/2p2pp1/p1b5/3N2p1/4p3/8/PP3PPP/R3KBNR w KQk - 1 13""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advantage hangingpiece middlegame short trappedpiece""]
[ChapterName ""advantage hangingpiece middlegame short trappedpiece""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""670""]
[RatingDeviation ""94""]
[Popularity ""74""]
[NbPlays ""183""]
[Themes ""advantage hangingpiece middlegame short trappedpiece""]

13. Nxc7+ Qxc7 14. Qxb8+ Qxb8 *"
0T1lv,8/2p1k2n/7P/5K2/8/pB6/8/8 b - - 4 46,e7f8 f5g6 f8e7 g6h7 a3a2 b3a2,855,80,89,459,crushing endgame long trappedpiece,https://lichess.org/UDxKMPNj/black#92,,Kf8 Kg6 Ke7 Kxh7 a2 Bxa2,"[Event ""crushing endgame long trappedpiece""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/2p1k2n/7P/5K2/8/pB6/8/8 b - - 4 46""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""crushing endgame long trappedpiece""]
[ChapterName ""crushing endgame long trappedpiece""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""855""]
[RatingDeviation ""80""]
[Popularity ""89""]
[NbPlays ""459""]
[Themes ""crushing endgame long trappedpiece""]

46... Kf8 47. Kg6 Ke7 48. Kxh7 a2 49. Bxa2 *"
0i6i4,b5k1/5pp1/1bP1p2p/1PNpP3/5P2/7P/6PK/8 b - - 2 43,g8f8 c5d7 f8e8 d7b6 a8c6 b5c6,865,83,92,930,crushing endgame fork long trappedpiece,https://lichess.org/0NwQeE2k/black#86,,Kf8 Nd7+ Ke8 Nxb6 Bxc6 bxc6,"[Event ""crushing endgame fork long trappedpiece""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""b5k1/5pp1/1bP1p2p/1PNpP3/5P2/7P/6PK/8 b - - 2 43""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""crushing endgame fork long trappedpiece""]
[ChapterName ""crushing endgame fork long trappedpiece""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""865""]
[RatingDeviation ""83""]
[Popularity ""92""]
[NbPlays ""930""]
[Themes ""crushing endgame fork long trappedpiece""]

43... Kf8 44. Nd7+ Ke8 45. Nxb6 Bxc6 46. bxc6 *"
0ZMjS,4k3/1p6/pPP5/3K2p1/4P3/6bP/P7/8 b - - 0 64,g3b8 c6c7 b8c7 b6c7,905,93,85,552,advancedpawn bishopendgame crushing endgame master short trappedpiece,https://lichess.org/gXKyjhAt/black#128,,Bb8 c7 Bxc7 bxc7,"[Event ""advancedpawn bishopendgame crushing endgame master short trappedpiece""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""4k3/1p6/pPP5/3K2p1/4P3/6bP/P7/8 b - - 0 64""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advancedpawn bishopendgame crushing endgame master short trappedpiece""]
[ChapterName ""advancedpawn bishopendgame crushing endgame master short trappedpiece""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""905""]
[RatingDeviation ""93""]
[Popularity ""85""]
[NbPlays ""552""]
[Themes ""advancedpawn bishopendgame crushing endgame master short trappedpiece""]

64... Bb8 65. c7 Bxc7 66. bxc7 *"
06Eew,6k1/1p4r1/p1p2P1p/3pr1qP/1P3RP1/P3p2Q/8/5R1K b - - 0 37,g7f7 f4f5 e3e2 f5g5,914,81,90,1595,advantage endgame short trappedpiece,https://lichess.org/T9QEN6nV/black#74,,Rf7 Rf5 e2 Rxg5+,"[Event ""advantage endgame short trappedpiece""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""6k1/1p4r1/p1p2P1p/3pr1qP/1P3RP1/P3p2Q/8/5R1K b - - 0 37""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advantage endgame short trappedpiece""]
[ChapterName ""advantage endgame short trappedpiece""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""914""]
[RatingDeviation ""81""]
[Popularity ""90""]
[NbPlays ""1595""]
[Themes ""advantage endgame short trappedpiece""]

37... Rf7 38. Rf5 e2 39. Rxg5+ *"
0YH4K,8/N1k5/3p4/1p1Pp3/2n1P1p1/2P3P1/2K5/8 w - - 8 52,a7b5 c7b6 b5a3 c4a3,957,161,100,14,crushing defensivemove endgame knightendgame short trappedpiece,https://lichess.org/E1BPDu7J#103,,Nxb5+ Kb6 Na3 Nxa3+,"[Event ""crushing defensivemove endgame knightendgame short trappedpiece""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/N1k5/3p4/1p1Pp3/2n1P1p1/2P3P1/2K5/8 w - - 8 52""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""crushing defensivemove endgame knightendgame short trappedpiece""]
[ChapterName ""crushing defensivemove endgame knightendgame short trappedpiece""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""957""]
[RatingDeviation ""161""]
[Popularity ""100""]
[NbPlays ""14""]
[Themes ""crushing defensivemove endgame knightendgame short trappedpiece""]

52. Nxb5+ Kb6 53. Na3 Nxa3+ *"
0PuMJ,6b1/6B1/6P1/3pKP2/2p3kp/2P5/8/8 b - - 0 66,h4h3 f5f6 h3h2 f6f7 g8f7 g6f7,976,83,86,364,advancedpawn bishopendgame crushing endgame long trappedpiece,https://lichess.org/Yy8KkCRu/black#132,,h3 f6 h2 f7 Bxf7 gxf7,"[Event ""advancedpawn bishopendgame crushing endgame long trappedpiece""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""6b1/6B1/6P1/3pKP2/2p3kp/2P5/8/8 b - - 0 66""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advancedpawn bishopendgame crushing endgame long trappedpiece""]
[ChapterName ""advancedpawn bishopendgame crushing endgame long trappedpiece""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""976""]
[RatingDeviation ""83""]
[Popularity ""86""]
[NbPlays ""364""]
[Themes ""advancedpawn bishopendgame crushing endgame long trappedpiece""]

66... h3 67. f6 h2 68. f7 Bxf7 69. gxf7 *"
0bshH,6k1/1r2rp1p/1p2p1p1/p1p3Pq/2Pp1PR1/P5Q1/1P1K3P/7R b - - 3 28,f7f5 g4h4 h5h4 g3h4,991,86,78,241,advantage endgame short trappedpiece,https://lichess.org/S2O6dNXi/black#56,,f5 Rh4 Qxh4 Qxh4,"[Event ""advantage endgame short trappedpiece""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""6k1/1r2rp1p/1p2p1p1/p1p3Pq/2Pp1PR1/P5Q1/1P1K3P/7R b - - 3 28""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advantage endgame short trappedpiece""]
[ChapterName ""advantage endgame short trappedpiece""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""991""]
[RatingDeviation ""86""]
[Popularity ""78""]
[NbPlays ""241""]
[Themes ""advantage endgame short trappedpiece""]

28... f5 29. Rh4 Qxh4 30. Qxh4 *"
0Ha68,r3r1k1/1p4pp/p7/8/6p1/P3p3/1PP2NPP/1K3B1R w - - 0 24,f2g4 e3e2 f1e2 e8e2,1000,77,95,2758,advancedpawn crushing endgame short trappedpiece,https://lichess.org/0HzL0wBq#47,,Nxg4 e2 Bxe2 Rxe2,"[Event ""advancedpawn crushing endgame short trappedpiece""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r3r1k1/1p4pp/p7/8/6p1/P3p3/1PP2NPP/1K3B1R w - - 0 24""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advancedpawn crushing endgame short trappedpiece""]
[ChapterName ""advancedpawn crushing endgame short trappedpiece""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1000""]
[RatingDeviation ""77""]
[Popularity ""95""]
[NbPlays ""2758""]
[Themes ""advancedpawn crushing endgame short trappedpiece""]

24. Nxg4 e2 25. Bxe2 Rxe2 *"
01xk5,r3k2r/pp1n1pp1/4p3/3pPnPp/2pP1Q1P/2B2N2/qPPK1P2/3R3R b kq - 5 19,g7g6 d1a1 a2a1 h1a1,1017,82,92,2888,advantage middlegame short trappedpiece,https://lichess.org/yHqZWJsM/black#38,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation,g6 Ra1 Qxa1 Rxa1,"[Event ""advantage middlegame short trappedpiece""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r3k2r/pp1n1pp1/4p3/3pPnPp/2pP1Q1P/2B2N2/qPPK1P2/3R3R b kq - 5 19""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advantage middlegame short trappedpiece""]
[ChapterName ""advantage middlegame short trappedpiece""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1017""]
[RatingDeviation ""82""]
[Popularity ""92""]
[NbPlays ""2888""]
[Themes ""advantage middlegame short trappedpiece""]

19... g6 20. Ra1 Qxa1 21. Rxa1 *"
