PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,SAN,PGN
0D1rh,8/8/6q1/8/8/3KNQ2/6pk/8 w - - 4 67,d3e2 g2g1n e2f2 g1f3,1020,81,92,3401,advancedpawn crushing endgame fork promotion short underpromotion,https://lichess.org/kZJgaWaW#133,,Ke2 g1=N+ Kf2 Nxf3,"[Event ""advancedpawn crushing endgame fork promotion short underpromotion""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/8/6q1/8/8/3KNQ2/6pk/8 w - - 4 67""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advancedpawn crushing endgame fork promotion short underpromotion""]
[ChapterName ""advancedpawn crushing endgame fork promotion short underpromotion""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1020""]
[RatingDeviation ""81""]
[Popularity ""92""]
[NbPlays ""3401""]
[Themes ""advancedpawn crushing endgame fork promotion short underpromotion""]

67. Ke2 g1=N+ 68. Kf2 Nxf3 *"
0Fh2r,8/8/7p/1N3kpP/8/3p1p2/3K4/8 w - - 0 66,b5c3 f3f2 c3d5 f2f1n,1495,81,89,553,advancedpawn crushing endgame knightendgame master promotion short underpromotion,https://lichess.org/NxnUb8Zq#131,,Nc3 f2 Nd5 f1=N+,"[Event ""advancedpawn crushing endgame knightendgame master promotion short underpromotion""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/8/7p/1N3kpP/8/3p1p2/3K4/8 w - - 0 66""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advancedpawn crushing endgame knightendgame master promotion short underpromotion""]
[ChapterName ""advancedpawn crushing endgame knightendgame master promotion short underpromotion""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1495""]
[RatingDeviation ""81""]
[Popularity ""89""]
[NbPlays ""553""]
[Themes ""advancedpawn crushing endgame knightendgame master promotion short underpromotion""]

66. Nc3 f2 67. Nd5 f1=N+ *"
0JwMd,8/2K5/5k2/3Pp1p1/4P1P1/4bP2/8/8 b - - 4 67,f6e7 d5d6 e7e6 d6d7 e3d2 d7d8n,1532,81,83,753,advancedpawn bishopendgame crushing endgame long promotion underpromotion,https://lichess.org/KD50OMeb/black#134,,Ke7 d6+ Ke6 d7 Bd2 d8=N+,"[Event ""advancedpawn bishopendgame crushing endgame long promotion underpromotion""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/2K5/5k2/3Pp1p1/4P1P1/4bP2/8/8 b - - 4 67""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advancedpawn bishopendgame crushing endgame long promotion underpromotion""]
[ChapterName ""advancedpawn bishopendgame crushing endgame long promotion underpromotion""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1532""]
[RatingDeviation ""81""]
[Popularity ""83""]
[NbPlays ""753""]
[Themes ""advancedpawn bishopendgame crushing endgame long promotion underpromotion""]

67... Ke7 68. d6+ Ke6 69. d7 Bd2 70. d8=N+ *"
0Xyxz,6k1/p7/4pr2/2P3r1/4Bp1q/1Q3PpP/P4bP1/3R1R1K w - - 1 33,d1d7 h4h3 g2h3 g3g2 h1h2 g2f1n h2h1 g5g1,1921,79,91,5387,advancedpawn fork mate matein4 middlegame promotion sacrifice underpromotion verylong,https://lichess.org/XHcLIOoz#65,,Rd7 Qxh3+ gxh3 g2+ Kh2 gxf1=N+ Kh1 Rg1#,"[Event ""advancedpawn fork mate matein4 middlegame promotion sacrifice underpromotion verylong""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""6k1/p7/4pr2/2P3r1/4Bp1q/1Q3PpP/P4bP1/3R1R1K w - - 1 33""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advancedpawn fork mate matein4 middlegame promotion sacrifice underpromotion verylong""]
[ChapterName ""advancedpawn fork mate matein4 middlegame promotion sacrifice underpromotion verylong""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1921""]
[RatingDeviation ""79""]
[Popularity ""91""]
[NbPlays ""5387""]
[Themes ""advancedpawn fork mate matein4 middlegame promotion sacrifice underpromotion verylong""]

33. Rd7 Qxh3+ 34. gxh3 g2+ 35. Kh2 gxf1=N+ 36. Kh1 Rg1# *"
0iUQl,4r3/2p3kp/1pP1Pqp1/p2QRp2/P4P2/6P1/5K1P/8 b - - 1 36,e8d8 e6e7 d8d5 e7e8n g7f7 e8f6,2071,86,91,2786,advancedpawn crushing endgame fork long promotion sacrifice underpromotion,https://lichess.org/MTnmVikw/black#72,,Rd8 e7 Rxd5 e8=N+ Kf7 Nxf6,"[Event ""advancedpawn crushing endgame fork long promotion sacrifice underpromotion""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""4r3/2p3kp/1pP1Pqp1/p2QRp2/P4P2/6P1/5K1P/8 b - - 1 36""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advancedpawn crushing endgame fork long promotion sacrifice underpromotion""]
[ChapterName ""advancedpawn crushing endgame fork long promotion sacrifice underpromotion""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""2071""]
[RatingDeviation ""86""]
[Popularity ""91""]
[NbPlays ""2786""]
[Themes ""advancedpawn crushing endgame fork long promotion sacrifice underpromotion""]

36... Rd8 37. e7 Rxd5 38. e8=N+ Kf7 39. Nxf6 *"
09fof,8/8/5R1p/8/3pb1P1/kpKp4/8/8 w - - 0 54,c3d4 d3d2 d4c3 d2d1n,2139,79,89,1420,advancedpawn advantage endgame promotion short underpromotion,https://lichess.org/xu4XjIuN#107,,Kxd4 d2 Kc3 d1=N+,"[Event ""advancedpawn advantage endgame promotion short underpromotion""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/8/5R1p/8/3pb1P1/kpKp4/8/8 w - - 0 54""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advancedpawn advantage endgame promotion short underpromotion""]
[ChapterName ""advancedpawn advantage endgame promotion short underpromotion""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""2139""]
[RatingDeviation ""79""]
[Popularity ""89""]
[NbPlays ""1420""]
[Themes ""advancedpawn advantage endgame promotion short underpromotion""]

54. Kxd4 d2 55. Kc3 d1=N+ *"
0EITv,8/8/8/R4pk1/8/5rpp/4N3/6K1 w - - 0 56,a5a8 h3h2 g1g2 f3f2 g2g3 h2h1n g3h3 f2e2,2562,90,90,238,advancedpawn crushing deflection endgame exposedking fork promotion underpromotion verylong,https://lichess.org/jCgAtwUw#111,,Ra8 h2+ Kg2 Rf2+ Kxg3 h1=N+ Kh3 Rxe2,"[Event ""advancedpawn crushing deflection endgame exposedking fork promotion underpromotion verylong""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/8/8/R4pk1/8/5rpp/4N3/6K1 w - - 0 56""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advancedpawn crushing deflection endgame exposedking fork promotion underpromotion verylong""]
[ChapterName ""advancedpawn crushing deflection endgame exposedking fork promotion underpromotion verylong""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""2562""]
[RatingDeviation ""90""]
[Popularity ""90""]
[NbPlays ""238""]
[Themes ""advancedpawn crushing deflection endgame exposedking fork promotion underpromotion verylong""]

56. Ra8 h2+ 57. Kg2 Rf2+ 58. Kxg3 h1=N+ 59. Kh3 Rxe2 *"
0GvdU,8/8/1p6/pB3p2/P2kp3/1P3pK1/8/8 w - - 2 71,b5d7 d4e3 d7f5 f3f2 f5h3 e3e2 h3d7 f2f1n g3f4 f1d2,2706,111,91,3302,advancedpawn bishopendgame crushing endgame exposedking master promotion underpromotion verylong,https://lichess.org/grHm1Zta#141,,Bd7 Ke3 Bxf5 f2 Bh3 Ke2 Bd7 f1=N+ Kf4 Nd2,"[Event ""advancedpawn bishopendgame crushing endgame exposedking master promotion underpromotion verylong""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/8/1p6/pB3p2/P2kp3/1P3pK1/8/8 w - - 2 71""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advancedpawn bishopendgame crushing endgame exposedking master promotion underpromotion verylong""]
[ChapterName ""advancedpawn bishopendgame crushing endgame exposedking master promotion underpromotion verylong""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""2706""]
[RatingDeviation ""111""]
[Popularity ""91""]
[NbPlays ""3302""]
[Themes ""advancedpawn bishopendgame crushing endgame exposedking master promotion underpromotion verylong""]

71. Bd7 Ke3 72. Bxf5 f2 73. Bh3 Ke2 74. Bd7 f1=N+ 75. Kf4 Nd2 *"
0VjqF,1R6/1P6/8/6p1/6kP/1r6/5K2/8 b - - 0 50,g5h4 b8g8 g4h3 b7b8r,2730,93,91,335,advancedpawn clearance crushing endgame master promotion rookendgame short underpromotion,https://lichess.org/jIjdsAR2/black#100,,gxh4 Rg8+ Kh3 b8=R,"[Event ""advancedpawn clearance crushing endgame master promotion rookendgame short underpromotion""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""1R6/1P6/8/6p1/6kP/1r6/5K2/8 b - - 0 50""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advancedpawn clearance crushing endgame master promotion rookendgame short underpromotion""]
[ChapterName ""advancedpawn clearance crushing endgame master promotion rookendgame short underpromotion""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""2730""]
[RatingDeviation ""93""]
[Popularity ""91""]
[NbPlays ""335""]
[Themes ""advancedpawn clearance crushing endgame master promotion rookendgame short underpromotion""]

50... gxh4 51. Rg8+ Kh3 52. b8=R *"
03kqY,8/2Q2ppk/4b2p/8/4P3/2p3P1/4KP1P/2r5 w - - 4 49,f2f4 e6b3 e4e5 c3c2 e5e6 f7e6 c7c3 c1d1 c3b3 c2c1n e2d1 c1b3,2798,113,90,2590,advancedpawn crushing endgame exposedking fork promotion quietmove underpromotion verylong,https://lichess.org/W9OcpQ5I#97,,f4 Bb3 e5 c2 e6 fxe6 Qc3 Rd1 Qxb3 c1=N+ Kxd1 Nxb3,"[Event ""advancedpawn crushing endgame exposedking fork promotion quietmove underpromotion verylong""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/2Q2ppk/4b2p/8/4P3/2p3P1/4KP1P/2r5 w - - 4 49""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advancedpawn crushing endgame exposedking fork promotion quietmove underpromotion verylong""]
[ChapterName ""advancedpawn crushing endgame exposedking fork promotion quietmove underpromotion verylong""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""2798""]
[RatingDeviation ""113""]
[Popularity ""90""]
[NbPlays ""2590""]
[Themes ""advancedpawn crushing endgame exposedking fork promotion quietmove underpromotion verylong""]

49. f4 Bb3 50. e5 c2 51. e6 fxe6 52. Qc3 Rd1 53. Qxb3 c1=N+ 54. Kxd1 Nxb3 *"
