PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,SAN,PGN
07uNx,3Q4/5pkp/4P1p1/8/7P/6P1/rr3n2/5RK1 w - - 0 34,e6f7 f2h3 g1h1 b2h2,948,79,96,4451,endgame mate matein2 short vukovicmate,https://lichess.org/93vBHQOE#67,,exf7 Nh3+ Kh1 Rh2#,"[Event ""endgame mate matein2 short vukovicmate""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""3Q4/5pkp/4P1p1/8/7P/6P1/rr3n2/5RK1 w - - 0 34""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame mate matein2 short vukovicmate""]
[ChapterName ""endgame mate matein2 short vukovicmate""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""948""]
[RatingDeviation ""79""]
[Popularity ""96""]
[NbPlays ""4451""]
[Themes ""endgame mate matein2 short vukovicmate""]

34. exf7 Nh3+ 35. Kh1 Rh2# *"
0BbRw,r2k2r1/4R1p1/pnNB1nbp/8/8/2P5/PP3PPP/R2K4 b - - 0 20,d8c8 e7c7,981,78,97,779,mate matein1 middlegame onemove vukovicmate,https://lichess.org/lV62lhzw/black#40,,Kc8 Rc7#,"[Event ""mate matein1 middlegame onemove vukovicmate""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r2k2r1/4R1p1/pnNB1nbp/8/8/2P5/PP3PPP/R2K4 b - - 0 20""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""mate matein1 middlegame onemove vukovicmate""]
[ChapterName ""mate matein1 middlegame onemove vukovicmate""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""981""]
[RatingDeviation ""78""]
[Popularity ""97""]
[NbPlays ""779""]
[Themes ""mate matein1 middlegame onemove vukovicmate""]

20... Kc8 21. Rc7# *"
0AOVc,2RQ4/5pkp/6p1/8/4P3/7n/4rr1P/3R2K1 w - - 9 35,g1h1 f2h2,1060,76,97,2568,endgame mate matein1 onemove vukovicmate,https://lichess.org/slJUjTXv#69,,Kh1 Rxh2#,"[Event ""endgame mate matein1 onemove vukovicmate""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""2RQ4/5pkp/6p1/8/4P3/7n/4rr1P/3R2K1 w - - 9 35""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame mate matein1 onemove vukovicmate""]
[ChapterName ""endgame mate matein1 onemove vukovicmate""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1060""]
[RatingDeviation ""76""]
[Popularity ""97""]
[NbPlays ""2568""]
[Themes ""endgame mate matein1 onemove vukovicmate""]

35. Kh1 Rxh2# *"
0NQX4,5rk1/3RRNbp/2r1n1p1/8/P7/5P2/5P1P/6K1 b - - 0 29,g7f6 f7h6 g8h8 e7h7,1126,118,71,64,discoveredattack mate matein2 middlegame short vukovicmate,https://lichess.org/A6cNR1tU/black#58,,Bf6 Nh6+ Kh8 Rxh7#,"[Event ""discoveredattack mate matein2 middlegame short vukovicmate""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""5rk1/3RRNbp/2r1n1p1/8/P7/5P2/5P1P/6K1 b - - 0 29""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""discoveredattack mate matein2 middlegame short vukovicmate""]
[ChapterName ""discoveredattack mate matein2 middlegame short vukovicmate""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1126""]
[RatingDeviation ""118""]
[Popularity ""71""]
[NbPlays ""64""]
[Themes ""discoveredattack mate matein2 middlegame short vukovicmate""]

29... Bf6 30. Nh6+ Kh8 31. Rxh7# *"
0fco3,1r1n1b1r/2N1kppp/bp2p3/4N1Bn/8/8/PP3PPP/2KR3R b - - 1 16,f7f6 d1d7,1246,77,94,3802,mate matein1 middlegame onemove pin vukovicmate,https://lichess.org/p29LhYs6/black#32,Sicilian_Defense Sicilian_Defense_Modern_Variations,f6 Rd7#,"[Event ""mate matein1 middlegame onemove pin vukovicmate""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""1r1n1b1r/2N1kppp/bp2p3/4N1Bn/8/8/PP3PPP/2KR3R b - - 1 16""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""mate matein1 middlegame onemove pin vukovicmate""]
[ChapterName ""mate matein1 middlegame onemove pin vukovicmate""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1246""]
[RatingDeviation ""77""]
[Popularity ""94""]
[NbPlays ""3802""]
[Themes ""mate matein1 middlegame onemove pin vukovicmate""]

16... f6 17. Rd7# *"
0kKQz,8/pR5p/2n5/k1N1p3/P1p5/2r3P1/7P/6K1 b - - 0 33,c3c2 b7b5,1296,107,57,74,endgame mate matein1 onemove vukovicmate,https://lichess.org/BOxswRF3/black#66,,Rc2 Rb5#,"[Event ""endgame mate matein1 onemove vukovicmate""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""8/pR5p/2n5/k1N1p3/P1p5/2r3P1/7P/6K1 b - - 0 33""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame mate matein1 onemove vukovicmate""]
[ChapterName ""endgame mate matein1 onemove vukovicmate""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1296""]
[RatingDeviation ""107""]
[Popularity ""57""]
[NbPlays ""74""]
[Themes ""endgame mate matein1 onemove vukovicmate""]

33... Rc2 34. Rb5# *"
06MoJ,6R1/1P6/8/7p/4P2P/4kn2/1r6/5K2 w - - 3 39,b7b8q b2f2,1476,88,81,146,endgame master mate matein1 onemove vukovicmate,https://lichess.org/jZ0m8W9k#77,,b8=Q Rf2#,"[Event ""endgame master mate matein1 onemove vukovicmate""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""6R1/1P6/8/7p/4P2P/4kn2/1r6/5K2 w - - 3 39""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame master mate matein1 onemove vukovicmate""]
[ChapterName ""endgame master mate matein1 onemove vukovicmate""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1476""]
[RatingDeviation ""88""]
[Popularity ""81""]
[NbPlays ""146""]
[Themes ""endgame master mate matein1 onemove vukovicmate""]

39. b8=Q Rf2# *"
0aXag,2r5/5p1p/b3p1p1/6R1/3BkP2/2K1n2P/5P2/R7 w - - 0 34,c3d2 c8c2 d2e1 c2e2,1479,74,86,288,endgame mate matein2 short vukovicmate,https://lichess.org/36hHXzKy#67,,Kd2 Rc2+ Ke1 Re2#,"[Event ""endgame mate matein2 short vukovicmate""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""2r5/5p1p/b3p1p1/6R1/3BkP2/2K1n2P/5P2/R7 w - - 0 34""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame mate matein2 short vukovicmate""]
[ChapterName ""endgame mate matein2 short vukovicmate""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1479""]
[RatingDeviation ""74""]
[Popularity ""86""]
[NbPlays ""288""]
[Themes ""endgame mate matein2 short vukovicmate""]

34. Kd2 Rc2+ 35. Ke1 Re2# *"
0XVKu,4rr1k/2pR1N2/p7/2n5/1p6/8/2B2PPP/5K2 b - - 3 38,h8g8 f7h6 g8h8 d7h7,1539,175,0,8,endgame mate matein2 short vukovicmate,https://lichess.org/ofvrezc1/black#76,,Kg8 Nh6+ Kh8 Rh7#,"[Event ""endgame mate matein2 short vukovicmate""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""4rr1k/2pR1N2/p7/2n5/1p6/8/2B2PPP/5K2 b - - 3 38""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame mate matein2 short vukovicmate""]
[ChapterName ""endgame mate matein2 short vukovicmate""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1539""]
[RatingDeviation ""175""]
[Popularity ""0""]
[NbPlays ""8""]
[Themes ""endgame mate matein2 short vukovicmate""]

38... Kg8 39. Nh6+ Kh8 40. Rh7# *"
0mrwI,2r3k1/4bppp/QNqpp3/8/1p2nP2/1P2B2P/1Pr3P1/R2R3K w - - 2 25,b6c8 e4g3 h1g1 c2g2,1557,75,94,10157,kingsideattack mate matein2 middlegame short vukovicmate,https://lichess.org/vHZmVaO5#49,,Nxc8 Ng3+ Kg1 Rxg2#,"[Event ""kingsideattack mate matein2 middlegame short vukovicmate""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""2r3k1/4bppp/QNqpp3/8/1p2nP2/1P2B2P/1Pr3P1/R2R3K w - - 2 25""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""kingsideattack mate matein2 middlegame short vukovicmate""]
[ChapterName ""kingsideattack mate matein2 middlegame short vukovicmate""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""1557""]
[RatingDeviation ""75""]
[Popularity ""94""]
[NbPlays ""10157""]
[Themes ""kingsideattack mate matein2 middlegame short vukovicmate""]

25. Nxc8 Ng3+ 26. Kg1 Rxg2# *"
