PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PGN,SAN
0LJAx,5rk1/3b4/p4Rp1/3PQ3/2P1P2p/6N1/6PP/3q3K w - - 1 33,g3f1 d1f1 f6f1 f8f1,635,87,81,79,backrankmate endgame master mate matein2 short xrayattack,https://lichess.org/V5r98eGQ#65,,"[Event ""backrankmate endgame master mate matein2 short xrayattack""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""5rk1/3b4/p4Rp1/3PQ3/2P1P2p/6N1/6PP/3q3K w - - 1 33""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""backrankmate endgame master mate matein2 short xrayattack""]
[ChapterName ""backrankmate endgame master mate matein2 short xrayattack""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""635""]
[RatingDeviation ""87""]
[Popularity ""81""]
[NbPlays ""79""]
[Themes ""backrankmate endgame master mate matein2 short xrayattack""]

33. Nf1 Qxf1+ 34. Rxf1 Rxf1# *",Nf1 Qxf1+ Rxf1 Rxf1#
0DEl8,3r4/p1R2k2/3r1p2/5p2/3RbP1p/P5PP/KP3P2/8 b - - 1 32,d8d7 c7d7 d6d7 d4d7,694,84,100,320,crushing endgame short xrayattack,https://lichess.org/jlpzlqve/black#64,,"[Event ""crushing endgame short xrayattack""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""3r4/p1R2k2/3r1p2/5p2/3RbP1p/P5PP/KP3P2/8 b - - 1 32""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""crushing endgame short xrayattack""]
[ChapterName ""crushing endgame short xrayattack""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""694""]
[RatingDeviation ""84""]
[Popularity ""100""]
[NbPlays ""320""]
[Themes ""crushing endgame short xrayattack""]

32... R8d7 33. Rxd7+ Rxd7 34. Rxd7+ *",R8d7 Rxd7+ Rxd7 Rxd7+
0B7rf,2k5/pppn2p1/6n1/8/5p2/3PrPqN/PPP2QBR/R5K1 w - - 0 21,a1e1 e3e1 f2e1 g3e1,746,83,100,211,crushing kingsideattack middlegame short xrayattack,https://lichess.org/3tDsPei6#41,,"[Event ""crushing kingsideattack middlegame short xrayattack""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""2k5/pppn2p1/6n1/8/5p2/3PrPqN/PPP2QBR/R5K1 w - - 0 21""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""crushing kingsideattack middlegame short xrayattack""]
[ChapterName ""crushing kingsideattack middlegame short xrayattack""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""746""]
[RatingDeviation ""83""]
[Popularity ""100""]
[NbPlays ""211""]
[Themes ""crushing kingsideattack middlegame short xrayattack""]

21. Re1 Rxe1+ 22. Qxe1 Qxe1+ *",Re1 Rxe1+ Qxe1 Qxe1+
0NO4h,k2r4/pp6/2p4p/8/4P1Q1/3R4/PPP3PP/1K4q1 w - - 5 30,g4d1 g1d1 d3d1 d8d1,760,82,94,440,backrankmate endgame mate matein2 short xrayattack,https://lichess.org/OhpjcvyD#59,,"[Event ""backrankmate endgame mate matein2 short xrayattack""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""k2r4/pp6/2p4p/8/4P1Q1/3R4/PPP3PP/1K4q1 w - - 5 30""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""backrankmate endgame mate matein2 short xrayattack""]
[ChapterName ""backrankmate endgame mate matein2 short xrayattack""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""760""]
[RatingDeviation ""82""]
[Popularity ""94""]
[NbPlays ""440""]
[Themes ""backrankmate endgame mate matein2 short xrayattack""]

30. Qd1 Qxd1+ 31. Rxd1 Rxd1# *",Qd1 Qxd1+ Rxd1 Rxd1#
0LX0d,r5k1/p1p2ppp/2Q5/4rq2/8/1P6/P4PPP/R3R1K1 b - - 0 22,a8e8 c6e8 e5e8 e1e8,775,89,89,546,backrankmate endgame master mate matein2 short xrayattack,https://lichess.org/eBBCcR1G/black#44,,"[Event ""backrankmate endgame master mate matein2 short xrayattack""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r5k1/p1p2ppp/2Q5/4rq2/8/1P6/P4PPP/R3R1K1 b - - 0 22""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""backrankmate endgame master mate matein2 short xrayattack""]
[ChapterName ""backrankmate endgame master mate matein2 short xrayattack""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""775""]
[RatingDeviation ""89""]
[Popularity ""89""]
[NbPlays ""546""]
[Themes ""backrankmate endgame master mate matein2 short xrayattack""]

22... Rae8 23. Qxe8+ Rxe8 24. Rxe8# *",Rae8 Qxe8+ Rxe8 Rxe8#
05Pp0,1Q4k1/1pp1rppp/p1qp4/8/8/2P5/PP1n1PPP/4R1K1 b - - 1 22,c6e8 b8e8 e7e8 e1e8,809,92,90,612,backrankmate endgame mate matein2 short xrayattack,https://lichess.org/zTndRznA/black#44,,"[Event ""backrankmate endgame mate matein2 short xrayattack""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""1Q4k1/1pp1rppp/p1qp4/8/8/2P5/PP1n1PPP/4R1K1 b - - 1 22""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""backrankmate endgame mate matein2 short xrayattack""]
[ChapterName ""backrankmate endgame mate matein2 short xrayattack""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""809""]
[RatingDeviation ""92""]
[Popularity ""90""]
[NbPlays ""612""]
[Themes ""backrankmate endgame mate matein2 short xrayattack""]

22... Qe8 23. Qxe8+ Rxe8 24. Rxe8# *",Qe8 Qxe8+ Rxe8 Rxe8#
08XHD,1Q4k1/p4qpp/2r5/1p3p2/1P1Pp3/P1r1B3/5PPP/2R3K1 b - - 1 35,c6c8 b8c8 c3c8 c1c8 f7f8 c8f8,813,78,94,211,crushing endgame kingsideattack long xrayattack,https://lichess.org/ATTnvEZU/black#70,,"[Event ""crushing endgame kingsideattack long xrayattack""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""1Q4k1/p4qpp/2r5/1p3p2/1P1Pp3/P1r1B3/5PPP/2R3K1 b - - 1 35""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""crushing endgame kingsideattack long xrayattack""]
[ChapterName ""crushing endgame kingsideattack long xrayattack""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""813""]
[RatingDeviation ""78""]
[Popularity ""94""]
[NbPlays ""211""]
[Themes ""crushing endgame kingsideattack long xrayattack""]

35... Rc8 36. Qxc8+ Rxc8 37. Rxc8+ Qf8 38. Rxf8+ *",Rc8 Qxc8+ Rxc8 Rxc8+ Qf8 Rxf8+
0HkvO,2Rr2k1/pp1Prppp/8/1P6/P4b2/6NP/6K1/3R4 b - - 2 34,e7d7 c8d8 d7d8 d1d8,821,86,96,1366,backrankmate endgame mate matein2 short xrayattack,https://lichess.org/G8qxg3Nb/black#68,,"[Event ""backrankmate endgame mate matein2 short xrayattack""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""2Rr2k1/pp1Prppp/8/1P6/P4b2/6NP/6K1/3R4 b - - 2 34""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""backrankmate endgame mate matein2 short xrayattack""]
[ChapterName ""backrankmate endgame mate matein2 short xrayattack""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""821""]
[RatingDeviation ""86""]
[Popularity ""96""]
[NbPlays ""1366""]
[Themes ""backrankmate endgame mate matein2 short xrayattack""]

34... Rxd7 35. Rxd8+ Rxd8 36. Rxd8# *",Rxd7 Rxd8+ Rxd8 Rxd8#
0GnPa,3k4/3r2p1/1p3p2/p4P2/3R4/8/PP1p1PPP/2rR2K1 w - - 5 35,d4d2 c1d1 d2d1 d7d1,828,79,89,233,backrankmate endgame mate matein2 rookendgame short xrayattack,https://lichess.org/r0h3O2n0#69,,"[Event ""backrankmate endgame mate matein2 rookendgame short xrayattack""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""3k4/3r2p1/1p3p2/p4P2/3R4/8/PP1p1PPP/2rR2K1 w - - 5 35""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""backrankmate endgame mate matein2 rookendgame short xrayattack""]
[ChapterName ""backrankmate endgame mate matein2 rookendgame short xrayattack""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""828""]
[RatingDeviation ""79""]
[Popularity ""89""]
[NbPlays ""233""]
[Themes ""backrankmate endgame mate matein2 rookendgame short xrayattack""]

35. Rxd2 Rxd1+ 36. Rxd1 Rxd1# *",Rxd2 Rxd1+ Rxd1 Rxd1#
07AL3,4r2k/p5p1/3Q1p1p/2P5/1q6/4B3/P4PPP/4R1K1 w - - 6 41,e3d2 e8e1 d2e1 b4e1,842,78,83,150,endgame mate matein2 short xrayattack,https://lichess.org/lNaGfZNz#81,,"[Event ""endgame mate matein2 short xrayattack""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""4r2k/p5p1/3Q1p1p/2P5/1q6/4B3/P4PPP/4R1K1 w - - 6 41""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""endgame mate matein2 short xrayattack""]
[ChapterName ""endgame mate matein2 short xrayattack""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""842""]
[RatingDeviation ""78""]
[Popularity ""83""]
[NbPlays ""150""]
[Themes ""endgame mate matein2 short xrayattack""]

41. Bd2 Rxe1+ 42. Bxe1 Qxe1# *",Bd2 Rxe1+ Bxe1 Qxe1#
